time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
4.94,lift,4.94,0.35244703,-0.14775614,0.10788241,0.027746461,0.01467714,-0.06429078,0.9974375,0.00015055644063995913,0.010785625001668318,0.010983628919175259,0.025776928138012606,1,0.0002879657258745283,256,0,-1,0.0015282744,0.057962235,-0.34845173,-2.5439198,-0.16634136,2.2424393,0.7855616,0.018966366,0.023455705,14.398679476223094,6.692359019654238,0.7746496279636269,1,13.923863144443645,8.104453049638964,0.9700915334540936,1
4.95,lift,4.95,0.35258853,-0.14776154,0.10927709,0.02815787,0.014870885,-0.06481022,0.9973895,0.00016064649379265764,0.01149004640537134,0.01163710165784325,0.02578600105319415,1,0.0002879374078474939,256,0,-1,0.0015154806,0.05457916,-0.34860578,-2.543038,-0.16630855,2.238243,0.78556114,0.018966522,0.023448749,14.401012787779743,6.6860163847181715,0.7737900663940015,1,13.925100679162252,8.100364917742898,0.969516020551341,1
4.96,lift,4.96,0.35272565,-0.1477666,0.110673845,0.028569056,0.015063189,-0.06532775,0.99734104,0.00017058082266696836,0.012197279098051813,0.012371952791937108,0.025792182254766982,1,0.0002880153770092875,256,0,-1,0.0015023294,0.051198993,-0.34875867,-2.54215,-0.16627571,2.2340415,0.78556067,0.018966695,0.023441823,14.404356830192413,6.680153473980453,0.7729320548324707,1,13.92756166334405,8.096892802883081,0.9689292113245845,1
4.97,lift,4.97,0.35285798,-0.14777148,0.112072505,0.028979655,0.015254652,-0.06584356,0.99729246,0.0001804025961201584,0.012889167791717778,0.013083774314067827,0.025795989995447157,1,0.00028804782778024673,256,0,-1,0.0014888517,0.04782113,-0.34891066,-2.5412576,-0.16624285,2.2298353,0.7855602,0.018966855,0.023434857,14.408378251751063,6.674660972259856,0.7720809906149199,1,13.930186532663472,8.093715614966458,0.9683665034430002,1
4.98,lift,4.98,0.35298532,-0.14777587,0.11347292,0.029390417,0.015444857,-0.066357754,0.9972434,0.00019020806086361905,0.01357276832176702,0.013689329231040928,0.025798222094434657,1,0.0002881248656194657,256,0,-1,0.0014750842,0.044445094,-0.34906197,-2.5403616,-0.16620998,2.225626,0.7855597,0.01896704,0.023427935,14.411586223491488,6.668791556765628,0.7712303435753679,1,13.93235441590529,8.090178768142229,0.967792727469237,1
4.99,lift,4.99,0.35310742,-0.14777979,0.11487502,0.029801328,0.015634015,-0.06687032,0.997194,0.0002000421461925916,0.01427149951780727,0.014418803745746346,0.025798912063741294,1,0.0002880818792618811,256,0,-1,0.0014610696,0.041070476,-0.34921277,-2.5394628,-0.16617711,2.2214139,0.78555924,0.018967204,0.023420978,14.413758864629807,6.662430536519957,0.7703785666519207,1,13.933769404899884,8.085995615362217,0.9671940856289677,1
5.0,lift,5.0,0.35322425,-0.14778307,0.11627868,0.030212915,0.015821783,-0.06738135,0.9971442,0.0002096018578871764,0.01496261710632332,0.015081525196906195,0.025798541391322316,1,0.00028829110669903457,256,0,-1,0.0014468434,0.03769697,-0.34936318,-2.538562,-0.16614424,2.2171996,0.78555876,0.018967398,0.023414038,14.41864768870451,6.6572832925762935,0.769522384750822,1,13.937177441730384,8.083377393733546,0.9666444811044832,1
5.01,lift,5.01,0.35333568,-0.14778586,0.11768389,0.030624587,0.016008683,-0.06789096,0.9970941,0.00021927099320425523,0.0156408526548972,0.015776890927437275,0.02579722611943574,1,0.00028833813848905265,256,0,-1,0.0014324436,0.034324322,-0.34951332,-2.5376594,-0.16611135,2.2129836,0.7855583,0.018967576,0.023407126,14.420977214254412,6.650889697079249,0.7686591551397753,1,13.93773728729675,8.079332338395814,0.9661219479003414,1
5.0200000000000005,lift,5.0200000000000005,0.3534416,-0.147788,0.11909057,0.031036854,0.016194394,-0.06839909,0.9970437,0.0002287461531750348,0.016310878236513043,0.01644287662158664,0.025795154868976048,1,0.00028844186454080045,256,0,-1,0.0014178964,0.030952321,-0.34966323,-2.5367556,-0.16607846,2.2087662,0.7855578,0.018967764,0.023400214,14.425476904828699,6.645493498025581,0.767795932833378,1,13.941131936353498,8.076326237487791,0.9655273180541405,1
5.03,lift,5.03,0.353542,-0.14778951,0.12049869,0.03144967,0.01637899,-0.06890578,0.9969929,0.00023825388419953722,0.016973920246871547,0.01705498253123339,0.02579258713527673,1,0.0002884538553189486,256,0,-1,0.0014032316,0.027580818,-0.34981295,-2.5358508,-0.16604556,2.204548,0.7855573,0.018967945,0.023393339,14.426971729461906,6.638782028308285,0.7669410408042594,1,13.941398461083331,8.071881657804116,0.9649775188546476,1
5.04,lift,5.04,0.3536368,-0.14779031,0.121908195,0.031863157,0.016562432,-0.069411,0.99694157,0.0002478187338411828,0.01765452357038772,0.017753631495207627,0.025789428006633114,1,0.00028851829119957983,256,0,-1,0.0013884711,0.024209686,-0.34996256,-2.534945,-0.16601266,2.2003286,0.78555685,0.018968126,0.023386452,14.430322788645547,6.633036731041823,0.766099371463934,1,13.943567533518358,8.068509756405245,0.9644243647366061,1
5.05,lift,5.05,0.35372603,-0.14779049,0.123319075,0.032277144,0.016744805,-0.06991483,0.99689,0.0002571468499093282,0.018325867042957397,0.01845167054397517,0.02578604195071991,1,0.0002886599686462432,256,0,-1,0.0013736322,0.020838825,-0.35011208,-2.5340388,-0.16597979,2.1961088,0.7855564,0.018968314,0.023379581,14.434638640479157,6.627514456203786,0.7652326949169573,1,13.946089606135686,8.065515284230736,0.9638920911424342,1
5.0600000000000005,lift,5.0600000000000005,0.35380962,-0.14778993,0.12473128,0.03269195,0.016925957,-0.07041723,0.99683815,0.0002665199206082395,0.018989625558755118,0.019074315438536417,0.02578237406784079,1,0.0002887806040234864,256,0,-1,0.0013587294,0.017468162,-0.3502615,-2.533132,-0.1659469,2.1918886,0.78555584,0.018968508,0.023372738,14.438191112927425,6.621693761235246,0.7643725022343029,1,13.948230405025507,8.06217214256191,0.9633446810640023,1
