phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,-4.019829445440354e-13,-4.091250873917681e-15,4.95471922496403e-16,-4.144254384108592e-15,5.300351019091147e-17,128,0,-1,5.174360288440713,2.936949370142935e-07,4,1.418991530558834e-07,-0.00012969225645065308,2.9644668102263294e-05,0.00010004758834838978,5.22560714358138,1.4704124633292526e-06,4,7.034648907425821e-07,-0.0001303069293498993,3.035619854926952e-05,9.995073080062977e-05
normal_gate,0.005,-4.0199381367081455e-13,-4.5815296374144675e-15,4.843198867128529e-16,-4.670742959067553e-15,8.921332165308556e-17,128,0,-1,5.200653531125812,2.1269334717985187e-09,4,1.0224356703772241e-09,-0.00012976676225662231,2.9802992939947925e-05,9.996376931667439e-05,5.199313900896282,2.1269097022897612e-09,4,1.0226876770813523e-09,-0.00013023242354393005,3.019787371158489e-05,0.00010003454983234517
normal_gate,0.0075,-4.0200614647052657e-13,-5.136164270177742e-15,4.718820549153707e-16,-5.17207804362485e-15,3.591377344710871e-17,128,0,-1,5.200587888297967,2.0535519729320034e-09,4,9.87172997091721e-10,-0.00012990087270736694,2.9918476939200245e-05,9.99823957681667e-05,5.1993795437241275,2.0535308282762993e-09,4,9.873922508479874e-10,-0.00013009831309318542,3.008238971233257e-05,0.00010001592338085286
normal_gate,0.01,-4.0201975320779126e-13,-5.6354859574194154e-15,4.582312719374204e-16,-5.648693318649478e-15,1.3207361230062678e-17,128,0,-1,5.200248258681407,1.9758971937814598e-09,4,9.499052235068077e-10,-0.00012996047735214233,2.996690571308025e-05,9.999357163906208e-05,5.199719173340686,1.9758776778450386e-09,4,9.499924957368361e-10,-0.00013003870844841003,3.0033960938452564e-05,0.00010000474750995747
normal_gate,0.0125,-4.020345254623914e-13,-6.094051807371001e-15,4.434319122829933e-16,-6.0988540606654595e-15,4.802253294458256e-18,128,0,-1,5.200078892969609,1.894319151663909e-09,4,9.107165442359855e-10,-0.0001299828290939331,2.998739480972179e-05,9.999543428421132e-05,5.199888539052484,1.8943012892457913e-09,4,9.107412952311897e-10,-0.00013001635670661926,3.0013471841811024e-05,0.00010000288486480824
normal_gate,0.015,-4.020504090242183e-13,-6.5195888780938266e-15,4.2754835045608064e-16,-6.5221265888038005e-15,2.537710709973884e-18,128,0,-1,5.200017158102975,1.809193237860014e-09,4,8.698015712509823e-10,-0.0001299940049648285,2.9994845390318714e-05,9.999915957450978e-05,5.199950273919116,1.8091767175648523e-09,4,8.698048165186134e-10,-0.00013000518083572388,3.00060212612141e-05,9.999915957450978e-05
normal_gate,0.0175,-4.0206732257810907e-13,-6.915108795231854e-15,4.106415728288848e-16,-6.91634249871953e-15,1.2337034876758884e-18,128,0,-1,5.199994905426054,1.7208963778215848e-09,4,8.273548383796857e-10,-0.00012999773025512695,2.9996708035467945e-05,0.00010000102221965901,5.199972526596039,1.7208810764225392e-09,4,8.273510425395688e-10,-0.00013000145554542542,3.000415861606487e-05,9.999729692936055e-05
normal_gate,0.02,-4.0208515770384645e-13,-7.273695534770752e-15,3.9280644709149826e-16,-7.273695534770752e-15,0.0,128,0,-1,5.199983880348929,1.6318661164455197e-09,4,7.845534495849332e-10,-0.00012999773025512695,2.9998570680617176e-05,9.999915957450978e-05,5.199983551673164,1.6318492177944343e-09,4,7.845453747970823e-10,-0.00013000145554542542,3.0002295970915638e-05,9.999915957450978e-05
normal_gate,0.0225,-4.021039686115391e-13,-7.694029705615068e-15,3.739819868717187e-16,-7.694365977695128e-15,3.3627208005995723e-19,128,0,-1,5.19998371625136,1.515144643227071e-09,4,7.284372057223145e-10,-0.00012999773025512695,3.0000433325766407e-05,9.999729692936055e-05,5.199983715770733,1.515131771541143e-09,4,7.284310174597214e-10,-0.00013000145554542542,3.0000433325766407e-05,0.00010000102221965901
normal_gate,0.025,-4.021236468809697e-13,-7.998730326632016e-15,3.5427661238679464e-16,-7.998809947729058e-15,7.962109704190423e-20,128,0,-1,5.199938578075825,1.4200398144992477e-09,4,6.827195134989057e-10,-0.00012999773025512695,3.0000433325766407e-05,9.999729692936055e-05,5.200028853946267,1.420028171851368e-09,4,6.827020636499537e-10,-0.00013000145554542542,3.0000433325766407e-05,0.00010000102221965901
