tag,dt_ms,friction_timeconst_ms,friction_solreffriction,impratio,noslip_iterations,trace,wall_s,tail_slope_um_s,tail_slope_R2,tail_vt_mean_um_s,tail_vt_std_um_s,tail_vt_rms_um_s,hold_displacement_um,tail_Fn_mean_N,tail_Fn_cv,tail_Fn_balance_error_pct,tail_Ft_mean_N,tail_rho_mean,tail_contact_duty,tail_contacts_mean,tail_gap_std_um,tail_max_body_vz_rms_mm_s,tail_solver_iterations_mean,valid_steady_contact
dt0.25ms_tfrinherit_ir1_ns0,0.25,,"[0.0, 0.0]",1.0,0,dt0.25ms_tfrinherit_ir1_ns0/trace.csv,1.003089290985372,289.7016246069836,0.9999929827400607,289.8189261245511,16.82536472449576,290.30691145424066,2250.6291930768043,9.806911165469872,0.0029534952289855324,-0.03148659052118794,3.9982726038546414,0.8153887430424979,1.0,4.0,0.06621920793929634,0.014175615566139096,1.0,True
dt0.25ms_tfrinherit_ir1_ns1,0.25,,"[0.0, 0.0]",1.0,1,dt0.25ms_tfrinherit_ir1_ns1/trace.csv,1.90671041700989,-0.7645966894355797,0.9999997856207867,-0.7645911257993177,0.000792593637951591,0.7645915366100666,-5.759112390302971,9.808915647809151,1.037508338293982e-08,-0.011053539152389989,3.9999999964791897,0.8155845437151051,1.0,8.0,0.0001017213272598239,1.7132190219155402e-06,5.0,True
dt0.25ms_tfrinherit_ir1_ns3,0.25,,"[0.0, 0.0]",1.0,3,dt0.25ms_tfrinherit_ir1_ns3/trace.csv,2.197882375010522,0.019846283856338312,0.9999603246223433,0.019861917304841433,0.00028318039324130395,0.019863935918127497,0.7377286924963969,9.808978468704858,9.84374411676692e-09,-0.010413163049365015,4.000000000684897,0.8155793212201928,1.0,5.0,7.59508432462416e-06,2.0659346287835973e-07,7.0,True
dt0.25ms_tfrinherit_ir10_ns0,0.25,,"[0.0, 0.0]",10.0,0,dt0.25ms_tfrinherit_ir10_ns0/trace.csv,0.9896456249989569,27.142605420502004,0.9999999423481339,27.142606175320342,0.014572944620329636,27.142610087448354,216.58702089667494,9.808814257391235,1.8427139492957935e-07,-0.012087080619420376,3.9999998911736836,0.8155929526669748,1.0,4.0,0.004343492797863936,1.154111927670866e-05,1.0,True
dt0.25ms_tfrinherit_ir10_ns1,0.25,,"[0.0, 0.0]",10.0,1,dt0.25ms_tfrinherit_ir10_ns1/trace.csv,1.7770787499903236,-0.0399169931621073,0.9999997618028634,-0.03991443437594616,4.430106557405407e-05,0.039914458960834266,-0.2746872974996233,9.80900816877696,4.702312791033549e-10,-0.010110410020792012,3.999999999958078,0.8155768516312326,1.0,8.0,1.0139887793770629e-06,8.395801277797174e-08,4.0,True
dt0.25ms_tfrinherit_ir10_ns3,0.25,,"[0.0, 0.0]",10.0,3,dt0.25ms_tfrinherit_ir10_ns3/trace.csv,1.9944370829907712,-0.0017033473510643259,0.9933876267610169,-0.0017241444135970814,0.0003169990020702566,0.0017530437319849045,-0.9545645393330596,9.809248128175481,5.999208723088941e-09,-0.007664340718852317,3.999999999297795,0.8155569003924861,1.0,8.0,4.165638855501989e-05,1.5740682268534467e-07,6.0,True
dt0.25ms_tfrinherit_ir100_ns0,0.25,,"[0.0, 0.0]",100.0,0,dt0.25ms_tfrinherit_ir100_ns0/trace.csv,0.9170610000146553,2.6975498031476013,0.9999999994341084,2.6975497759609612,0.00014349115370250007,2.697549779777334,21.619868849374352,9.808837535815432,1.7695944815324276e-08,-0.011849787814157898,3.999999998935739,0.8155910390666311,1.0,4.0,0.0004190934455682543,1.1209029174479346e-06,1.0,True
dt0.25ms_tfrinherit_ir100_ns1,0.25,,"[0.0, 0.0]",100.0,1,dt0.25ms_tfrinherit_ir100_ns1/trace.csv,1.7024457500083372,-0.010159069178058687,0.9999773841812639,-0.010150250035933608,0.00011089795445617147,0.01015085583329173,-0.07627193300273777,9.8090155931169,2.2068895227919794e-09,-0.010034728675845253,4.000000000289162,0.8155762343972639,1.0,8.0,4.630948264979029e-06,1.2177302511815538e-07,4.0,True
dt0.25ms_tfrinherit_ir100_ns3,0.25,,"[0.0, 0.0]",100.0,3,dt0.25ms_tfrinherit_ir100_ns3/trace.csv,2.263303249987075,-0.9920411362525355,0.4172873354167882,-0.9977802663483607,15.557960432829665,15.589922972529648,0.7457555347890497,9.80884239101193,0.00014984115080101843,-0.011800295495105247,3.9997427555428513,0.8155381194530973,1.0,8.0,0.00019557555825552468,0.0064732648401177525,6.471321695760598,True
dt0.25ms_tfr4ms_ir1_ns0,0.25,4.0,"[0.004, 1.0]",1.0,0,dt0.25ms_tfr4ms_ir1_ns0/trace.csv,1.089026166999247,627.7564926718461,0.9999649934957315,623.7294407144403,34.74138872816707,624.6962296226145,4716.982482837059,9.808931433848697,0.006378650102791997,-0.010892621318080374,3.999809595059021,0.8157169468137206,1.0,4.0,0.20275301114719285,0.025203294869375566,1.0099750623441397,True
dt0.25ms_tfr4ms_ir1_ns1,0.25,4.0,"[0.004, 1.0]",1.0,1,dt0.25ms_tfr4ms_ir1_ns1/trace.csv,1.8866279590001795,-2.53318045158647,0.999998836518327,-2.5331581293899808,0.006113962348474564,2.5331655076268,-16.140063986216735,9.808914568363736,1.827447009818701e-08,-0.011064542673438217,3.9999999854380497,0.8155846312168068,1.0,8.0,0.0003417704663346715,3.4556766910559055e-06,5.0,True
