time_s,z_m,vz_m_s,contact_count,normal_force_N,phi0_m_pre_step,geometric_penetration_m
0.0,0.020999999716877937,-1.0,16,0.0,0.0,0.0
0.0001,0.020899999886751175,-1.0,16,0.0,0.0,0.0
0.0002,0.020800000056624413,-1.0,16,0.0,0.0,0.0
0.00030000000000000003,0.02070000022649765,-1.0,16,0.0,0.0,0.0
0.0004,0.020600000396370888,-1.0,16,0.0,0.0,0.0
0.0005,0.020500000566244125,-1.0,16,0.0,0.0,0.0
0.0006000000000000001,0.020400000736117363,-1.0,16,0.0,0.0,0.0
0.0007,0.0203000009059906,-1.0,16,0.0,0.0,0.0
0.0008,0.020200001075863838,-1.0,16,0.0,0.0,0.0
0.0009000000000000001,0.020100001245737076,-1.0,16,0.0,0.0,0.0
0.001,0.020000001415610313,-1.0,16,15.585048215930842,0.0,0.0
0.0011,0.019900158047676086,-0.9984415173530579,16,16.557618206951453,-9.984150528907776e-05,9.984195232391399e-05
0.0012000000000000001,0.019800478592514992,-0.9967857599258423,16,17.527035592688456,-0.0001995190978050232,0.00019952140748500866
0.0013000000000000002,0.019700976088643074,-0.9950330853462219,16,18.493194362256965,-0.0002990216016769409,0.0002990239113569264
0.0014,0.01960165798664093,-0.9931837916374207,16,19.456024770674976,-0.000398341566324234,0.00039834201335907024
0.0015,0.019502533599734306,-0.9912381768226624,16,20.415419878116346,-0.0004974678158760071,0.0004974664002656941
0.0016,0.019403614103794098,-0.9891966581344604,16,21.371237407793274,-0.0005963854491710663,0.0005963858962059025
0.0017000000000000001,0.01930490881204605,-0.9870595335960388,16,22.32344480956793,-0.0006950907409191132,0.0006950911879539494
0.0018000000000000002,0.019206425175070763,-0.9848271608352661,16,23.271973267399584,-0.0007935762405395508,0.0007935748249292378
0.0019,0.019108174368739128,-0.9824999570846558,16,24.216680504500435,-0.0008918270468711853,0.0008918256312608723
0.002,0.019010165706276894,-0.9800782799720764,16,25.157460509985608,-0.0009898319840431213,0.0009898342937231068
0.0021000000000000003,0.018912410363554955,-0.9775625467300415,16,26.094319786443933,-0.0010875910520553589,0.0010875896364450459
0.0022,0.018814915791153908,-0.9749531149864197,16,27.02704073845806,-0.0011850818991661072,0.0011850842088460926
0.0023,0.0187176913022995,-0.9722504019737244,16,27.95566706346097,-0.0012823082506656647,0.001282308697700501
0.0024000000000000002,0.018620746210217476,-0.969454824924469,16,28.880019289820737,-0.001379251480102539,0.0013792537897825245
0.0025,0.018524089828133583,-0.966566801071167,16,29.80006672528204,-0.0014759078621864319,0.0014759101718664173
0.0026000000000000003,0.018427731469273567,-0.9635868072509766,16,30.715705216842515,-0.0015722662210464478,0.0015722685307264332
0.0027,0.018331680446863174,-0.9605152606964111,16,31.626866877402684,-0.0016683191061019897,0.001668319553136826
0.0028,0.01823594607412815,-0.9573525786399841,16,32.53340943017478,-0.001764051616191864,0.0017640539258718495
0.0029000000000000002,0.018140535801649094,-0.9540992379188538,16,33.43534030668888,-0.0018594637513160706,0.0018594641983509068
0.003,0.018045460805296898,-0.9507557153701782,16,34.33251815909848,-0.0019545406103134155,0.0019545391947031025
0.0031000000000000003,0.01795072853565216,-0.9473224878311157,16,35.2248388344012,-0.0020492710173130035,0.0020492714643478398
0.0032,0.017856348305940628,-0.9438000321388245,16,36.112272569283,-0.002143651247024536,0.0021436516940593724
0.0033,0.017762329429388046,-0.9401888251304626,16,36.99471521074151,-0.002237670123577118,0.002237670570611954
0.0034000000000000002,0.01766868121922016,-0.9364893436431885,16,37.87206260577437,-0.0023313164710998535,0.002331318780779839
0.0035,0.01757541112601757,-0.9327021241188049,16,38.74432311485294,-0.002424590289592743,0.00242458887398243
0.0036000000000000003,0.01748252846300602,-0.928827702999115,16,39.611281929383644,-0.0025174692273139954,0.002517471536993981
0.0037,0.017390042543411255,-0.9248665571212769,16,40.472983675740736,-0.0026099570095539093,0.0026099574565887455
0.0038,0.017297960817813873,-0.9208192825317383,16,41.32928886396025,-0.002702038735151291,0.002702039182186127
0.0039000000000000003,0.01720629259943962,-0.9166863560676575,16,42.18013053588395,-0.002793706953525543,0.0027937074005603794
0.004,0.017115045338869095,-0.9124683141708374,16,43.02544266229489,-0.0028849542140960693,0.0028849546611309056
0.0041,0.01702422834932804,-0.9081657528877258,16,43.86512294807323,-0.002975769340991974,0.0029757716506719593
0.004200000000000001,0.016933850944042206,-0.9037792682647705,16,44.69914348778745,-0.0030661486089229584,0.0030661490559577946
0.0043,0.016843920573592186,-0.8993093371391296,16,45.52740012843518,-0.0031560808420181274,0.0031560794264078144
0.0044,0.01675444468855858,-0.8947566151618958,16,46.34979150383786,-0.0032455548644065857,0.003245555311441422
0.0045000000000000005,0.01666543260216713,-0.8901216387748718,16,47.16628877962267,-0.0033345669507980347,0.003334567397832871
0.0046,0.016576891764998436,-0.8854050040245056,16,47.976826855513934,-0.0034231096506118774,0.0034231082350015644
0.0047,0.016488831490278244,-0.8806073069572449,16,48.781266241547655,-0.00351116806268692,0.0035111685097217564
0.0048000000000000004,0.01640125922858715,-0.8757292032241821,16,49.579617156077745,-0.003598742187023163,0.00359874077141285
0.0049,0.016314182430505753,-0.8707712292671204,16,50.37173918019892,-0.0036858171224594116,0.003685817569494248
0.005,0.016227608546614647,-0.8657340407371521,16,51.15764253226508,-0.0037723928689956665,0.0037723914533853535
