phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,-4.09721030974336e-13,-4.183250510450759e-15,5.050908286454228e-16,-4.231857919645421e-15,4.860740919466165e-17,128,0,-1,4.774394007330016,2.9475901887580026e-07,4,1.5434368132545386e-07,-0.0001196935772895813,1.9644126296042286e-05,0.00010004945099353901,4.8255300801943966,1.4740232737398067e-06,4,7.636587324311247e-07,-0.00012030452489852905,2.035565674304851e-05,9.994886815548054e-05
normal_gate,0.005,-4.0973214404660396e-13,-4.681566769584042e-15,4.936982355048525e-16,-4.769622197198231e-15,8.805542761418893e-17,128,0,-1,4.800582767566817,2.100553747187742e-09,4,1.0939055990135605e-09,-0.00011976435780525208,1.9802451133726917e-05,9.996190667152516e-05,4.799192308345657,2.1005295305137004e-09,4,1.0942099188549603e-09,-0.00012023001909255981,2.019733190536388e-05,0.00010003268718719593
normal_gate,0.0075,-4.097447478968591e-13,-5.2458380961882285e-15,4.81002905691405e-16,-5.280931941742395e-15,3.5093845554166544e-17,128,0,-1,4.800573234801489,2.028066397268257e-09,4,1.056158451331344e-09,-0.00011990219354629517,1.9917935132979236e-05,9.998425841331593e-05,4.799350852722922,2.0280447570860744e-09,4,1.0564161796670163e-09,-0.00012009590864181519,2.008184790611156e-05,0.00010001406073570362
normal_gate,0.01,-4.097586256846669e-13,-5.752986367862532e-15,4.670607433795992e-16,-5.766654515015901e-15,1.3668147153369017e-17,128,0,-1,4.800258092935951,1.9513587046203287e-09,4,1.0162780140363409e-09,-0.00011996179819107056,1.996636390685924e-05,9.999543428421132e-05,4.799665994588461,1.9513391172684377e-09,4,1.0163931820821167e-09,-0.0001200363039970398,2.0033419132231556e-05,0.00010000288486480824
normal_gate,0.0125,-4.097737231999188e-13,-6.219162385328724e-15,4.519428993370045e-16,-6.225055193542772e-15,5.8928082140481675e-18,128,0,-1,4.800075353231026,1.870780003324116e-09,4,9.74349289154834e-10,-0.00011998414993286133,1.9986853003500782e-05,9.999729692936055e-05,4.799848734293386,1.870761962011471e-09,4,9.743858950415846e-10,-0.00012001395225524902,2.0012930035590015e-05,0.00010000102221965901
normal_gate,0.015,-4.0978993202239744e-13,-6.653532315625517e-15,4.3572052433119013e-16,-6.656133977323009e-15,2.6016616974915835e-18,128,0,-1,4.799984952666099,1.7866776437147675e-09,4,9.305641899577086e-10,-0.00011999160051345825,1.9994303584097706e-05,9.999729692936055e-05,4.799939134858315,1.786660863885784e-09,4,9.305643330509245e-10,-0.0001200065016746521,2.000547945499309e-05,0.00010000102221965901
normal_gate,0.0175,-4.0980717083693996e-13,-7.056249895232838e-15,4.1847493352509257e-16,-7.05772246201164e-15,1.4725667788016011e-18,128,0,-1,4.7999642243004335,1.6995488829389621e-09,4,8.851883074121564e-10,-0.00011999532580375671,1.9998028874396168e-05,9.999729692936055e-05,4.799959863223979,1.699533265516288e-09,4,8.851809775211151e-10,-0.00012000277638435364,2.000175416469463e-05,0.00010000102221965901
normal_gate,0.02,-4.098253854334377e-13,-7.430946354395566e-15,4.0027388955449217e-16,-7.431121690215647e-15,1.7533582008164017e-19,128,0,-1,4.799888489320548,1.6093271518746452e-09,4,8.382106977356337e-10,-0.00011999532580375671,1.9998028874396168e-05,9.999729692936055e-05,4.799886586591926,1.6093126769499366e-09,4,8.382034908102903e-10,-0.00011999905109405518,2.000175416469463e-05,9.999729692936055e-05
normal_gate,0.0225,-4.0984446739167346e-13,-7.769703629122767e-15,3.811783787915912e-16,-7.769826448900119e-15,1.2281977735187355e-19,128,0,-1,4.799967470041474,1.5177259943681926e-09,4,7.904876459272539e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799956617482939,1.5177128055080586e-09,4,7.90482563936138e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.025,-4.098643896065929e-13,-8.094516200439321e-15,3.612832689264822e-16,-8.094219738907782e-15,-2.964615315390051e-19,128,0,-1,4.79996209010112,1.4189839202755162e-09,4,7.390599621619213e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799961997423293,1.4189720178808222e-09,4,7.390537772187322e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.0275,-4.098851791832503e-13,-8.443702144813117e-15,3.4053434985054087e-16,-8.443766519317109e-15,6.437450399132683e-20,128,0,-1,4.79996204382973,1.2991081165198582e-09,4,6.76624161116982e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043694682,1.2990975440186144e-09,4,6.76618654581411e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.03,-4.0990672770142844e-13,-8.75347903428296e-15,3.189722791452354e-16,-8.753414659778969e-15,-6.437450399132683e-20,128,0,-1,4.799962043762304,1.178385890633154e-09,4,6.137475046102198e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.7999620437621076,1.178376561549423e-09,4,6.137426456740461e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.0325,-4.0992903516112733e-13,-9.021507363848533e-15,2.966783719735022e-16,-9.021429436817385e-15,-7.792703114739563e-20,128,0,-1,4.799962043762207,1.0573142679338558e-09,4,5.506888691483972e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,1.0573062778597985e-09,4,5.50684707618585e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.035,-4.099519389320211e-13,-9.248564709755415e-15,2.73788153606902e-16,-9.248678212170347e-15,1.1350241493207625e-19,128,0,-1,4.799962043762207,9.363682355415736e-10,4,4.876956458220494e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05,4.799962043762207,9.36361552605769e-10,4,4.876921650987939e-10,-0.00011999905109405518,1.99998915195454e-05,9.999915957450978e-05
normal_gate,0.0375,-4.099732163996561e-13,-9.439074278054169e-15,2.5039649173552725e-16,-9.421066357595542e-15,-1.8007920458626425e-17,128,0,-1,4.817509711765344,1.0899396694663062e-06,4,5.656136337434103e-07,-0.00012012943625450134,2.017498016357311e-05,9.995445609092823e-05,4.782414375759069,2.1783436164445126e-07,4,1.1387258847152719e-07,-0.00011986866593360901,1.982480287551769e-05,0.00010004386305809132
