time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-1.1701472799774226e-21,29.91906350011054,0.081696129205415,0.005461142138029364,4,-3.2706729963839776e-06,0.0,2.243999225425934e-21,20.058049462378406,0.07454843360134684,0.007433268498133136,4,-3.11512319682572e-06,0.0,-2.2593153119298786e-21,10.05254952859846,0.043156382039978264,0.008586156560025461,4,-2.109351718175556e-06,-5.378178605167319e-05,-0.0005022942415703767,-0.0005702136239874764,1
0.01,0.0,0.0,6.315993317051783e-20,29.492717435986886,0.016286630988393922,0.0011044510241379822,4,-3.3061619885942084e-06,0.0,-8.750555188842033e-21,19.6823531901403,0.016183629140100502,0.001644481123142079,4,-4.155928786928054e-06,0.0,-1.842131469399353e-19,9.842209051975006,0.015348463005986576,0.003118906116489498,4,-2.197209027360314e-06,4.797831157324434e-06,-7.525858088119821e-05,-7.579053083645765e-05,1
0.015,0.0,0.0,5.259379790645246e-20,29.438190764343936,0.014123099158098019,0.0009595086376846345,4,-3.2875487849318152e-06,0.0,-1.9993916231681396e-21,19.628737926256917,0.01329178727377302,0.0013543190931285395,4,-4.334833054488174e-06,0.0,-1.7860785723390867e-19,9.814277324966898,0.009870043128966886,0.002011364220136336,4,-2.191422684955091e-06,2.319449371163546e-06,-1.1256259621667337e-05,-1.0005453254237904e-05,1
0.02,0.0,0.0,8.98419371566451e-20,29.431052237473082,0.0012480141881295037,8.480934885097108e-05,4,-3.2811345371114298e-06,0.0,-5.642078887043245e-20,19.621235007465298,0.0011882873484272936,0.00012112258458503611,4,-4.365435988591682e-06,0.0,-1.9766399142053375e-19,9.810561603888296,0.0009627569111745421,0.00019626947978043687,4,-2.187530574501717e-06,6.337278595213995e-07,-1.7274194630024934e-06,-1.3011868611238468e-06,1
0.025,0.0,0.0,4.162801699443179e-20,29.430131050553648,0.0015542586296283158,0.00010562362953521926,4,-3.279508940790682e-06,0.0,-7.318588225040504e-20,19.620177071027467,0.0014358834135290992,0.00014636803820179846,4,-4.370817045830366e-06,0.0,-3.273970312007432e-20,9.810072401756972,0.0009443804377246973,0.0001925328170983855,4,-2.186394009645598e-06,1.4856356413803274e-07,-2.7357193667100686e-07,-1.6520384218104804e-07,1
0.03,0.0,0.0,4.3704446154109246e-20,29.430015460962448,0.0006090468516803062,4.138950266527577e-05,4,-3.2791400843938667e-06,0.0,-7.34946791346396e-20,19.62002587338806,0.0005636353481990905,5.7455107535162474e-05,4,-4.371788299088741e-06,0.0,-4.061885534870951e-20,9.810009062362292,0.000376421009061065,7.674223472540222e-05,4,-2.186119877463366e-06,3.244979178670993e-08,-4.4813856134988955e-08,-2.0149240500253967e-08,1
0.035,0.0,0.0,1.0188160489490003e-19,29.430001639756853,2.3431820136271636e-05,1.5923764071163148e-06,4,-3.2790609079853816e-06,0.0,-1.0058708934661414e-19,19.620003871338675,2.1928678348156002e-05,2.2353388400896177e-06,4,-4.371967447069913e-06,0.0,-1.7708434897556622e-19,9.810001077836745,1.6003609623634955e-05,3.2627131223850985e-06,4,-2.1860590472475017e-06,6.817335574921706e-09,-7.592601248289922e-09,-2.2830742915629974e-09,1
0.04,0.0,0.0,-2.0597407784125175e-20,29.430000132256026,8.250423068386786e-05,5.606811438199155e-06,4,-3.2790444438116073e-06,0.0,1.4824119360343693e-19,19.620000595863768,7.650477833111192e-05,7.798651988546875e-06,4,-4.372001060175268e-06,0.0,1.617947134751081e-18,9.810000116089459,5.20587799409842e-05,1.0613410667672101e-05,4,-2.1860461363182315e-06,1.3991983729149165e-09,-1.3274881724026365e-09,-2.2031121121696686e-10,1
0.045,0.0,0.0,-2.4704732991335446e-19,29.430000000190844,1.973379648371963e-05,1.3410666995305242e-06,4,-3.2790410862681973e-06,0.0,5.531108245116549e-19,19.620000094678495,1.8285808231276812e-05,1.8639967526031202e-06,4,-4.372007449369997e-06,0.0,1.525472159923445e-18,9.810000009771437,1.2416722883841785e-05,2.5314419717581795e-06,4,-2.1860434669396245e-06,2.829762190963475e-10,-2.385895433601471e-10,-1.2162688354749798e-11,1
0.05,0.0,0.0,-3.6654110530595494e-19,29.42999999653756,4.962430788980813e-06,3.3723620724190575e-07,4,-3.279040410038292e-06,0.0,6.474295500689256e-19,19.620000015560347,4.603616912962291e-06,4.6927797240685293e-07,4,-4.372008675583572e-06,0.0,-2.0454766819800453e-18,9.810000000141931,3.1194798986350266e-06,6.359795919653198e-07,4,-2.1860429239781154e-06,5.668306110640451e-11,-4.3876141069544367e-11,1.864203737539447e-12,1
0.055,0.0,0.0,-7.388295336655074e-20,29.42999999884621,3.8632802331358045e-06,2.6254028088938245e-07,4,-3.2790402749519054e-06,0.0,3.4312774848917494e-19,19.62000000264524,3.5811316669407955e-06,3.6504909953700043e-07,4,-4.372008912574554e-06,0.0,1.4689166254836002e-18,9.809999999785935,2.426160459522269e-06,4.946300631142121e-07,4,-2.1860428146835975e-06,1.1282595941302627e-11,-8.217426865909722e-12,9.452930122500677e-13,1
0.06,0.0,0.0,-2.1859319967044714e-19,29.429999999706826,4.438537860175143e-07,3.016335616866706e-08,4,-3.2790402481087944e-06,0.0,6.466040752072718e-19,19.62000000046144,4.109835097703797e-07,4.189434350262118e-08,4,-4.3720089586002375e-06,0.0,1.3765095696828559e-18,9.809999999924848,2.776688132428373e-07,5.6609340111103866e-08,4,-2.1860427928468984e-06,2.235269053634777e-12,-1.5609350637058766e-12,2.65364454349401e-13,1
0.065,0.0,0.0,-2.7540912806338327e-19,29.429999999937717,3.639249538523661e-07,2.473156329277175e-08,4,-3.279040242797071e-06,0.0,7.715848985809429e-19,19.62000000008735,3.3746639419853035e-07,3.440024405678164e-08,4,-4.372008967586105e-06,0.0,-5.676691706943144e-19,9.809999999982546,2.2896748440234359e-07,4.668042495468929e-08,4,-2.186042788489273e-06,4.416167158677061e-13,-2.983450311811636e-13,6.31200109347446e-14,1
0.07,0.0,0.0,-2.134570749805671e-19,29.429999999988414,1.5655046213615506e-07,1.0638835347347379e-08,4,-3.2790402417527675e-06,0.0,5.792942969857548e-19,19.620000000017736,1.450909991218349e-07,1.4790112040948393e-08,4,-4.372008969334706e-06,0.0,-3.4822164480483455e-19,9.809999999998993,9.831772420664386e-08,2.004438821746258e-08,4,-2.186042787649667e-06,8.734987778033681e-14,-5.5791498366836713e-14,1.614336613838527e-14,1
0.075,0.0,0.0,-1.7261517076532947e-19,29.42999999999659,2.5685577070267324e-09,1.7455370078335237e-10,4,-3.2790402415446007e-06,0.0,4.3219086017586196e-19,19.620000000002037,2.4038352416853583e-09,2.450392703042924e-10,4,-4.372008969674712e-06,0.0,-1.4018250327835313e-19,9.809999999999684,1.661133938465804e-09,3.38661353407922e-10,4,-2.186042787517828e-06,1.7004814672457358e-14,-1.0011673991023309e-14,1.5420832993959216e-14,1
0.08,0.0,0.0,-9.316999271287077e-20,29.42999999999881,2.043813414156594e-08,1.3889319837965863e-09,4,-3.2790402415099063e-06,0.0,3.1872155870143195e-19,19.619999999999372,1.8948670120623815e-08,1.931566780899533e-09,4,-4.372008969709407e-06,0.0,-1.328013523471236e-19,9.80999999999969,1.284827413866579e-08,2.6194238814813857e-09,4,-2.186042787517828e-06,4.0787100413515865e-15,-7.653116197509629e-15,1.590666658953518e-14,1
0.085,0.0,0.0,-8.891982638769934e-20,29.43000000000026,5.3278091119338755e-09,3.620665383577186e-10,4,-3.2790402415099063e-06,0.0,2.520636874444178e-19,19.620000000000168,4.9368185081585765e-09,5.032434768765071e-10,4,-4.372008969709407e-06,0.0,6.300048886284385e-21,9.810000000000084,3.3434593319976524e-09,6.81643085014806e-10,4,-2.186042787517828e-06,3.989448110171725e-15,-7.607375008895077e-15,1.5940417369483787e-14,1
0.09,0.0,0.0,-9.269455516410731e-20,29.43000000000044,1.1015710065115468e-09,7.486041498549306e-11,4,-3.2790402415099063e-06,0.0,2.285305886152958e-19,19.62000000000027,1.0220870055761695e-09,1.0418827783650922e-10,4,-4.372008969709407e-06,0.0,8.38197845521845e-20,9.810000000000128,6.942244506996718e-10,1.4153403683989048e-10,4,-2.186042787517828e-06,3.938377851038968e-15,-7.653560286719484e-15,1.589556435928893e-14,1
0.095,0.0,0.0,-1.4315049947156588e-19,29.430000000000355,9.878952007832726e-10,6.713524979838673e-11,4,-3.2790402415099063e-06,0.0,2.232836612284768e-19,19.620000000000218,9.152003375499463e-10,9.329259302241959e-11,4,-4.372008969709407e-06,0.0,2.625441717823307e-19,9.810000000000102,6.196003419863195e-10,1.263201512714196e-10,4,-2.186042787517828e-06,3.95214461654432e-15,-7.624694488079228e-15,1.5922653801089788e-14,1
0.1,0.0,0.0,-2.0115347231400317e-20,29.430000000000263,1.3460194661130982e-10,9.147261067707007e-12,4,-3.2790402415099063e-06,0.0,1.1378239534275306e-19,19.620000000000168,1.252904856849895e-10,1.2771711078999841e-11,4,-4.372008969709407e-06,0.0,1.405680186188643e-19,9.810000000000084,8.563396247900661e-11,1.745850407319182e-11,4,-2.186042787517828e-06,3.993444913060375e-15,-7.607819098104927e-15,1.5939973280273935e-14,1
0.105,0.0,0.0,-5.712829071456357e-21,29.430000000000053,9.502515785433246e-11,6.457706955782011e-12,4,-3.2790402415099063e-06,0.0,-1.2667615965339584e-19,19.620000000000026,8.757972855737657e-11,8.927597202586795e-12,4,-4.372008969709407e-06,0.0,-1.357650025432259e-18,9.810000000000015,5.864949698100986e-11,1.1957083992050922e-11,4,-2.186042787517828e-06,4.049844242711334e-15,-7.540761627417565e-15,1.6004366215702198e-14,1
0.11,0.0,0.0,-2.571027358774163e-20,29.430000000000174,4.823895975321907e-11,3.278216768822208e-12,4,-3.2790402415099063e-06,0.0,-4.644145314063361e-19,19.620000000000104,4.4355765227732413e-11,4.5214847326944116e-12,4,-4.372008969709407e-06,0.0,-6.364678442974016e-19,9.81000000000005,2.958310422515313e-11,6.031213909307437e-12,4,-2.186042787517828e-06,4.0147611951331806e-15,-7.57229196131692e-15,1.5971059524963445e-14,1
0.115,0.0,0.0,-7.982611833847263e-19,29.43000000000018,2.3478689187987384e-12,1.5955616165808522e-13,4,-3.2790402415099063e-06,0.0,-3.9402559288709697e-19,19.62000000000004,2.1334259610395914e-12,2.1747461376550328e-13,4,-4.372008969709407e-06,0.0,-3.0043965295247023e-19,9.810000000000034,1.2209306022732992e-12,2.4891551524430067e-13,4,-2.186042787517828e-06,3.964135025210274e-15,-7.540761627417563e-15,1.5985270379678652e-14,1
