time_s,cube_z_m,left_lift_m,right_lift_m,contact_count
0.0,0.020999999716877937,0.0,0.0,0
0.001,0.020990189164876938,-9.732143553264905e-06,-9.726675671117846e-06,512
0.002,0.020970569923520088,-2.911436604335904e-05,-2.9098053346388042e-05,512
0.003,0.02094114013016224,-5.806046101497486e-05,-5.802802479593083e-05,512
0.004,0.02090189978480339,-9.648017294239253e-05,-9.642643271945417e-05,512
0.005,0.020852848887443542,-0.00014427925634663552,-0.00014419913350138813,512
0.006,0.020793989300727844,-0.0002013595512835309,-0.0002012480836128816,512
0.007,0.020725319162011147,-0.0002676190924830735,-0.000267471419647336,512
0.008,0.02064683847129345,-0.00034295214572921395,-0.0003427635529078543,512
0.009000000000000001,0.020558549091219902,-0.00042724935337901115,-0.00042701521306298673,512
0.01,0.020460449159145355,-0.000520397734362632,-0.0005201135645620525,512
0.011,0.02035253867506981,-0.0006222808733582497,-0.000621942279394716,512
0.012,0.020234819501638412,-0.0007327788625843823,-0.0007323816535063088,512
0.013000000000000001,0.020107289776206017,-0.000851768534630537,-0.0008513085776939988,512
0.014,0.01996994949877262,-0.0009791235206648707,-0.0009785968577489257,512
0.015,0.019959257915616035,-0.0011147141922265291,-0.001114116981625557,512
0.016,0.01995832286775112,-0.0012540988391265273,-0.001253429101780057,512
0.017,0.019958140328526497,-0.0013970016734674573,-0.0013962595257908106,512
0.018000000000000002,0.019958017393946648,-0.0015431538922712207,-0.001542339101433754,512
0.019,0.019957901909947395,-0.0016922936774790287,-0.001691405544988811,512
0.02,0.019957788288593292,-0.0018441658467054367,-0.0018432034412398934,512
0.021,0.01995767652988434,-0.0019985223188996315,-0.0019974843598902225,512
0.022,0.019957566633820534,-0.0021551218815147877,-0.0021540066227316856,512
0.023,0.01995745860040188,-0.0023137300740927458,-0.002312535187229514,512
0.024,0.019957352429628372,-0.0024741191882640123,-0.0024728423450142145,512
0.025,0.019957248121500015,-0.0026360685005784035,-0.0026347069069743156,512
0.026000000000000002,0.01995714381337166,-0.0027993638068437576,-0.0027979144360870123,512
0.027,0.01995704136788845,-0.002963797654956579,-0.0029622570145875216,512
0.028,0.019956940785050392,-0.0031291693449020386,-0.00312753370963037,512
0.029,0.019956842064857483,-0.0032952846959233284,-0.0032935498747974634,512
0.03,0.019956745207309723,-0.0034619560465216637,-0.0034601176157593727,512
0.031,0.019956650212407112,-0.003629002021625638,-0.003627055324614048,512
0.032,0.01995655708014965,-0.003796247998252511,-0.0037941881455481052,512
0.033,0.019956465810537338,-0.003963525407016277,-0.003961347043514252,512
0.034,0.019956374540925026,-0.004130672197788954,-0.004128369968384504,512
0.035,0.019956285133957863,-0.004297532141208649,-0.00429509999230504,512
0.036000000000000004,0.01995619758963585,-0.004463955760002136,-0.004461387638002634,512
0.037,0.019956111907958984,-0.004629798699170351,-0.004627088084816933,512
0.038,0.01995602808892727,-0.00479492312297225,-0.004792063497006893,512
0.039,0.019955944269895554,-0.004959196783602238,-0.00495618162676692,512
0.04,0.019955862313508987,-0.0051224930211901665,-0.005119315814226866,512
0.041,0.01995578221976757,-0.005284691695123911,-0.00528134498745203,512
0.042,0.019955702126026154,-0.005445677321404219,-0.005442153662443161,512
0.043000000000000003,0.019955623894929886,-0.005605340003967285,-0.005601632408797741,512
0.044,0.019955547526478767,-0.005763575434684753,-0.005759676452726126,512
0.045,0.01995547115802765,-0.005920284893363714,-0.005916186608374119,512
0.046,0.01995539665222168,-0.006075373850762844,-0.006071068812161684,512
0.047,0.01995532400906086,-0.0062287538312375546,-0.006224234588444233,512
0.048,0.01995525136590004,-0.00638034101575613,-0.006375599652528763,512
0.049,0.01995518058538437,-0.006530056241899729,-0.006525084841996431,512
0.05,0.019955111667513847,-0.006677825003862381,-0.006672615651041269,512
0.051000000000000004,0.019955042749643326,-0.006823577918112278,-0.006818122696131468,512
0.052000000000000005,0.019954975694417953,-0.006967249792069197,-0.006961540784686804,512
0.053,0.01995491050183773,-0.007108780089765787,-0.00710280891507864,512
0.054,0.019954845309257507,-0.007248112466186285,-0.007241871207952499,512
0.055,0.019954781979322433,-0.007385194767266512,-0.007378675509244204,512
0.056,0.01995471864938736,-0.007519978564232588,-0.00751317385584116,512
0.057,0.019954657182097435,-0.007652420084923506,-0.007645322009921074,512
0.058,0.01995459571480751,-0.007782479282468557,-0.007775080390274525,512
0.059000000000000004,0.019954536110162735,-0.00791012030094862,-0.007902412675321102,512
0.06,0.01995447650551796,-0.008035309612751007,-0.00802728533744812,512
0.061,0.019954418763518333,-0.008158018812537193,-0.00814967043697834,512
0.062,0.019954361021518707,-0.00827822182327509,-0.008269541896879673,512
0.063,0.01995430514216423,-0.008395896293222904,-0.008386878296732903,512
0.064,0.019954249262809753,-0.008511023595929146,-0.008501660078763962,512
0.065,0.019954195246100426,-0.008623587898910046,-0.008613872341811657,512
0.066,0.019954141229391098,-0.008733577094972134,-0.008723502047359943,512
0.067,0.01995408907532692,-0.008840980008244514,-0.008830539882183075,512
0.068,0.01995403692126274,-0.00894579105079174,-0.008934978395700455,512
0.069,0.019953986629843712,-0.009048005566000938,-0.009036814793944359,512
0.07,0.019953936338424683,-0.00914762169122696,-0.009136046282947063,512
0.07100000000000001,0.019953887909650803,-0.009244640357792377,-0.009232674725353718,512
0.07200000000000001,0.019953839480876923,-0.009339065290987492,-0.00932670384645462,512
0.073,0.019953792914748192,-0.009430903010070324,-0.009418140165507793,512
0.074,0.01995374634861946,-0.009520160965621471,-0.009506992064416409,512
0.075,0.01995369978249073,-0.009606849402189255,-0.009593268856406212,512
0.076,0.01995365507900715,-0.009690980426967144,-0.009676984511315823,512
0.077,0.019953610375523567,-0.009772568941116333,-0.00975815299898386,512
0.078,0.019953567534685135,-0.009851631708443165,-0.009836791083216667,512
0.079,0.019953524693846703,-0.009928186424076557,-0.009912916459143162,512
0.08,0.01995348185300827,-0.010002252645790577,-0.00998655054718256,512
0.081,0.019953440874814987,-0.01007385179400444,-0.010057713836431503,512
0.082,0.019953399896621704,-0.010143008083105087,-0.010126430541276932,512
0.083,0.01995335891842842,-0.010209744796156883,-0.010192724876105785,512
0.084,0.019953319802880287,-0.010274088941514492,-0.010256623849272728,512
0.085,0.019953280687332153,-0.010336066596210003,-0.010318154469132423,512
0.08600000000000001,0.01995324157178402,-0.010395707562565804,-0.010377345606684685,512
