time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
3.58,approach,3.58,0.34927362,-0.14999063,0.020422557,0.005459457,0.00080670643,-0.0012834019,0.99998397,0.0,0.0,0.0,0.006408998233608372,1,0.00029298203298822045,256,0,-1,0.0036774736,0.31782174,-0.32279924,-2.539167,-0.16836716,2.4883056,0.78555566,0.021934407,0.022042096,14.009280915786462,7.986496634232547,0.7126076529410678,1,13.680352951447281,9.108533059702355,0.8322640771796332,1
3.59,approach,3.59,0.34925896,-0.14997113,0.020405691,0.0057165823,0.0011462644,-0.0015474397,0.9999819,0.0,0.0,0.0,0.006418863962250958,1,0.00031284315627999604,256,0,-1,0.003670288,0.31783125,-0.32280618,-2.5391712,-0.16836774,2.4883053,0.78555566,0.021897782,0.022060022,14.361971850763247,8.128966586884319,0.7075078783882587,1,13.802597625872718,9.30105678335802,0.8423284728234196,1
3.6,approach,3.6,0.34924808,-0.14992361,0.020385195,0.005962673,0.0014948691,-0.0018601432,0.99997944,0.0,0.0,0.0,0.00642711931214994,1,0.0002803248353302479,256,0,-1,0.003664713,0.31783906,-0.32281142,-2.539175,-0.1683681,2.4883053,0.78555566,0.021856124,0.022110527,13.83715893972432,7.877417500767647,0.711618036538629,1,13.464323002340805,8.983982249652387,0.8340543976933058,1
3.61,approach,3.61,0.3492408,-0.14986001,0.020365577,0.0061717695,0.0018627893,-0.0021455842,0.99997693,0.0,0.0,0.0,0.006433703476110361,1,0.0002774075837805867,256,0,-1,0.0036606365,0.31784523,-0.3228153,-2.5391781,-0.16836844,2.4883053,0.78555566,0.02178493,0.022171475,13.918536061137958,7.917850714969048,0.7110886770158011,1,13.529620707900271,9.027090351015147,0.8340117718289038,1
3.62,approach,3.62,0.34924605,-0.14978872,0.020349434,0.006178229,0.001886073,-0.0023204912,0.99997646,0.0,0.0,0.0,0.006437786575822905,1,0.00027932613738812506,256,0,-1,0.0036572395,0.31784925,-0.32281902,-2.5391798,-0.16836892,2.488305,0.78555584,0.021700196,0.02224615,14.04237274422403,7.982723661122786,0.7105924873350083,1,13.458435601188842,9.126798727670545,0.8476838428814429,1
3.63,approach,3.63,0.34925875,-0.1497163,0.020336203,0.006066834,0.001688779,-0.002427258,0.99997723,0.0,0.0,0.0,0.006439254709436338,1,0.000281516375252977,256,0,-1,0.0036536318,0.31785107,-0.3228234,-2.53918,-0.16836947,2.4883046,0.7855562,0.021612694,0.022324534,14.091547586899146,8.009494275546748,0.7104874594286171,1,13.417220832502716,9.15967954213386,0.8533510456898121,1
3.64,approach,3.64,0.34927297,-0.1496424,0.020323493,0.005947656,0.001469318,-0.0025272758,0.99997807,0.0,0.0,0.0,0.006439404259542454,1,0.00028180249501019716,256,0,-1,0.003650087,0.31785163,-0.32282764,-2.5391798,-0.16836989,2.4883041,0.78555644,0.021524312,0.022403933,14.096445306936833,8.000274035296002,0.7094230017832122,1,13.419990653071414,9.155342140119563,0.8527709125140293,1
3.65,approach,3.65,0.3492878,-0.14956705,0.020310858,0.005829431,0.0012498753,-0.0026268368,0.9999788,0.0,0.0,0.0,0.006438937463742608,1,0.00028198582003824413,256,0,-1,0.0036470054,0.3178516,-0.32283127,-2.5391793,-0.1683702,2.4883041,0.7855567,0.021435019,0.022484247,14.10188856799314,7.991510235219011,0.7083723393401745,1,13.422748430846005,9.151030786758083,0.8521942091353524,1
3.66,approach,3.66,0.3493031,-0.1494903,0.02029816,0.005711386,0.0010299832,-0.0027255386,0.9999795,0.0,0.0,0.0,0.006438300504093418,1,0.00028207761351950467,256,0,-1,0.003644515,0.31785133,-0.32283425,-2.5391788,-0.16837046,2.4883041,0.78555685,0.021344846,0.022565424,14.106707625261588,7.982389072444711,0.7073221197756879,1,13.425903467358763,9.14643639273377,0.851566192078871,1
3.67,approach,3.67,0.3493187,-0.14941233,0.020285344,0.005592644,0.00081044214,-0.002823805,0.9999801,0.0,0.0,0.0,0.006437629930757781,1,0.000282141292700544,256,0,-1,0.0036426014,0.31785098,-0.32283655,-2.5391784,-0.16837065,2.4883041,0.785557,0.0212538,0.022647573,14.111754245171321,7.973729023115754,0.7063020731320628,1,13.427244221775766,9.141971240910967,0.8510654801829035,1
