tag,preset,success,failure_mode,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_proxy_ratio,max_truncated_contacts,wall_s
m0.1_mu0.3_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19316060841083527,2.7850813060671733,1.4260073651343155,0.3009627398569137,0.01773001465277301,0.5621951219512196,0,23.687234800308943
m0.1_mu0.35_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1936451643705368,3.0426960730481354,1.851795099993192,0.30095651163719594,0.017730005502630836,0.5628048780487804,0,22.00718060042709
m0.1_mu0.4_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19286467134952545,2.631884690938756,1.0569386579800788,0.2993292291648686,0.01773025372836888,0.5628048780487804,0,20.589691505767405
m0.1_mu0.45_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19264326989650726,2.5884977216312675,1.0527384376359663,0.2972897491417825,0.01773025904012728,0.5628048780487804,0,18.829582673497498
m0.1_mu0.5_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19245070219039917,2.865004601114915,1.1811211198219005,0.2972143411170691,0.01773017073210461,0.5634146341463414,0,18.547423588111997
m0.1_mu0.6_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1924518197774887,4.200550765569165,13.691515384839175,0.3011987137142569,0.017729317261393575,0.5634146341463414,0,17.19875997584313
m0.1_mu0.7_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19263269007205963,4.581686825149398,14.537147283063879,0.30000667902641,0.017729278467334027,0.5640243902439024,0,17.931410583667457
m0.1_mu0.8_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19262884557247162,4.594736055397652,14.561024006295005,0.3000496362801641,0.0177292796360755,0.5640243902439024,0,17.976851258426905
m0.15_mu0.3_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19274477660655975,2.659268444026646,1.1525143342948991,0.3017629496753216,0.017754283439538002,0.5621951219512196,0,25.398721295408905
m0.15_mu0.35_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19351650774478912,2.9929190399191032,1.4607432460526517,0.30263085500337183,0.017754299958820264,0.5628048780487804,0,20.855538645759225
m0.15_mu0.4_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19261521100997925,2.5706403883218045,0.7069754652797905,0.2979449345730245,0.017754651382002565,0.5628048780487804,0,19.227434721775353
m0.15_mu0.45_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19238707423210144,2.5364780276356482,0.7317794293925298,0.29615138191729784,0.017754657333837888,0.5628048780487804,0,18.712003838270903
m0.15_mu0.5_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19215483963489532,2.692310516510589,0.764471256711214,0.2950731141027063,0.017754564684877298,0.5634146341463414,0,19.546516694128513
m0.15_mu0.6_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,rotation_or_torque_failure,0.1918211132287979,4.021745834630558,17.005842335457,0.30681630596518517,0.017753356523338117,0.5634146341463414,0,17.174008762463927
m0.15_mu0.7_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19255051016807556,4.823280654790188,14.413170160876515,0.29130378970876336,0.017753471750626634,0.5640243902439024,0,17.803844390437007
m0.15_mu0.8_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19255219399929047,4.8359968168370315,14.385667463538024,0.2918374084401876,0.017753471747556142,0.5640243902439024,0,18.9067769870162
m0.2_mu0.3_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19232895970344543,2.56680559565931,1.1078765269418402,0.3008320345543325,0.017778650064146622,0.5621951219512196,0,26.796707950532436
m0.2_mu0.4_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19235359132289886,2.5257670528670015,0.5529195057637943,0.2975804090965539,0.017779132031394203,0.5628048780487804,0,22.238772520795465
m0.2_mu0.5_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1919240802526474,2.6798156120195653,0.6435573833288888,0.2935134689323604,0.01777903822479563,0.5634146341463414,0,20.580721890553832
m0.2_mu0.6_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,rotation_or_torque_failure,0.19133232533931732,3.823520380293252,15.490400667354363,0.30405103461816907,0.01777769440511641,0.5634146341463414,0,22.346871967427433
m0.2_mu0.7_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19252848625183105,4.938220653968516,13.208944824311716,0.2895114594139159,0.017777849046686587,0.5634146341463414,0,21.033045939169824
m0.2_mu0.8_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1925070583820343,4.953889125374335,13.764285030250534,0.29009979334659874,0.01777784482079255,0.5640243902439024,0,20.900057047605515
m0.3_mu0.1_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019985295832157135,356.9423054250152,38.80946063841049,0.3225787659175694,0.017678958751428723,0.08841463414634146,0,12.530282875522971
m0.3_mu0.11_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.01998528465628624,357.36889139895914,38.80946142047385,0.34951503039337695,0.01767895874911146,0.09329268292682927,0,11.883486740291119
m0.3_mu0.12_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1882668286561966,2.106553747114314,1.0288434436261233,0.3141493652947247,0.01782770034299074,0.5591463414634147,0,27.140738567337394
m0.3_mu0.13_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19005273282527924,2.0660870567764253,0.2519185630138611,0.31410527299158275,0.01782774857159113,0.5591463414634147,0,26.73444651067257
m0.3_mu0.14_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19082187116146088,2.0651837826743584,0.12287915953381691,0.31833825050853193,0.017827751286111006,0.5597560975609757,0,25.888293606229126
m0.3_mu0.15_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19114604592323303,2.0985292913261784,0.11190004796221235,0.3136059094686061,0.01782775179145432,0.5597560975609757,0,26.06501672323793
m0.4_mu0.15_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,transfer_slip,0.01998039148747921,168.6408428666891,4.258933164167266,0.3114058927167207,0.017815790482496742,0.3823170731707317,0,23.532013585790992
m0.4_mu0.16_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.18802322447299957,2.1584364463534227,0.729540887849298,0.3046522615477443,0.017877259872734762,0.5603658536585366,0,30.154964562505484
m0.4_mu0.17_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.18980786204338074,2.11141070967883,0.23145009344247305,0.3083673946093768,0.01787726814989237,0.5603658536585366,0,28.359970482066274
m0.4_mu0.18_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19063247740268707,2.1401653426629155,0.12218799615871494,0.3085087228100747,0.01787726242099515,0.5603658536585366,0,28.253555411472917
m0.4_mu0.19_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19093425571918488,2.158660161171379,0.1421556902315532,0.30642226920463145,0.017877262205366087,0.5609756097560976,0,27.48083766363561
m0.4_mu0.2_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.19104065001010895,2.187092531090401,0.22321155966806971,0.30730472644791007,0.017877243164126054,0.5609756097560976,0,26.706023529171944
m0.5_mu0.15_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019975487142801285,356.65906689096374,38.80947442356975,0.31018315348774195,0.017678958751412798,0.08902439024390243,0,11.900331359356642
m0.5_mu0.16_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019975487142801285,356.7216383736639,38.80947119870848,0.3097100416198373,0.0176789587514367,0.08963414634146341,0,12.319222321733832
m0.5_mu0.17_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.01997547596693039,356.841959095028,38.80948084877905,0.30907447217032313,0.017678958749067032,0.09024390243902439,0,12.022341603413224
m0.5_mu0.18_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019975479692220688,357.02212492717723,38.809471849924456,0.3082240582443774,0.017678958749056492,0.09207317073170732,0,12.204713526181877
m0.5_mu0.19_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019975487142801285,316.2317876333825,38.800201248810865,0.397075287764892,0.017790706399139586,0.24451219512195121,0,19.659220994450152
m0.5_mu0.2_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.18744441866874695,2.2632731792056355,0.8174058667464087,0.3074707346968353,0.017927043376984288,0.5609756097560976,0,26.903755836188793
m0.6_mu0.2_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019970573484897614,356.57488573389224,38.80946392063629,0.30753776081837714,0.01767895874907063,0.09085365853658536,0,11.544158594682813
m0.6_mu0.21_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019970571622252464,356.7550717265337,38.80943865402284,0.30785147100687027,0.017678958749400057,0.09146341463414634,0,11.644297510385513
m0.6_mu0.22_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019970569759607315,357.042500765165,38.80947561406368,0.3087007498834282,0.01767895875141241,0.09268292682926829,0,12.701897898688912
m0.6_mu0.23_drake_ke50000_tau1ms_f16mm_cap15N,drake,False,normal_contact_instability,0.019970569759607315,358.3518652508322,38.809465839663595,0.3869248612318188,0.01767895879845458,0.10365853658536585,0,11.686937493272126
m0.6_mu0.24_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.18698182702064514,2.432420329787505,1.1539135987017743,0.30862921266816556,0.017977445735659438,0.5621951219512196,0,26.577904862351716
m0.6_mu0.25_drake_ke50000_tau1ms_f16mm_cap15N,drake,True,success,0.1887696236371994,2.3449893022273685,0.54563506691283,0.30721945222467184,0.017977445702968973,0.5621951219512196,0,27.99348297715187
