time_s,x_m,y_m,z_m,qx,qy,qz,qw
0.000000000000000000e+00,1.000000047497451305e-03,0.000000000000000000e+00,1.199975460767745972e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000104e-03,1.000000047497451305e-03,0.000000000000000000e+00,1.198381260037422180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.194334626197814941e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.499999999999999944e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.187835484743118286e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000042e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.178883835673332214e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.500000000000000139e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.167479753494262695e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.999999999999999889e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.153623163700103760e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.500000000000000333e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.137314066290855408e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000083e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.118552535772323608e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.499999999999999833e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.097338497638702393e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.000000000000000278e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.073671802878379822e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.500000000000000028e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.047552675008773804e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.999999999999999778e-02,1.000000047497451305e-03,0.000000000000000000e+00,1.018981114029884338e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.500000000000000222e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.879569709300994873e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000666e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.544803947210311890e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.499999999999999722e-02,1.000000047497451305e-03,0.000000000000000000e+00,9.185513854026794434e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000167e-02,1.000000047497451305e-03,0.000000000000000000e+00,8.801697939634323120e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.500000000000000611e-02,1.000000047497451305e-03,0.000000000000000000e+00,8.393357694149017334e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.999999999999999667e-02,1.000000047497451305e-03,0.000000000000000000e+00,7.960493117570877075e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.500000000000000111e-02,1.000000047497451305e-03,0.000000000000000000e+00,7.503102719783782959e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,1.000000047497451305e-03,0.000000000000000000e+00,7.021187990903854370e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.049999999999999961e-01,1.000000047497451305e-03,0.000000000000000000e+00,6.514748185873031616e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.100000000000000006e-01,1.000000047497451305e-03,0.000000000000000000e+00,5.983783304691314697e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.150000000000000050e-01,1.000000047497451305e-03,0.000000000000000000e+00,5.428293347358703613e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.199999999999999956e-01,1.000000047497451305e-03,0.000000000000000000e+00,4.848278686404228210e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e-01,1.000000047497451305e-03,0.000000000000000000e+00,4.243739321827888489e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.300000000000000044e-01,1.000000047497451305e-03,0.000000000000000000e+00,3.614674881100654602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.350000000000000089e-01,9.999985340982675552e-04,-1.667649796033288112e-09,3.513437137007713318e-02,-2.408637378437106236e-08,2.359980300070674275e-08,-2.267237673915945689e-14,1.000000000000000000e+00
1.400000000000000133e-01,9.999980684369802475e-04,-2.158900391791007678e-09,3.509061783552169800e-02,-1.771276458839565748e-08,1.706648689037137956e-08,-2.568851029246740914e-14,1.000000000000000000e+00
1.449999999999999900e-01,9.999980684369802475e-04,-2.196631321282893623e-09,3.509037569165229797e-02,-1.695583229377461976e-08,1.633927126931666862e-08,-2.632423731850196819e-14,1.000000000000000000e+00
1.499999999999999944e-01,9.999980684369802475e-04,-2.198266901842771404e-09,3.509027138352394104e-02,-1.692166584632559534e-08,1.634521673565814126e-08,-2.633565193449916714e-14,1.000000000000000000e+00
1.549999999999999989e-01,9.999980684369802475e-04,-2.198451642954069030e-09,3.509022668004035950e-02,-1.691745232790253795e-08,1.638193580788538384e-08,-2.632102367550008537e-14,1.000000000000000000e+00
1.600000000000000033e-01,9.999980684369802475e-04,-2.198600634883973726e-09,3.509020805358886719e-02,-1.691441298135032412e-08,1.642001024038108881e-08,-2.630530782619672908e-14,1.000000000000000000e+00
1.650000000000000078e-01,9.999980684369802475e-04,-2.198753845661371997e-09,3.509020805358886719e-02,-1.691137541115494969e-08,1.645818414885980019e-08,-2.628955301337779910e-14,1.000000000000000000e+00
1.700000000000000122e-01,9.999980684369802475e-04,-2.198907056438770269e-09,3.509020805358886719e-02,-1.690833784095957526e-08,1.649635805733851157e-08,-2.627379820055886911e-14,1.000000000000000000e+00
1.750000000000000167e-01,9.999980684369802475e-04,-2.199060267216168540e-09,3.509020805358886719e-02,-1.690530027076420083e-08,1.653453196581722295e-08,-2.625804338773993912e-14,1.000000000000000000e+00
1.799999999999999933e-01,9.999980684369802475e-04,-2.199213477993566812e-09,3.509020805358886719e-02,-1.690226270056882640e-08,1.657270587429593434e-08,-2.624228857492100914e-14,1.000000000000000000e+00
1.849999999999999978e-01,9.999980684369802475e-04,-2.199366688770965084e-09,3.509020805358886719e-02,-1.689922513037345198e-08,1.661087978277464572e-08,-2.622653376210207915e-14,1.000000000000000000e+00
1.900000000000000022e-01,9.999980684369802475e-04,-2.199519899548363355e-09,3.509020805358886719e-02,-1.689618756017807755e-08,1.664905369125335710e-08,-2.621077894928314916e-14,1.000000000000000000e+00
1.950000000000000067e-01,9.999980684369802475e-04,-2.199673110325761627e-09,3.509020805358886719e-02,-1.689314998998270312e-08,1.668722759973206848e-08,-2.619502413646421918e-14,1.000000000000000000e+00
2.000000000000000111e-01,9.999980684369802475e-04,-2.199826321103159898e-09,3.509020805358886719e-02,-1.689011241978732869e-08,1.672540150821077987e-08,-2.617926932364528919e-14,1.000000000000000000e+00
2.050000000000000155e-01,9.999980684369802475e-04,-2.199979531880558170e-09,3.509020805358886719e-02,-1.688707484959195426e-08,1.676357541668949125e-08,-2.616351451082635921e-14,1.000000000000000000e+00
2.099999999999999922e-01,9.999980684369802475e-04,-2.200132742657956442e-09,3.509020805358886719e-02,-1.688403727939657983e-08,1.680174932516820263e-08,-2.614775969800742922e-14,1.000000000000000000e+00
2.149999999999999967e-01,9.999980684369802475e-04,-2.200285953435354713e-09,3.509020805358886719e-02,-1.688099970920120541e-08,1.683992323364691401e-08,-2.613200488518849923e-14,1.000000000000000000e+00
2.200000000000000011e-01,9.999980684369802475e-04,-2.200439164212752985e-09,3.509020805358886719e-02,-1.687796213900583098e-08,1.687809714212562540e-08,-2.611625007236956925e-14,1.000000000000000000e+00
2.250000000000000056e-01,9.999980684369802475e-04,-2.200592374990151256e-09,3.509020805358886719e-02,-1.687492456881045655e-08,1.691627105060433678e-08,-2.610049525955063926e-14,1.000000000000000000e+00
2.300000000000000100e-01,9.999980684369802475e-04,-2.200745585767549528e-09,3.509020805358886719e-02,-1.687188699861508212e-08,1.695444495908304816e-08,-2.608474044673170927e-14,1.000000000000000000e+00
2.350000000000000144e-01,9.999980684369802475e-04,-2.200898796544947800e-09,3.509020805358886719e-02,-1.686884942841970769e-08,1.699261886756175954e-08,-2.606898563391277929e-14,1.000000000000000000e+00
2.399999999999999911e-01,9.999980684369802475e-04,-2.201052007322346071e-09,3.509020805358886719e-02,-1.686581185822433326e-08,1.703079277604047093e-08,-2.605323082109384930e-14,1.000000000000000000e+00
2.449999999999999956e-01,9.999980684369802475e-04,-2.201205218099744343e-09,3.509020805358886719e-02,-1.686277428802895884e-08,1.706896668451918231e-08,-2.603747600827491931e-14,1.000000000000000000e+00
2.500000000000000000e-01,9.999980684369802475e-04,-2.201358428877142615e-09,3.509020805358886719e-02,-1.685973671783358441e-08,1.710714059299789369e-08,-2.602172119545598933e-14,1.000000000000000000e+00
2.550000000000000044e-01,9.999980684369802475e-04,-2.201511639654540886e-09,3.509020805358886719e-02,-1.685669914763820998e-08,1.714531450147660507e-08,-2.600596638263705934e-14,1.000000000000000000e+00
2.600000000000000089e-01,9.999980684369802475e-04,-2.201664850431939158e-09,3.509020805358886719e-02,-1.685366157744283555e-08,1.718348840995531646e-08,-2.599021156981812936e-14,1.000000000000000000e+00
2.650000000000000133e-01,9.999980684369802475e-04,-2.201818061209337429e-09,3.509020805358886719e-02,-1.685062400724746112e-08,1.722166231843402784e-08,-2.597445675699919937e-14,1.000000000000000000e+00
2.700000000000000178e-01,9.999980684369802475e-04,-2.201971271986735701e-09,3.509020805358886719e-02,-1.684758643705208669e-08,1.725983622691273922e-08,-2.595870194418026938e-14,1.000000000000000000e+00
2.750000000000000222e-01,9.999980684369802475e-04,-2.202124482764133973e-09,3.509020805358886719e-02,-1.684454886685671227e-08,1.729801013539145060e-08,-2.594294713136133940e-14,1.000000000000000000e+00
2.800000000000000266e-01,9.999980684369802475e-04,-2.202277693541532244e-09,3.509020805358886719e-02,-1.684151129666133784e-08,1.733618404387016199e-08,-2.592719231854240941e-14,1.000000000000000000e+00
2.850000000000000311e-01,9.999980684369802475e-04,-2.202430904318930516e-09,3.509020805358886719e-02,-1.683847372646596341e-08,1.737435795234887337e-08,-2.591143750572347942e-14,1.000000000000000000e+00
2.899999999999999800e-01,9.999980684369802475e-04,-2.202584115096328787e-09,3.509020805358886719e-02,-1.683543615627058898e-08,1.741253186082758475e-08,-2.589568269290454944e-14,1.000000000000000000e+00
