case,geometry,initial_offset_mm,final_center_mm,ke_shape_N_m,tau_shape_ms,dt_ms,rigid_gap_mm,preset,entered_cavity,max_contacts,max_phi0_penetration_mm,max_raw_witness_penetration_mm,final_phi0_penetration_mm,truncated_contacts,stepping_wall_s,end_to_end_wall_s
square_offset_ke10000_tau3ms_dt0.5ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000000474974513, 2.1593135265951524e-08, 35.090167075395584]",10000.0,3.0,0.5,0.1,drake,True,4,0.3897557035088539,0.38975572610125503,0.009831972420215607,0,24.027574312407523,24.416413293685764
square_offset_ke1000_tau3ms_dt0.5ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000028414651752, -4.099329320439438e-06, 35.00189259648323]",1000.0,3.0,0.5,0.1,drake,True,4,1.6396678984165192,1.6396682071930184,0.0981055200099945,0,12.838239611126482,12.90882017929107
square_offset_ke100000_tau3ms_dt0.5ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000000474974513, 1.945639344080874e-07, 35.09899601340294]",100000.0,3.0,0.5,0.1,drake,True,4,0.2421373501420021,0.24213735073301082,0.0010021030902862549,0,13.104831567965448,13.175045694224536
square_offset_ke10000_tau1ms_dt0.5ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000023758038878, 2.0778441467417252e-08, 35.090163350105286]",10000.0,1.0,0.5,0.1,drake,True,4,0.5631232634186745,0.563123329202087,0.009806826710700989,0,14.238637352827936,14.311652638949454
square_offset_ke10000_tau10ms_dt0.5ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000000474974513, 1.5013053300538814e-07, 35.090114921331406]",10000.0,10.0,0.5,0.1,drake,True,4,0.2929801121354103,0.2929801191920841,0.009884126484394073,0,13.564514244906604,13.636114059947431
square_offset_ke10000_tau3ms_dt0.25ms_gap0.1mm_drake,analytic_square,1.0,"[1.0000000474974513, 6.382241263258592e-08, 35.09014844894409]",10000.0,3.0,0.25,0.1,drake,True,4,0.25866273790597916,0.2586627678054792,0.009850598871707916,0,27.090344524011016,27.304556660354137
square_offset_ke10000_tau3ms_dt1ms_gap0.1mm_drake,analytic_square,1.0,"[0.9999955072999, -6.400169727527327e-06, 35.09017825126648]",10000.0,3.0,1.0,0.1,drake,True,4,0.11346489191055298,0.11346577957049502,0.009819865226745605,0,6.448817611206323,6.518947345204651
square_offset_ke10000_tau3ms_dt0.5ms_gap0mm_drake,analytic_square,1.0,"[1.0000000474974513, 1.560893814200881e-05, 35.006921738386154]",10000.0,3.0,0.5,0.0,drake,True,4,0.3897557035088539,0.38975572610125503,0.10414421558380127,0,11.987727489788085,12.05656936392188
square_offset_ke10000_tau3ms_dt0.5ms_gap0.5mm_drake,analytic_square,1.0,"[0.9999980684369802, -2.254966879888798e-06, 35.09020805358887]",10000.0,3.0,0.5,0.5,drake,True,4,0.00979006290435791,0.009790988050065582,0.00979006290435791,0,12.913596933241934,12.986492013093084
