engine,mujoco_version,stack_count,dt_ms,duration_s,solver,integrator,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,solref_timeconst_ms,solref_dampratio,solimp,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
mujoco,3.12.0,3,2.0,3.0,Newton,implicitfast,100,0.9926715522984677,4,10.0,1.0,0.9 0.95 0.001 0.5 2,1.1552425903899737,0.059909435578272364,0.06,0.09056442172763329,0.0010978573035176399,0.0006881500549185682,0.0010978573035176399,2.718,14,True,True,False,False,0.046403749991441146
mujoco,3.12.0,3,5.0,3.0,Newton,implicitfast,100,0.891846921797005,3,10.0,1.0,0.9 0.95 0.001 0.5 2,1.2118290131277007,0.05991260467992962,0.06,0.08739532007037698,0.0059240655609460605,9.88497478315864e-09,1.248912413229829e-06,0.125,16,True,True,False,False,0.019496207998599857
mujoco,3.12.0,5,0.5,3.0,Newton,implicitfast,100,0.8033661056490585,5,1.0,1.0,0.9 0.95 0.001 0.5 2,0.17519174499669116,0.09999756231193277,0.1,0.002437688067236099,0.0,7.648273213367585e-05,0.0,0.0545,22,True,True,False,False,0.3095901249907911
mujoco,3.12.0,5,0.5,3.0,Newton,implicitfast,100,0.871521413097817,4,2.0,1.0,0.9 0.95 0.001 0.5 2,0.36965471926816557,0.09999024860286862,0.1,0.00975139713138562,0.0,0.0,0.0,0.0795,20,True,True,False,False,0.31276966602308676
mujoco,3.12.0,5,0.5,3.0,Newton,implicitfast,100,0.9201799700049992,3,4.0,1.0,0.9 0.95 0.001 0.5 2,0.6402585194942798,0.09996100397426831,0.1,0.03899602573169403,0.0,0.0,0.0,0.094,20,True,True,False,False,0.3191908330190927
mujoco,3.12.0,5,0.5,3.0,Newton,implicitfast,100,0.9411764705882353,3,10.0,1.0,0.9 0.95 0.001 0.5 2,1.545824033208496,0.09975863799999127,0.1,0.24136200000873798,0.0,0.0,0.0,0.135,20,True,True,False,False,0.3154931250028312
mujoco,3.12.0,5,1.0,3.0,Newton,implicitfast,100,0.7750749750083306,4,2.0,1.0,0.9 0.95 0.001 0.5 2,0.3208465386272886,0.09999024860286862,0.1,0.00975139713138562,0.0001352416262998814,2.3592239273284576e-13,0.0,0.405,22,True,True,False,False,0.1545747089840006
mujoco,3.12.0,5,1.0,3.0,Newton,implicitfast,100,0.8860379873375541,4,4.0,1.0,0.9 0.95 0.001 0.5 2,0.6723041924115479,0.09996100397125068,0.1,0.03899602874932184,0.00929258391362954,2.123301534595612e-12,0.0,0.092,20,True,True,False,False,0.15599625001777895
mujoco,3.12.0,5,1.0,3.0,Newton,implicitfast,100,0.9413528823725424,3,10.0,1.0,0.9 0.95 0.001 0.5 2,1.5800696035569273,0.09975863799999125,0.1,0.24136200000875185,0.0,0.0,0.0,0.138,20,True,True,False,False,0.1604101250122767
mujoco,3.12.0,5,2.0,3.0,Newton,implicitfast,100,0.8247834776815456,5,4.0,1.0,0.9 0.95 0.001 0.5 2,0.8656038329064022,0.09996100397426824,0.1,0.03899602573176342,0.000761916327119228,6.938893903907228e-14,0.0,1.32,22,True,True,False,False,0.07760941601009108
mujoco,3.12.0,5,2.0,3.0,Newton,implicitfast,100,0.9413724183877415,4,10.0,1.0,0.9 0.95 0.001 0.5 2,1.1884035308003338,0.09975863799999121,0.1,0.2413620000087935,0.0,0.0,0.0,0.14,22,True,True,False,False,0.07819875000859611
mujoco,3.12.0,5,5.0,3.0,Newton,implicitfast,100,0.8735440931780366,4,10.0,1.0,0.9 0.95 0.001 0.5 2,2.182923984359851,0.09975863798312277,0.1,0.2413620168772307,0.026750975202412642,9.957312752106873e-11,8.796050341735275e-07,0.225,21,True,True,False,False,0.031136208010138944
mujoco,3.12.0,10,0.5,3.0,Newton,implicitfast,100,0.8341943009498417,6,1.0,1.0,0.9 0.95 0.001 0.5 2,0.2260151277884642,0.19999039189644024,0.2,0.009608103559766157,0.0006443564950840157,2.7755575615628914e-14,0.0,0.4025,42,True,True,False,False,0.7093262090056669
mujoco,3.12.0,10,0.5,3.0,Newton,implicitfast,100,0.8791868021996334,4,2.0,1.0,0.9 0.95 0.001 0.5 2,0.44418783311526594,0.19996157045423862,0.2,0.03842954576138702,0.0,0.0,0.0,0.10350000000000001,40,True,True,False,False,0.6286033750220668
mujoco,3.12.0,10,0.5,3.0,Newton,implicitfast,100,0.9968338610231628,3,4.0,1.0,0.9 0.95 0.001 0.5 2,0.9048560482940301,0.19984649794853562,0.2,0.1535020514643881,0.0,0.007966288049110481,0.0,0.58,44,True,True,False,False,0.6543899170064833
mujoco,3.12.0,10,0.5,3.0,Newton,implicitfast,100,1.0146642226295617,4,10.0,1.0,0.9 0.95 0.001 0.5 2,1.9714668995926408,0.19908163089473152,0.2,0.9183691052684906,0.0014998341542817478,2.587097203132771e-10,3.434070208845542e-05,0.6665,42,True,True,False,False,0.6728419589926489
mujoco,3.12.0,10,1.0,3.0,Newton,implicitfast,100,1.0106631122959013,5,2.0,1.0,0.9 0.95 0.001 0.5 2,0.4373801102901463,0.19996556723736997,0.2,0.034432762630043356,0.017248153287561074,1.1972692587347566e-05,0.0009928917328917296,2.408,46,True,True,False,False,0.3520810000190977
mujoco,3.12.0,10,1.0,3.0,Newton,implicitfast,100,1.007330889703432,5,4.0,1.0,0.9 0.95 0.001 0.5 2,1.076358338495869,0.19984646477971357,0.2,0.15353522028643818,0.005587237209370671,9.950373858202965e-11,0.00012329863089462583,2.207,44,True,True,False,False,0.32191320799756795
mujoco,3.12.0,10,1.0,3.0,Newton,implicitfast,100,1.0213262245918027,4,10.0,1.0,0.9 0.95 0.001 0.5 2,2.1115091734563065,0.19908163089422076,0.2,0.9183691057792487,0.0025883578396117255,4.269085085439883e-10,5.7765185431783054e-05,1.565,42,True,True,False,False,0.3234150000207592
mujoco,3.12.0,10,2.0,3.0,Newton,implicitfast,100,0.9993337774816788,4,4.0,1.0,0.9 0.95 0.001 0.5 2,0.865603832906406,0.19985058876278122,0.2,0.14941123721878835,0.00708021837290894,0.004591673072595892,0.004195820108373353,3.0,44,True,True,False,False,0.1642154169967398
mujoco,3.12.0,10,2.0,3.0,Newton,implicitfast,100,1.0153231179213857,4,10.0,1.0,0.9 0.95 0.001 0.5 2,2.393462668096709,0.19908163085877179,0.2,0.9183691412282258,0.003321718042047199,7.575273741622368e-09,8.437059499427864e-05,0.21,40,True,True,False,False,0.1605507500062231
mujoco,3.12.0,10,5.0,3.0,Newton,implicitfast,100,1.0565723793677204,7,10.0,1.0,0.9 0.95 0.001 0.5 2,5.330978336753727,0.19908162990186132,0.2,0.9183700981386933,0.0658586938819431,0.0012834258067417892,0.01601853810665364,2.915,44,True,True,False,False,0.06608995900023729
