time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.5200000000000005,final_hold,6.7,0.34713915,0.18441519,0.19294983,0.09064481,0.10937129,0.23704444,0.9610575,0.0019086287261615258,0.21284509487665756,0.21285214947201836,0.006257393096813427,1,0.0002938215038739145,256,0,-1,0.4236972,-0.11019666,0.051963564,-2.461823,0.0036350891,2.0130649,0.78553236,0.018999022,0.022844328,14.691726116913866,6.118058206404871,0.520536028043826,1,14.091683210967684,7.651837130672917,0.6787547144046482,1
6.53,final_hold,6.7,0.34713346,0.18440962,0.19294578,0.090656415,0.109601445,0.23686737,0.9610738,0.0019171249191113928,0.2134133962400517,0.2134147686094364,0.006257391366460679,1,0.00029386961250565946,256,0,-1,0.4236972,-0.11019666,0.051963557,-2.461823,0.003635191,2.0130649,0.78553236,0.018999029,0.02283888,14.695152506934699,6.106928627598585,0.5194679525031045,1,14.093476915206779,7.6460343147231375,0.678153655830052,1
6.54,final_hold,6.7,0.3471278,0.18440408,0.19294176,0.09066777,0.10983054,0.23669074,0.96109015,0.0019255767387146194,0.21397976810286018,0.213983728403258,0.006257390022124153,1,0.00029393393197096884,256,0,-1,0.4236972,-0.11019666,0.051963553,-2.461823,0.003635271,2.0130649,0.78553236,0.018999016,0.022833373,14.698578278885543,6.095753688563645,0.5183965391843521,1,14.095208877521934,7.640310739229626,0.6775627453997743,1
6.55,final_hold,6.7,0.3471222,0.1843985,0.19293773,0.09067851,0.11005862,0.23651446,0.96110636,0.0019340119291973428,0.2145428304799168,0.21454784498806706,0.006257388975102271,1,0.0002940103877335787,256,0,-1,0.4236972,-0.11019666,0.051963553,-2.461823,0.0036353348,2.0130649,0.78553236,0.018999029,0.022827936,14.702427052359686,6.084789673646627,0.5173286740326013,1,14.097425182427703,7.6347384628044415,0.6769621370575765,1
6.5600000000000005,final_hold,6.7,0.34711656,0.184393,0.19293374,0.090689205,0.11028565,0.23633865,0.9611226,0.0019424254412100308,0.21510443371222845,0.21510826687521253,0.006257388117448449,1,0.00029403759981505573,256,0,-1,0.4236972,-0.11019666,0.05196355,-2.461823,0.0036353853,2.0130649,0.78553236,0.018999012,0.02282244,14.704889439367694,6.073228008112235,0.5162592375442386,1,14.09843164593563,7.628573618911802,0.6763672203488506,1
6.57,final_hold,6.7,0.347111,0.18438743,0.19292976,0.09069913,0.11051171,0.23616321,0.9611388,0.0019508158639426256,0.21566319573360282,0.21566834572397603,0.006257387453215936,1,0.00029409994021989405,256,0,-1,0.4236972,-0.11019666,0.05196355,-2.461823,0.0036354258,2.0130649,0.78553236,0.01899902,0.022816982,14.708824253598157,6.062288206542619,0.5151914338989082,1,14.100600454570165,7.623070260930849,0.6757753229632967,1
6.58,final_hold,6.7,0.34710544,0.18438192,0.1929258,0.09070886,0.110736676,0.23598818,0.961155,0.001959140500411858,0.2162207634984925,0.21622587466948553,0.006257386916772547,1,0.0002942563151009381,256,0,-1,0.4236972,-0.11019666,0.051963545,-2.461823,0.0036354568,2.0130649,0.78553236,0.018999025,0.022811532,14.712767731938428,6.051276545203073,0.5141177934239882,1,14.10244945908443,7.617727760891171,0.6752131768839659,1
6.59,final_hold,6.7,0.3470999,0.18437645,0.19292186,0.09071829,0.11096064,0.23581351,0.9611711,0.001967474261840023,0.21677578891929764,0.21678197532003762,0.006257386497117435,1,0.00029430969152599573,256,0,-1,0.4236972,-0.11019666,0.051963545,-2.461823,0.0036354824,2.0130649,0.78553236,0.018999038,0.022806138,14.716188860158963,6.040167975994681,0.5130547074204777,1,14.104590794624736,7.612007694679126,0.6746037341242881,1
6.6000000000000005,final_hold,6.7,0.3470944,0.18437095,0.19291793,0.090727046,0.11118367,0.23563926,0.96118724,0.0019757695780057154,0.21732870278780306,0.2173333611248872,0.006257386153841202,1,0.00029429513961076736,256,0,-1,0.4236972,-0.11019666,0.051963545,-2.461823,0.0036355034,2.0130649,0.78553236,0.018999033,0.022800773,14.718307215159617,6.028547671701269,0.5119939731836113,1,14.105103208964731,7.605752314445151,0.6740248725733524,1
6.61,final_hold,6.7,0.3470889,0.18436548,0.19291402,0.09073564,0.11140565,0.23546542,0.96120334,0.001984027661326253,0.21787958006455407,0.2178844534677134,0.006257385886897078,1,0.0002944270381703973,256,0,-1,0.4236972,-0.11019666,0.051963545,-2.461823,0.0036355196,2.0130649,0.78553236,0.018999023,0.022795355,14.722843514374631,6.017879226509068,0.5109304480341652,1,14.107797372692051,7.600729219013526,0.6734510903989502,1
6.62,final_hold,6.7,0.34708345,0.18436001,0.19291013,0.09074373,0.11162665,0.23529196,0.96121943,0.0019922596886660458,0.21842717071113987,0.2184330672777804,0.006257385669559641,1,0.0002945013402495533,256,0,-1,0.4236972,-0.11019666,0.051963545,-2.461823,0.003635533,2.0130649,0.78553236,0.01899903,0.022789998,14.726092992010434,6.006699053378551,0.5098686950297555,1,14.109316848401948,7.595058650890422,0.6728761863965311,1
6.63,final_hold,6.7,0.347078,0.18435457,0.19290626,0.090751454,0.11184664,0.23511888,0.9612355,0.002000474465617219,0.2189732354662232,0.21897703923825715,0.006257385469097289,1,0.00029460620135068893,256,0,-1,0.4236972,-0.11019666,0.05196354,-2.461823,0.0036355434,2.0130649,0.78553236,0.01899904,0.022784682,14.729754088568713,5.995671158577396,0.5088061146952924,1,14.11118617371116,7.589617183190658,0.6723050324899292,1
6.640000000000001,final_hold,6.7,0.34707257,0.18434915,0.1929024,0.09075882,0.11206568,0.23494619,0.96125156,0.0020086573583784056,0.2195179248450693,0.21952184515322393,0.00625738531280023,1,0.0002946001186501235,256,0,-1,0.4236972,-0.11019666,0.05196354,-2.461823,0.003635553,2.0130649,0.78553236,0.01899903,0.022779364,14.732157138226501,5.984214391636215,0.5077510319337908,1,14.112262269832213,7.583564802484129,0.6717176751575399,1
