time_s,mechanical_energy_J,energy_error_J,ball_0_height_m
1.159699999999999953e+01,1.554484755983352807e+04,-8.489652440166475571e+03,3.230844020843505859e+00
1.159800000000000075e+01,1.554482281475067248e+04,-8.489677185249331160e+03,3.231077432632446289e+00
1.159900000000000020e+01,1.554479882059097508e+04,-8.489701179409028555e+03,3.231301069259643555e+00
1.159999999999999964e+01,1.554477408165931774e+04,-8.489725918340685894e+03,3.231514930725097656e+00
1.160100000000000087e+01,1.554475308980941918e+04,-8.489746910190584458e+03,3.231719017028808594e+00
1.160200000000000031e+01,1.554472835941314770e+04,-8.489771640586855938e+03,3.231913328170776367e+00
1.160299999999999976e+01,1.554470587861538115e+04,-8.489794121384622485e+03,3.232097864151000977e+00
1.160400000000000098e+01,1.554468115496635619e+04,-8.489818845033647449e+03,3.232272386550903320e+00
1.160500000000000043e+01,1.554465718522071984e+04,-8.489842814779283799e+03,3.232437133789062500e+00
1.160599999999999987e+01,1.554463246951103429e+04,-8.489867530488969351e+03,3.232592105865478516e+00
1.160700000000000109e+01,1.554461000280380358e+04,-8.489889997196200056e+03,3.232737302780151367e+00
1.160800000000000054e+01,1.554458679192066302e+04,-8.489913208079340620e+03,3.232872724533081055e+00
1.160899999999999999e+01,1.554456283566951970e+04,-8.489937164330483938e+03,3.232998371124267578e+00
1.160999999999999943e+01,1.554453963212967028e+04,-8.489960367870333357e+03,3.233114242553710938e+00
1.161100000000000065e+01,1.554451418693065716e+04,-8.489985813069346477e+03,3.233220100402832031e+00
1.161200000000000010e+01,1.554449248762130810e+04,-8.490007512378695537e+03,3.233316183090209961e+00
1.161299999999999955e+01,1.554446854680180695e+04,-8.490031453198196687e+03,3.233402490615844727e+00
1.161400000000000077e+01,1.554444386121034768e+04,-8.490056138789655961e+03,3.233479022979736328e+00
1.161500000000000021e+01,1.554442142477035668e+04,-8.490078575229646958e+03,3.233545780181884766e+00
1.161599999999999966e+01,1.554439824370741917e+04,-8.490101756292584469e+03,3.233602762222290039e+00
1.161700000000000088e+01,1.554437431783527245e+04,-8.490125682164731188e+03,3.233649969100952148e+00
1.161800000000000033e+01,1.554435114415288081e+04,-8.490148855847122832e+03,3.233687162399291992e+00
1.161899999999999977e+01,1.554432872271612359e+04,-8.490171277283880045e+03,3.233714580535888672e+00
1.162000000000000099e+01,1.554430405967608203e+04,-8.490195940323921604e+03,3.233732223510742188e+00
1.162100000000000044e+01,1.554428014882113894e+04,-8.490219851178864701e+03,3.233740091323852539e+00
1.162199999999999989e+01,1.554425699015958890e+04,-8.490243009840414743e+03,3.233738183975219727e+00
1.162300000000000111e+01,1.554423458368750471e+04,-8.490265416312498928e+03,3.233726501464843750e+00
1.162400000000000055e+01,1.554421143250763635e+04,-8.490288567492367292e+03,3.233705043792724609e+00
1.162500000000000000e+01,1.554418603971749690e+04,-8.490313960282506741e+03,3.233673572540283203e+00
1.162599999999999945e+01,1.554416289604157282e+04,-8.490337103958430816e+03,3.233632326126098633e+00
1.162700000000000067e+01,1.554413900770545115e+04,-8.490360992294552489e+03,3.233581304550170898e+00
1.162800000000000011e+01,1.554411587144732584e+04,-8.490384128552677794e+03,3.233520507812500000e+00
1.162899999999999956e+01,1.554409199041724423e+04,-8.490408009582759405e+03,3.233449935913085938e+00
1.163000000000000078e+01,1.554406886165142168e+04,-8.490431138348581953e+03,3.233369588851928711e+00
1.163100000000000023e+01,1.554404648514986184e+04,-8.490453514850141801e+03,3.233279228210449219e+00
1.163199999999999967e+01,1.554402186698913647e+04,-8.490478133010867168e+03,3.233179092407226562e+00
1.163300000000000090e+01,1.554399650435447802e+04,-8.490503495645525618e+03,3.233069181442260742e+00
1.163400000000000034e+01,1.554397488760948363e+04,-8.490525112390520007e+03,3.232949495315551758e+00
1.163499999999999979e+01,1.554395102860927727e+04,-8.490548971390726365e+03,3.232820034027099609e+00
1.163600000000000101e+01,1.554392792261838986e+04,-8.490572077381613781e+03,3.232680797576904297e+00
1.163700000000000045e+01,1.554390407185554614e+04,-8.490595928144457503e+03,3.232531785964965820e+00
1.163799999999999990e+01,1.554387947602272106e+04,-8.490620523977282573e+03,3.232372760772705078e+00
1.163900000000000112e+01,1.554385712919235448e+04,-8.490642870807649160e+03,3.232203960418701172e+00
1.164000000000000057e+01,1.554383254070282055e+04,-8.490667459297183086e+03,3.232025384902954102e+00
1.164100000000000001e+01,1.554380870432853771e+04,-8.490691295671465923e+03,3.231837034225463867e+00
1.164199999999999946e+01,1.554378711814880444e+04,-8.490712881851199199e+03,3.231638908386230469e+00
1.164300000000000068e+01,1.554376029653549267e+04,-8.490739703464510967e+03,3.231431007385253906e+00
1.164400000000000013e+01,1.554373871650695946e+04,-8.490761283493044175e+03,3.231213331222534180e+00
1.164499999999999957e+01,1.554371489601135363e+04,-8.490785103988650008e+03,3.230985641479492188e+00
1.164600000000000080e+01,1.554368883266449120e+04,-8.490811167335512437e+03,3.230748176574707031e+00
1.164700000000000024e+01,1.554366651639938573e+04,-8.490833483600617910e+03,3.230500936508178711e+00
1.164799999999999969e+01,1.554364345297813634e+04,-8.490856547021867300e+03,3.230243921279907227e+00
1.164900000000000091e+01,1.554361964836120751e+04,-8.490880351638796128e+03,3.229977130889892578e+00
1.165000000000000036e+01,1.554359659347534398e+04,-8.490903406524659658e+03,3.229700565338134766e+00
1.165099999999999980e+01,1.554357428951263500e+04,-8.490925710487368633e+03,3.229414224624633789e+00
1.165200000000000102e+01,1.554354974746704283e+04,-8.490950252532960803e+03,3.229117870330810547e+00
1.165300000000000047e+01,1.554352446184158543e+04,-8.490975538158418203e+03,3.228811740875244141e+00
1.165399999999999991e+01,1.554350292091369738e+04,-8.490997079086306258e+03,3.228495836257934570e+00
1.165499999999999936e+01,1.554347763786316136e+04,-8.491022362136842276e+03,3.228170156478881836e+00
1.165600000000000058e+01,1.554345460739135888e+04,-8.491045392608644761e+03,3.227834701538085938e+00
1.165700000000000003e+01,1.554343232784271459e+04,-8.491067672157289053e+03,3.227489471435546875e+00
1.165799999999999947e+01,1.554340781021118346e+04,-8.491092189788820178e+03,3.227134466171264648e+00
1.165900000000000070e+01,1.554338403635025134e+04,-8.491115963649752302e+03,3.226769447326660156e+00
1.166000000000000014e+01,1.554336102294922057e+04,-8.491138977050783069e+03,3.226394653320312500e+00
1.166099999999999959e+01,1.554333726119995299e+04,-8.491162738800050647e+03,3.226010084152221680e+00
1.166200000000000081e+01,1.554331425037384179e+04,-8.491185749626161851e+03,3.225615739822387695e+00
1.166300000000000026e+01,1.554329049835205296e+04,-8.491209501647950674e+03,3.225211620330810547e+00
1.166399999999999970e+01,1.554326749725341870e+04,-8.491232502746584942e+03,3.224797725677490234e+00
1.166500000000000092e+01,1.554324524707794262e+04,-8.491254752922061016e+03,3.224374055862426758e+00
1.166600000000000037e+01,1.554321926193237414e+04,-8.491280738067629500e+03,3.223940372467041016e+00
1.166699999999999982e+01,1.554319702148437682e+04,-8.491302978515626819e+03,3.223496913909912109e+00
1.166800000000000104e+01,1.554317253341674950e+04,-8.491327466583254136e+03,3.223043680191040039e+00
1.166900000000000048e+01,1.554314880580902172e+04,-8.491351194190981914e+03,3.222580671310424805e+00
1.166999999999999993e+01,1.554312432746887316e+04,-8.491375672531130476e+03,3.222107887268066406e+00
1.167099999999999937e+01,1.554310359382629576e+04,-8.491396406173707874e+03,3.221625328063964844e+00
1.167200000000000060e+01,1.554307763309478833e+04,-8.491422366905215313e+03,3.221132755279541016e+00
1.167300000000000004e+01,1.554305391540527489e+04,-8.491446084594728745e+03,3.220630407333374023e+00
1.167399999999999949e+01,1.554303094387054625e+04,-8.491469056129457385e+03,3.220118284225463867e+00
1.167500000000000071e+01,1.554300723114013817e+04,-8.491492768859865464e+03,3.219596385955810547e+00
1.167600000000000016e+01,1.554298425979614331e+04,-8.491515740203860332e+03,3.219064712524414062e+00
1.167699999999999960e+01,1.554296055202484240e+04,-8.491539447975161238e+03,3.218523263931274414e+00
