pair_ke_N_m,dt_ms,interface_slope_N_m,intercept_N,fit_R2,theory_4kpair_N_m,relative_theory_error
100000.0,0.1,400000.24470536475,9.925224865049859e-05,0.9999999995012558,400000.0,6.117634119284787e-07
100000.0,0.5,400000.3336391072,9.061732314395893e-05,0.9999999995757446,400000.0,8.340977679655026e-07
1000000.0,0.1,4000060.6069414946,-0.0018611968511626834,0.9999999789308613,4000000.0,1.5151735373697406e-05
1000000.0,0.5,4000055.5699807187,-0.0016673618094956402,0.9999999841049728,4000000.0,1.3892495179579356e-05
