engine,device,stack_count,dt_ms,duration_s,contact_preset,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,line_search_iterations_mean,ke_N_m,tau_ms,implied_kd_Ns_m,rigid_gap_mm,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,settling_time_s,max_contacts,truncated_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
sap_warp,cuda:0,3,1.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,2.2493265569210052,0.05863504484295845,0.06,1.3649551570415475,0.0,0.0,0.0,0.3,12,0,True,True,False,False,12.806725434995315
sap_warp,cuda:0,3,1.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.30077993869781494,0.059953500827153526,0.06,0.046499172846471704,0.0,0.0,0.0,0.064,12,0,True,True,False,False,11.119718781999836
sap_warp,cuda:0,3,1.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.10979175567626953,0.060085343196988106,0.06,0.085343196988108,0.0,0.0,0.0,0.058,12,0,True,True,False,False,11.47510104200046
sap_warp,cuda:0,3,1.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.12291967868804932,0.06009308248758316,0.06,0.09308248758316262,0.0,0.0,0.0,0.057,12,0,True,True,False,False,11.577606290004042
sap_warp,cuda:0,3,2.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,2.2514034062623978,0.05863503739237785,0.06,1.3649626076221444,0.0,0.0,0.0,0.292,12,0,True,True,False,False,6.20950824800093
sap_warp,cuda:0,3,2.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.6836503744125366,0.059953502689798675,0.06,0.04649731020132247,0.0,0.0,0.0,0.076,12,0,True,True,False,False,5.581460262001201
sap_warp,cuda:0,3,2.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.6089210510253906,0.060082570339242615,0.06,0.0825703392426172,0.0,0.0,0.0,0.07200000000000001,12,0,True,True,False,False,5.734919134003576
sap_warp,cuda:0,3,2.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.6110072135925293,0.060084192703167595,0.06,0.08419270316759736,0.0,0.0,0.0,0.07200000000000001,12,0,True,True,False,False,5.710476745000051
sap_warp,cuda:0,3,5.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,1.9823461771011353,0.05863503677149614,0.06,1.3649632285038584,0.0,0.0,0.0,0.23500000000000001,12,0,True,True,False,False,2.4593750499989255
sap_warp,cuda:0,3,5.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,1.2397617101669312,0.059953500827153526,0.06,0.046499172846471704,0.0,0.0,0.0,0.085,12,0,True,True,False,False,2.297920223005349
sap_warp,cuda:0,3,5.0,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,1.3906508684158325,0.060045684377352394,0.06,0.045684377352396555,0.0,0.0,0.0,0.09,12,0,True,True,False,False,2.355423796994728
sap_warp,cuda:0,3,5.0,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,1.3906508684158325,0.060045684377352394,0.06,0.045684377352396555,0.0,0.0,0.0,0.09,12,0,True,True,False,False,2.3583647229970666
sap_warp,cuda:0,5,0.5,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,3.4071747213602066,0.0967469248920679,0.1,3.253075107932102,0.0,0.0,0.0,0.7585000000000001,20,0,True,True,False,False,31.061164464998
sap_warp,cuda:0,5,0.5,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.4385393112897873,0.09985473155975341,0.1,0.14526844024659313,0.0,0.0,0.0,0.113,20,0,True,True,False,False,22.950019248004537
sap_warp,cuda:0,5,0.5,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.0578761100769043,0.10016542412340641,0.1,0.16542412340640744,0.0,0.0,0.0,0.064,20,0,True,True,False,False,22.20598343900201
sap_warp,cuda:0,5,0.5,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.10356307029724121,0.10019146241247653,0.1,0.1914624124765285,0.0,0.0,0.0,0.063,20,0,True,True,False,False,22.410043839998252
sap_warp,cuda:0,5,1.0,3.0,drake,100,-1.0,-1,-1.0,1000.0,3.0,3.0,0.1,3.3721961081027985,0.09674690403044224,0.1,3.253095969557765,0.0,0.0,0.0,0.7000000000000001,20,0,True,True,False,False,15.013453837003908
sap_warp,cuda:0,5,1.0,3.0,drake,100,-1.0,-1,-1.0,10000.0,3.0,30.0,0.1,0.4283897578716278,0.09985470212996006,0.1,0.14529787003994543,0.0,0.0,0.0,0.114,20,0,True,True,False,False,11.49474924900278
