time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
5.84,transfer,5.84,0.377342,-0.07029045,0.1951296,0.007851775735616684,0.06510378574081255,0.021416125576153185,0,0.0022351869847625494,256,0,-1,62.06445369808613,7.956638073375443,0.1602494986921314,3,60.80067613890465,15.525509682588908,0.31918867248942007,3
5.8500000000000005,transfer,5.8500000000000005,0.3779597,-0.067535676,0.19514415,0.007748709060251713,0.06300791762055216,0.021415621764105195,0,0.0022347858175635338,256,0,-1,62.06182071826229,7.962015111399644,0.1603645973332028,3,60.79924569544455,15.520104333935375,0.31908505106458573,3
5.86,transfer,5.86,0.3785574,-0.064775564,0.19515795,0.00764837022870779,0.06142113034478121,0.021415126987619486,0,0.002234617481008172,256,0,-1,62.059355833441515,7.967293287245894,0.16047727978012244,3,60.79863665199166,15.51469222958599,0.31897697637513045,3
5.87,transfer,5.87,0.37913507,-0.062010188,0.19517103,0.007550855167210102,0.060387505192029844,0.021414565438950147,0,0.002234370680525899,256,0,-1,62.056564046197835,7.972601542097448,0.16059142301534504,3,60.79781609836122,15.509270881490366,0.3188698187859007,3
5.88,transfer,5.88,0.37969264,-0.059239645,0.19518338,0.0074564930982887745,0.05993167976851585,0.02141398294836253,0,0.002234061947092414,256,0,-1,62.05418773927751,7.977966566695425,0.16070564407786397,3,60.79721142445648,15.503919365066587,0.3187629621864106,3
5.89,transfer,5.89,0.38023,-0.056464236,0.195195,0.007364924997091293,0.060070775291957264,0.021413379443009722,0,0.0022337487898766994,256,0,-1,62.05176656418173,7.983296390274143,0.1608192810678648,3,60.79604813820187,15.498502683186919,0.31865769153193246,3
5.9,transfer,5.9,0.3807472,-0.053683914,0.19520591,0.007276590913534164,0.060796788030944744,0.021412825066230837,0,0.002233456587418914,256,0,-1,62.04906574443698,7.988596989116668,0.16093306348115496,3,60.795393168938745,15.493082969549658,0.31854969106165143,3
5.91,transfer,5.91,0.38124412,-0.05089895,0.1952161,0.007191325072199106,0.06209297951660001,0.021412214973261397,0,0.0022331392392516136,256,0,-1,62.04629178032324,7.99384837533619,0.16104605420334084,3,60.794129253611786,15.487566551485493,0.3184428895855387,3
5.92,transfer,5.92,0.38172075,-0.048109576,0.1952256,0.007109235506504774,0.06392095557342758,0.02141163960410483,0,0.0022329678758978844,256,0,-1,62.04413908755819,7.999201205688813,0.16115948507239633,3,60.793639111646826,15.482220648706328,0.31833553795557057,3
5.93,transfer,5.93,0.38217705,-0.04531574,0.19523439,0.007030358538031578,0.06624391819920059,0.02141099669866029,0,0.002232547150924802,256,0,-1,62.04151094594782,8.004687821260486,0.1612768551896322,3,60.79247870199941,15.47693229029641,0.3182328764336802,3
5.94,transfer,5.94,0.38261297,-0.04251767,0.1952425,0.006954843644052744,0.06899809788122588,0.021410351795463325,0,0.0022323078010231256,256,0,-1,62.03895224988109,8.009951326821325,0.16138955922721673,3,60.791820737227916,15.471436609338312,0.31812331868240656,3
5.95,transfer,5.95,0.38302848,-0.03971558,0.19524989,0.006882745306938887,0.07214405787307057,0.02140970682135941,0,0.0022320467978715897,256,0,-1,62.03625866136284,8.015185346332734,0.16150202960508153,3,60.790777742600326,15.465932277274025,0.3180155948727888,3
5.96,transfer,5.96,0.38342354,-0.036909558,0.19525659,0.006814192049205303,0.0756329517824646,0.02140911863220487,0,0.0022317504044622183,256,0,-1,62.033680513313215,8.020602611316253,0.16161790145586577,3,60.78983842833321,15.46056324496023,0.3179101072786019,3
5.97,transfer,5.97,0.3837981,-0.03409979,0.1952626,0.006748978979885578,0.07941962635092371,0.021408470762249488,0,0.0022314537782222033,256,0,-1,62.031130982573615,8.025987503958813,0.1617330559838888,3,60.788820717313904,15.45520372667832,0.31780522192044186,3
5.98,transfer,5.98,0.38415214,-0.03128633,0.19526793,0.006687463261187077,0.08346359267163347,0.021407842103583312,0,0.0022310870699584484,256,0,-1,62.0288980968675,8.03151488776454,0.16185026524294602,3,60.788073266552885,15.449993076508424,0.3177019817843403,3
