phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,-3.920914428637984e-13,-3.988907694549206e-15,4.831780862999541e-16,-4.047977231191879e-15,5.906953664267314e-17,128,0,-1,5.574307454883584,2.923241551246883e-07,4,1.3110335117440756e-07,-0.00013969093561172485,3.964334726333507e-05,0.00010004758834838978,5.625554310024251,1.4649113637845418e-06,4,6.510075643453466e-07,-0.00014030560851097107,4.03548777103413e-05,9.995073080062977e-05
normal_gate,0.005,-3.921020138349801e-13,-4.471223924825329e-15,4.722818544664747e-16,-4.561455380081014e-15,9.023145525568523e-17,128,0,-1,5.600600697568682,2.151879332705285e-09,4,9.605573798715258e-10,-0.0001397654414176941,3.98016721010197e-05,9.996376931667439e-05,5.599261067339153,2.1518562174823866e-09,4,9.607768737710326e-10,-0.00014023110270500183,4.0196552872656666e-05,0.00010003454983234517
normal_gate,0.0075,-3.92114075584149e-13,-5.0151330028939956e-15,4.601387901346371e-16,-5.051514762044462e-15,3.638175915046671e-17,128,0,-1,5.600535054740837,2.0776577592201626e-09,4,9.274371729275363e-10,-0.00013989955186843872,3.991715610027202e-05,9.99823957681667e-05,5.599326710166998,2.077636800998731e-09,4,9.276279580303175e-10,-0.0001400969922542572,4.0081068873404346e-05,0.00010001592338085286
normal_gate,0.01,-3.9212732995570765e-13,-5.501776300981167e-15,4.468064915448544e-16,-5.515553291868258e-15,1.3776990887091195e-17,128,0,-1,5.600195425124279,1.999110395950076e-09,4,8.924288547955948e-10,-0.0001399591565132141,3.996558487415203e-05,9.999357163906208e-05,5.599666339783557,1.9990915186700707e-09,4,8.925047482147576e-10,-0.0001400373876094818,4.003264009952434e-05,0.00010000474750995747
normal_gate,0.0125,-3.92141776949656e-13,-5.949314628992449e-15,4.32345945069329e-16,-5.9548720121593846e-15,5.5573831669354645e-18,128,0,-1,5.60002605941248,1.9165950644606977e-09,4,8.556188150407351e-10,-0.00013998150825500488,3.998607397079357e-05,9.999543428421132e-05,5.599835705495355,1.916577764850134e-09,4,8.556401766257693e-10,-0.00014001503586769104,4.00121510028828e-05,0.00010000288486480824
normal_gate,0.015,-3.9215725393566825e-13,-6.364382372487211e-15,4.168418540027863e-16,-6.366868837703876e-15,2.4864652166649986e-18,128,0,-1,5.599964324545847,1.8304893280948379e-09,4,8.171879417478651e-10,-0.00013999268412590027,3.999352455139049e-05,9.999915957450978e-05,5.599897440361989,1.8304733224916077e-09,4,8.171905566065519e-10,-0.00014000385999679565,4.000470042228588e-05,9.999915957450978e-05
normal_gate,0.0175,-3.9217376091374434e-13,-6.750076707437089e-15,4.003416521902725e-16,-6.751110087632739e-15,1.0333801956502464e-18,128,0,-1,5.5999420718689255,1.7411752342300433e-09,4,7.773184132460781e-10,-0.00013999640941619873,3.999538719653972e-05,0.00010000102221965901,5.599919693038911,1.7411602738558331e-09,4,7.773148407914744e-10,-0.0001400001347064972,4.0002837777136646e-05,9.999729692936055e-05
normal_gate,0.02,-3.9219118946366704e-13,-7.099392247851815e-15,3.829266547947241e-16,-7.099355825435083e-15,-3.6422416731934915e-20,128,0,-1,5.5999310467918,1.6511182410907286e-09,4,7.371154337858561e-10,-0.00013999640941619873,3.999724984168895e-05,9.999915957450978e-05,5.599930718116035,1.6511016718627988e-09,4,7.371080799809757e-10,-0.0001400001347064972,4.0000975131987415e-05,9.999915957450978e-05
normal_gate,0.0225,-3.9220956669049067e-13,-7.508084797869068e-15,3.6456298049825087e-16,-7.507883204027621e-15,-2.0159384144652348e-19,128,0,-1,5.599930882694231,1.5330498980357138e-09,4,6.844057231015925e-10,-0.00013999640941619873,3.9999112486838184e-05,9.999729692936055e-05,5.599930882213604,1.5330373349955176e-09,4,6.844001145910221e-10,-0.0001400001347064972,3.9999112486838184e-05,0.00010000102221965901
normal_gate,0.025,-3.922288112790523e-13,-7.804241397547061e-15,3.453454969909453e-16,-7.804087237550661e-15,-1.5415999640028266e-19,128,0,-1,5.599885744518698,1.4368465100744653e-09,4,6.414624224614248e-10,-0.00013999640941619873,3.9999112486838184e-05,9.999729692936055e-05,5.599976020389139,1.436835122215254e-09,4,6.414469977120585e-10,-0.0001400001347064972,3.9999112486838184e-05,0.00010000102221965901
