engine,device,stack_count,dt_ms,ke_pair_nominal_N_m,ke_shape_N_m,tau_pair_ms,duration_s,layer_geometric_delta_mm_json,layer_constraint_delta_mm_json,layer_constraint_phi0_mm_json,layer_Fn_measured_N_json,layer_Fn_static_N_json,layer_geometric_effective_interface_k_N_m_json,layer_geometric_ratio_delta_over_Fn_over_4k_json,layer_constraint_ratio_delta_over_Fn_over_4k_json,layer_contact_points_mean_json,tail_actual_contact_count_mean,tail_truncated_contact_count_max,wall_s
sap_warp,cuda:0,1,0.5,10000.0,20000.0,3.0,4.0,[0.2452499452629118],[0.24524998012930158],[-0.24524998012930158],[9.809998305769117],[9.81],[40000.00201937923],[0.9999999495155218],[1.0000000916822733],[4.0],4.0,0,34.31492011202499
sap_warp,cuda:0,1,0.5,100000.0,200000.0,3.0,4.0,[0.02452477184124202],[0.024525035172700882],[-0.024525035172700882],[9.809998871415315],[9.81],[400003.6752602263],[0.9999908119338556],[1.0000015492015073],[4.0],4.0,0,40.407656494062394
sap_warp,cuda:0,1,0.5,1000000.0,2000000.0,3.0,4.0,[0.0024524139007544576],[0.002452482469379902],[-0.002452482469379902],[9.81000143093306],[9.81],[4000141.015313574],[0.9999647474143951],[0.999992706075126],[4.0],4.0,0,37.34409545501694
sap_warp,cuda:0,3,0.5,10000.0,20000.0,3.0,4.0,"[0.7357501077349644, 0.39049691363470596, 0.14525611721910298]","[0.7357500353828073, 0.49049999192357063, 0.24524996429681775]","[-0.7357500353828073, -0.49049999192357063, -0.24524996429681775]","[29.43000135199351, 19.62000069640773, 9.810001294814489]","[29.43, 19.62, 9.81]","[39999.99598042184, 50243.67673943115, 67535.89096710586]","[1.000000100489464, 0.796120081088892, 0.5922776678771063]","[1.0000000021515043, 0.9999999480395073, 0.9999997224320674]","[4.0, 4.0, 4.0]",12.0,0,44.55308866593987
sap_warp,cuda:0,3,0.5,100000.0,200000.0,3.0,4.0,"[0.07357394334394396, 0.0005362989613846847, 0.0]","[0.0735753821209073, 0.10265013187881408, 0.10198271398581515]","[-0.0735753821209073, -0.10265013187881408, -0.10198271398581515]","[29.42573043795333, 19.60707639910369, 9.804291684076484]","[29.43, 19.62, 9.81]","[399947.71383115527, 36559974.58671121, Infinity]","[1.000130732510867, 0.01094092664236675, 0.0]","[1.0001502905907098, 2.0941445790154942, 4.160737655386124]","[4.0, 2.46, 1.538]",7.998,0,34.92021343484521
sap_warp,cuda:0,3,0.5,1000000.0,2000000.0,3.0,4.0,"[0.007357592170591509, 0.0, 0.0]","[0.007357672788202763, 0.10607859014340167, 0.10451238672688323]","[-0.007357672788202763, -0.10607859014340167, -0.10451238672688323]","[29.42318035576921, 19.607638727464455, 9.803135624367325]","[29.43, 19.62, 9.81]","[3999023.0055662016, Infinity, Infinity]","[1.0002443082804071, 0.0, 0.0]","[1.0002552680217103, 21.640257986764556, 42.64447243475865]","[4.0, 0.848, 0.848]",5.696,0,32.08234724262729
sap_warp,cuda:0,5,0.5,10000.0,20000.0,3.0,4.0,"[1.2262505181134395, 0.8809961858205971, 0.6357516665011395, 0.3904837809968814, 0.1452668879646784]","[1.2262500235810876, 0.9810001850128175, 0.7357498854398727, 0.4905000627040863, 0.2452492117881775]","[-1.2262500235810876, -0.9810001850128175, -0.7357498854398727, -0.4905000627040863, -0.2452492117881775]","[49.05000185654633, 39.24000201723517, 29.43000097943399, 19.62000067978374, 9.810001532888217]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[39999.98461326541, 44540.49024137984, 46291.661556157705, 50245.36647769356, 67530.88518887742]","[1.0000003846685126, 0.8980592665960029, 0.8640865040343148, 0.7960933077830771, 0.5923215709097227]","[0.9999999813801673, 1.000000137188513, 0.9999998110146484, 1.0000000931895845, 0.9999966298311977]","[4.0, 4.0, 4.0, 4.0, 4.0]",20.0,0,39.64821634395048
sap_warp,cuda:0,5,0.5,100000.0,200000.0,3.0,4.0,"[0.12262235005618916, 0.00761367561063403, 0.00394697370938174, 0.0014049066230854002, 0.0]","[0.12262117769569159, 0.10809663867674085, 0.10533896123360388, 0.1039512038230896, 0.1030746954410412]","[-0.12262117769569159, -0.10809663867674085, -0.10533896123360388, -0.1039512038230896, -0.1030746954410412]","[49.051310341143605, 39.23999396367597, 29.427410824782374, 19.62595792111757, 9.803564955566422]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[400019.3302335737, 5153883.087541768, 7455689.597028485, 13969581.74915271, Infinity]","[0.999951676751315, 0.07761138411674502, 0.05365030220134468, 0.028633641807082805, 0.0]","[0.999942116472583, 1.1019027044377705, 1.4318481753058938, 2.1186472373149825, 4.205600550747239]","[4.0, 3.796, 3.258, 2.5, 1.462]",15.016,0,35.418404231313616
sap_warp,cuda:0,5,0.5,1000000.0,2000000.0,3.0,4.0,"[0.012262251286300874, 0.0, 0.0, 0.0, 0.0]","[0.012261795811355114, 0.1058229848762814, 0.10811212322980666, 0.10861811526539629, 0.10774306644349409]","[-0.012261795811355114, -0.1058229848762814, -0.10811212322980666, -0.10861811526539629, -0.10774306644349409]","[49.055418157174735, 39.256634271924256, 29.440748432642483, 19.591043111246922, 9.78418669019655]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[4000522.9881382715, Infinity, Infinity, Infinity, Infinity]","[0.9998692700579843, 0.0, 0.0, 0.0, 0.0]","[0.999832130434035, 10.782685458285902, 14.688773755484714, 22.177096880163624, 44.04783753827971]","[4.0, 1.466, 1.668, 1.242, 0.676]",9.052,0,32.53930313838646
