time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.24,transfer,6.24,0.3842646,0.045994665,0.19429848,0.0018841405788121146,0.16158438326507713,0.1615905286855562,0.021387615289781624,1,0.0002919287944678217,256,0,-1,14.561562394661273,6.955223848379424,0.5970533638383326,1,14.011525766815758,8.323695599910156,0.7425757674820473,1
6.25,transfer,6.25,0.38401663,0.048841618,0.19428277,0.0018985225272348078,0.16298737580796863,0.16299356194062142,0.021387051049245903,1,0.00029190772329457104,256,0,-1,14.56566661157469,6.949838348147249,0.5964229559037587,1,14.015116627996166,8.319525396566947,0.7420135716127505,1
6.26,transfer,6.26,0.383748,0.0516867,0.19426657,0.0019127473331514834,0.1643810543890022,0.16438464694915655,0.02138644858611063,1,0.0002920137776527554,256,0,-1,14.570921341155882,6.944910060794186,0.595785082681949,1,14.019244064419587,8.316070914055565,0.7414871012162398,1
6.2700000000000005,transfer,6.2700000000000005,0.38345858,0.054530077,0.19424987,0.0019268168749946033,0.16576734958739076,0.16577416385472707,0.021385837737314613,1,0.0002919731487054378,256,0,-1,14.57444014695206,6.939214380168897,0.5951527391619986,1,14.022827273195226,8.311603573704923,0.7408994109904495,1
6.28,transfer,6.28,0.3831484,0.057371728,0.19423267,0.0019409829294493996,0.16714371772654094,0.1671507284805544,0.021385180204017053,1,0.00029218802228569984,256,0,-1,14.578570957186718,6.933482834835358,0.5944926679711187,1,14.025060202836894,8.307664295067823,0.7404303595598297,1
6.29,transfer,6.29,0.38281742,0.060211513,0.19421498,0.0019549252787951425,0.16851111673410799,0.16851890760595037,0.021384511524145087,1,0.0002921457926277071,256,0,-1,14.58203715710521,6.927648619606493,0.5938512349962486,1,14.028115732419582,8.303164091829476,0.7398680844071331,1
6.3,transfer,6.3,0.38246563,0.06304958,0.19419679,0.0019687960377271396,0.16987063358206364,0.16987749884353112,0.021383809338461603,1,0.0002922945423051715,256,0,-1,14.586012896191916,6.922048257023014,0.5932094248687905,1,14.031194851321004,8.29926786755202,0.7393586180198566,1
6.3100000000000005,transfer,6.3100000000000005,0.38209307,0.06588567,0.1941781,0.0019824034743446623,0.1712213415820454,0.17123230687595856,0.021383108201998492,1,0.00029238106799311936,256,0,-1,14.58893840094878,6.915664043625408,0.5925434611451622,1,14.032626273617446,8.294620833049823,0.7388692493582286,1
6.32,transfer,6.32,0.38169974,0.06871969,0.19415891,0.0019961680494673096,0.17256462797154004,0.17256820550120602,0.02138238219054507,1,0.0002924024302046746,256,0,-1,14.592534160078394,6.909954050371603,0.5919083325906774,1,14.035558748164744,8.290506680852987,0.7383484716931054,1
6.33,transfer,6.33,0.38128558,0.071551576,0.19413921,0.0020099709705853498,0.1738982529286727,0.1739048489365875,0.021381498607232607,1,0.00029250720399431884,256,0,-1,14.595941363459008,6.903702497802571,0.5912347759807749,1,14.037740862836783,8.286071625761771,0.7378387757265613,1
6.34,transfer,6.34,0.3808506,0.07438109,0.19411902,0.0020236796041823175,0.17522329851158966,0.17522723536915494,0.021380670204583906,1,0.0002925398002844304,256,0,-1,14.599257201517263,6.897152582504528,0.5905396835692884,1,14.039890978824934,8.281311946017064,0.7373020166704819,1
6.3500000000000005,transfer,6.3500000000000005,0.38039485,0.07720827,0.19409832,0.0020369156270598045,0.17654032211958512,0.17654920739437693,0.021379878593859335,1,0.0002926862798631191,256,0,-1,14.603611237372418,6.891323316443658,0.5898646578258605,1,14.043278534005449,8.277415605240918,0.7367773473620638,1
6.36,transfer,6.36,0.3799183,0.08003287,0.19407713,0.0020501102004149684,0.17784955596513477,0.17785735257512594,0.021379115562126665,1,0.00029261066811159253,256,0,-1,14.604739974242174,6.884041092514571,0.5891957940243795,1,14.043750978585031,8.271792573821852,0.7362520691974764,1
6.37,transfer,6.37,0.37942097,0.08285484,0.19405545,0.002063389024883362,0.17914949261866217,0.1791546387446273,0.02137829443149928,1,0.00029296043794602156,256,0,-1,14.610705600607144,6.878617100869438,0.5884911797640696,1,14.047268202393905,8.268817312586139,0.7358029683644276,1
6.38,transfer,6.38,0.37890288,0.085673876,0.19403328,0.0020766442389234113,0.18044000604048846,0.18044394622636095,0.021377433568633798,1,0.00029279233422130346,256,0,-1,14.612452823683366,6.8715660010997,0.5878176378063733,1,14.04902218658885,8.2633498571652,0.7352246429873752,1
6.390000000000001,transfer,6.390000000000001,0.37836403,0.08848989,0.19401062,0.0020894738583409444,0.1817243978012801,0.18173069995729588,0.021376630022084214,1,0.00029271343373693526,256,0,-1,14.61493705726426,6.864869390956684,0.5871449671711504,1,14.051216900814362,8.258363659119114,0.7346662318834896,1
6.4,transfer,6.4,0.37780446,0.091302864,0.19398749,0.002102622263969541,0.18300000649988585,0.1830084313321977,0.021375727241005105,1,0.000292956450721249,256,0,-1,14.619689843987526,6.858694807575241,0.586426155476542,1,14.054070571684706,8.254676976271242,0.7341891566367849,1
6.41,transfer,6.41,0.37722415,0.09411254,0.19396389,0.002115324657692677,0.18426614965371946,0.18426955405154982,0.021374919229773214,1,0.0002929713809862733,256,0,-1,14.622530225920826,6.8515901381552275,0.5857049047169743,1,14.055851880953021,8.249666739961931,0.7336505472803281,1
