engine,device,stack_count,dt_ms,duration_s,contact_preset,solver_iteration_budget,solver_iterations_mean,solver_iterations_max,line_search_iterations_mean,ke_N_m,tau_ms,implied_kd_Ns_m,rigid_gap_mm,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_drift_max_deg,tail_com_jitter_pp_mm,tail_orientation_jitter_pp_deg,final_linear_speed_max_m_s,final_angular_speed_max_rad_s,layer_signed_gap_mm_json,layer_compression_mm_json,settling_time_s,max_contacts,truncated_contacts,finite,order_preserved,toppled_or_escaped,failure,stepping_wall_s
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.0,0.24127960205078125,0.19996803142130376,0.2,0.031968578696250916,0.0,0.02111885696648441,0.0,0.01670428365468979,0.006083372514694929,"[-0.0321646034717564, -0.001412779092789529, -0.0012078881263741237, -0.0006937980651863795, 0.0005728006362906712, 0.003880858421324851, -0.0003659725189217311, -0.003674030303955911, 0.008008480072020652, 0.0028228759765616673]","[0.0321646034717564, 0.001412779092789529, 0.0012078881263741237, 0.0006937980651863795, 0.0, 0.0, 0.0003659725189217311, 0.003674030303955911, 0.0, 0.0]",3.0,40,0,True,True,False,False,94.75649059099669
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.01,0.18009543418884277,0.20005264841020107,0.2,0.05264841020105604,0.0,0.012783892452711276,0.0,0.011174063198268414,0.0004614568315446377,"[-0.030197650194168507, 0.015805512666701438, 0.017023682594298484, 0.02110660076141274, 0.016070008277892234, 0.019631385803221824, 0.01985490322112954, 0.019422769546507956, 0.020465850830077292, 0.029078722000121238]","[0.030197650194168507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,40,0,True,True,False,False,87.43802246500127
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.05,0.12487173080444336,0.20032912101596595,0.2,0.32912101596593857,0.0,0.0,0.0,2.530361234676093e-05,1.0011834145339264e-16,"[-0.03138788044452709, 0.07175005972385323, 0.07489234209060586, 0.07804393768310464, 0.0811582803726188, 0.08430242538452065, 0.08746147155761635, 0.09050130844116128, 0.09366035461425698, 0.09675979614257729]","[0.03138788044452709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07475,40,0,True,True,False,False,47.01919732699753
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.1,0.08742325007915497,0.20032913871109487,0.2,0.32913871109485626,0.0,0.0,0.0,1.110538505599834e-05,3.1026098865153325e-17,"[-0.03139346837997478, 0.07174447178840554, 0.0748886168003074, 0.07802903652191079, 0.0811582803726188, 0.08430242538452065, 0.08749127388000405, 0.09053111076354897, 0.09369015693664468, 0.09690880775451577]","[0.03139346837997478, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07375,40,0,True,True,False,False,45.87786251399666
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.0,0.21058320999145508,0.20000082217156886,0.2,0.0008221715688538911,0.0,0.056765973567962646,0.0,0.029667194932699203,0.0021254399325698614,"[-0.00318929553031963, 0.0022603571414939183, 0.0005355477333060521, -0.002630949020386575, 0.0026887655258170384, -0.0032418966293343288, 0.006160736083983542, -0.0013494491577156764, 0.005624294281005027, 0.002137422561644675]","[0.00318929553031963, 0.0, 0.0, 0.002630949020386575, 0.0, 0.0032418966293343288, 0.0, 0.0013494491577156764, 0.0, 0.0]",3.0,36,0,True,True,False,False,94.31669741099904
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.01,0.20682811737060547,0.2000996835529804,0.2,0.09968355298040077,0.0,0.03765020519494455,0.0,0.027575988322496414,0.0009860575664788485,"[-0.00303283333778423, 0.01796990633010781, 0.024552494287490012, 0.014557540416716697, 0.02530872821807778, 0.024012327194213035, 0.02155363559722817, 0.02213478088378823, 0.04278779029846108, 0.057003498077391745]","[0.00303283333778423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,40,0,True,True,False,False,85.47031550100655
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.05,0.09179115295410156,0.200433287397027,0.2,0.43328739702699903,0.0,0.0,0.0,5.7944311265600845e-05,4.4134446575893406e-17,"[-0.003152042627335011, 0.09575024247169411, 0.09621590375900185, 0.09663313627242959, 0.09719192981719887, 0.09762406349182046, 0.0979816913604728, 0.09854793548583901, 0.09905457496642983, 0.09953141212463296]","[0.003152042627335011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.07425,40,0,True,True,False,False,46.0062938810006
sap_warp,cuda:0,10,0.25,3.0,drake,100,-1.0,-1,-1.0,1000000.0,3.0,3000.0,0.1,0.013917684555053711,0.2004332823678851,0.2,0.43328236788509056,0.0,0.0,0.0,5.4685900977347046e-05,1.3994487772122418e-16,"[-0.003153905272484242, 0.09574837982654488, 0.09620472788810647, 0.09663313627242959, 0.09719192981719887, 0.0976389646530143, 0.0979518890380851, 0.0986075401306144, 0.09902477264404214, 0.09953141212463296]","[0.003153905272484242, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.067,40,0,True,True,False,False,44.85965078400477
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.0,0.3536641597747803,0.19995469637215138,0.2,0.045303627848630734,0.0,0.0642897561192457,0.0,0.020558468997478485,0.007569223176687956,"[-0.0307266414165501, -0.006523877382279275, 0.0032848119735709447, -0.014179348945618508, -0.002675652503968118, -0.0050300359725960475, -0.0059390068054207545, 0.007352828979491355, 0.010601282119750144, 0.007621049880980613]","[0.0307266414165501, 0.006523877382279275, 0.0, 0.014179348945618508, 0.002675652503968118, 0.0050300359725960475, 0.0059390068054207545, 0.0, 0.0, 0.0]",3.0,40,0,True,True,False,False,43.52248169599625
sap_warp,cuda:0,10,0.5,3.0,drake,100,-1.0,-1,-1.0,100000.0,3.0,300.0,0.01,0.2746284008026123,0.20003710482269527,0.2,0.03710482269525528,0.0,0.057151354849349634,0.0,0.02629127725958824,0.00031303372816182673,"[-0.032062157988548695, 0.01960717141628182, 0.016517043113707663, 0.017127990722655417, 0.005147457122801902, 0.005519986152648093, 0.01820087432861245, 0.02371430397033608, 0.018916130065917136, 0.022909641265868308]","[0.032062157988548695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.0,40,0,True,True,False,False,45.68157028499991
