engine,mujoco_version,stack_count,dt_ms,ke_pair_nominal_N_m,solref_stiffness_s_2,solimp_d,duration_s,layer_delta_mm_json,layer_Fn_measured_N_json,layer_Fn_static_N_json,layer_contact_points_mean_json,layer_effective_interface_k_N_m_json,layer_ratio_delta_over_Fn_over_4k_json,tail_contact_rows_mean,wall_s
mujoco,3.12.0,1,0.5,10000.0,999.9999999999998,0.9,4.0,[0.24524999999923913],[9.81],[9.81],[4.0],[40000.0000001241],[0.9999999999968975],4.0,0.05009537498699501
mujoco,3.12.0,1,0.5,100000.0,9999.999999999998,0.9,4.0,[0.02452499999997808],[9.81],[9.81],[4.0],[400000.0000003575],[0.9999999999991063],4.0,0.03401424997719005
mujoco,3.12.0,1,0.5,1000000.0,99999.99999999997,0.9,4.0,[0.0024524999999997674],[9.81],[9.81],[4.0],[4000000.0000003795],[0.9999999999999051],4.0,0.03471100001479499
mujoco,3.12.0,3,0.5,10000.0,999.9999999999998,0.9,4.0,"[0.7357500000000302, 0.9810000000000643, 0.4904999999999476]","[29.430000000000266, 19.620000000000154, 9.810000000000077]","[29.43, 19.62, 9.81]","[4.0, 4.0, 4.0]","[39999.99999999872, 19999.999999998847, 20000.000000002296]","[1.000000000000032, 2.0000000000001155, 1.9999999999997706]",12.0,0.08002475000103004
mujoco,3.12.0,3,0.5,100000.0,9999.999999999998,0.9,4.0,"[0.07357500000003439, 0.09809999999993749, 0.04905000000003457]","[29.43000000000022, 19.620000000000108, 9.809999999999988]","[29.43, 19.62, 9.81]","[4.0, 4.0, 4.0]","[399999.999999816, 200000.00000012855, 199999.9999998588]","[1.0000000000004599, 1.9999999999987144, 2.000000000001412]",12.0,0.07829420900088735
mujoco,3.12.0,3,0.5,1000000.0,99999.99999999997,0.9,4.0,"[0.00735749999999924, 0.009810000000001297, 0.004904999999999497]","[29.430000000000252, 19.620000000000047, 9.80999999999997]","[29.43, 19.62, 9.81]","[4.0, 4.0, 4.0]","[4000000.0000004475, 1999999.9999997404, 2000000.0000001993]","[0.9999999999998881, 2.00000000000026, 1.9999999999998008]",12.0,0.07720224998774938
mujoco,3.12.0,5,0.5,10000.0,999.9999999999998,0.9,4.0,"[1.2262500000000283, 1.9619999999999036, 1.4715000000000626, 0.9809999999999444, 0.4904999999999559]","[49.050000000001766, 39.24000000000031, 29.430000000000266, 19.620000000000154, 9.810000000000077]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[4.0, 4.0, 4.0, 4.0, 4.0]","[40000.00000000052, 20000.000000001142, 19999.99999999933, 20000.00000000129, 20000.000000001954]","[0.9999999999999871, 1.9999999999998859, 2.000000000000067, 1.999999999999871, 1.9999999999998046]",20.0,0.12139549999847077
mujoco,3.12.0,5,0.5,100000.0,9999.999999999998,0.9,4.0,"[0.12262500000004281, 0.1961999999999234, 0.14715000000007145, 0.098099999999953, 0.04905000000002398]","[49.05000000000147, 39.24, 29.43000000000022, 19.620000000000022, 9.810000000000015]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[4.0, 4.0, 4.0, 4.0, 4.0]","[399999.9999998723, 200000.0000000781, 199999.9999999044, 200000.00000009604, 199999.99999990256]","[1.000000000000319, 1.999999999999219, 2.000000000000956, 1.9999999999990397, 2.0000000000009743]",20.0,0.12365795799996704
mujoco,3.12.0,5,0.5,1000000.0,99999.99999999997,0.9,4.0,"[0.012262499999999841, 0.019620000000000467, 0.014714999999999322, 0.009809999999999826, 0.004905000000001436]","[49.05000000000087, 39.240000000000535, 29.42999999999983, 19.620000000000203, 9.810000000000146]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[4.0, 4.0, 4.0, 4.0, 4.0]","[4000000.000000123, 1999999.9999999797, 2000000.0000000803, 2000000.000000056, 1999999.9999994442]","[0.9999999999999692, 2.0000000000000204, 1.9999999999999196, 1.9999999999999436, 2.0000000000005556]",20.0,0.12506500000017695
