time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qw,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_norm_Nm,torque_saturated,penetration_m,contacts_total,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.001,approach,0.0,0.35,-0.15,0.019999734864864865,0.0,0.0,0.0,0.0,34.76283739804346,0,3.469446951953614e-18,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.011000000000000003,approach,0.010000000000000002,0.35,-0.15,0.019997881568509953,0.0,0.0,0.0,0.0,34.76283739804346,0,2.0460499890202406e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02100000000000001,approach,0.02000000000000001,0.35,-0.15,0.01999759038430576,0.0,0.0,0.0,0.0,34.76283739804346,0,2.3990644499196492e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03100000000000002,approach,0.03000000000000002,0.35,-0.15,0.01999754794580062,1.0256284190721976e-34,0.0,0.0,0.0,34.76283739804346,0,2.4505164693216214e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04100000000000003,approach,0.04000000000000003,0.35,-0.15,0.01999754176084848,-1.2458518171466278e-34,0.0,0.0,0.0,34.76283739804346,0,2.4580150440827292e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05100000000000004,approach,0.05000000000000004,0.35,-0.15,0.01999754085945898,-1.2218034567464415e-34,0.0,0.0,0.0,34.76283739804346,0,2.459107879800503e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06100000000000005,approach,0.060000000000000046,0.35,-0.15,0.01999754072809127,-5.245978214294597e-35,0.0,0.0,0.0,34.76283739804346,0,2.459267148711051e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07100000000000005,approach,0.07000000000000005,0.35,-0.15,0.01999754070894586,-5.582556290223153e-34,0.0,0.0,0.0,34.76283739804346,0,2.459290360421368e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08100000000000006,approach,0.08000000000000006,0.35,-0.15,0.01999754070615562,-8.35624186945268e-34,0.0,0.0,0.0,34.76283739804346,0,2.4592937432778884e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09100000000000007,approach,0.09000000000000007,0.35,-0.15,0.019997540705748978,-2.3191038849950463e-34,0.0,0.0,0.0,34.76283739804346,0,2.4592942362862863e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.10100000000000008,approach,0.10000000000000007,0.35,-0.15,0.019997540705689716,-6.158253465882862e-34,0.0,0.0,0.0,34.76283739804346,0,2.4592943081385598e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
