engine,device,mu,mass_kg,compression_per_side_mm,dt_ms,pair_ke_N_m,pair_tau_ms,N_measured_per_side_N,capacity_ratio_2muN_over_mg,normal_gate_pass,lift_follow_mm,slip_distance_mm,mean_abs_vt_mm_s,left_duty_lift,right_duty_lift,left_rho_mean_lift,right_rho_mean_lift,max_candidate_contacts,max_truncated_contacts,valid_for_force_comparison,grasp_success,wall_s
sap_warp,cuda:0,0.4,0.1,0.0,0.5,10000.0,3.0,1.434474271869088,1.169805726294873,False,54.727314753563405,4.287224343854633,3.4367940832507884,0.5,0.5,0.8582092369202411,0.8580360729115233,128,0,True,False,60.16646157996729
sap_warp,cuda:0,0.4,0.1,0.001,0.5,10000.0,3.0,4.040002822875976,3.294599651682753,True,59.01221678118951,0.002001928473873704,0.001604819637577748,1.0,1.0,0.3038705393367669,0.303913079023994,128,0,True,True,20.78236106876284
sap_warp,cuda:0,0.4,0.1,0.002,0.5,10000.0,3.0,4.079937934875487,3.3271665116211926,True,59.01222795743877,0.0020020924557684334,0.00160495015734341,1.0,1.0,0.30090301332748787,0.30094737574285785,128,0,True,True,20.70848626969382
sap_warp,cuda:0,0.4,0.1,0.003,0.5,10000.0,3.0,4.1200220584869385,3.3598548896937315,True,59.01222423166175,0.002001997734168981,0.001604874070835649,1.0,1.0,0.29797822135458624,0.29798737987827206,128,0,True,True,21.170710804872215
sap_warp,cuda:0,0.4,0.1,0.004,0.5,10000.0,3.0,4.15995717048645,3.392421749632171,True,59.012213056174545,0.002001995396767598,0.0016048724737629527,1.0,1.0,0.29512161750039845,0.2951332143951429,128,0,True,True,20.806945176795125
sap_warp,cuda:0,0.4,0.1,0.005,0.5,10000.0,3.0,4.2000412940979,3.4251101277047096,True,59.01221678096924,0.002001802133690944,0.0016047166154748993,1.0,1.0,0.2922780538380679,0.2923215522790326,128,0,True,True,21.143833220005035
sap_warp,cuda:0,0.4,0.1,0.006,0.5,10000.0,3.0,4.239976406097411,3.457676987643149,True,59.01222050620447,0.0020017670499328233,0.0016046885266405297,1.0,1.0,0.28955867195582424,0.28953433312238314,128,0,True,True,20.636863036081195
sap_warp,cuda:0,0.4,0.1,0.007,0.5,10000.0,3.0,4.280060529708862,3.4903653657156877,True,59.012235407765345,0.002001598907099833,0.0016045552238210803,1.0,1.0,0.28682026813823025,0.28688861037241226,128,0,True,True,21.12407882604748
sap_warp,cuda:0,0.4,0.1,0.008,0.5,10000.0,3.0,4.319995641708374,3.5229322256541273,True,59.01222423138641,0.0020023103184030333,0.0016051240290835267,1.0,1.0,0.28427673324333763,0.2842763221393051,128,0,True,True,20.745391767006367
sap_warp,cuda:0,0.4,0.1,0.009000000000000001,0.5,10000.0,3.0,4.359930753707885,3.5554990855925666,True,59.01220188003542,0.002001664943236392,0.0016046070741140284,1.0,1.0,0.281560042982502,0.2816124596167854,128,0,True,True,20.651295071002096
