dt_s,stiffness_N_m,damping_N_s_m,energy_initial_J,energy_mse_J2,energy_rmse_J,max_abs_energy_error_J,final_energy_ratio,first_rebound_height_m,first_rebound_height_ratio,elapsed_s,step_rate_hz
0.01,10000.0,0.0,24034.500000000004,3257479.616146255,1804.8489178172933,19271.17373426563,0.9969589000000001,5.009998037999993,1.0019996075999986,0.3125853750098031,6398.25199735361
0.01,100000.0,0.0,24034.500000000004,7567434724814.27,2750897.0763760447,8491591.558551677,354.30843406568374,100.02093256898588,20.004186513797176,0.3062095000059344,6531.475999148425
0.002,10000.0,0.0,24034.500000000004,3451542.2473242525,1857.8326747380272,24020.723548087026,0.9840134641782741,4.9737516988513395,0.9947503397702679,1.5268152079952415,6549.581080693012
0.002,100000.0,0.0,24034.500000000004,2470476.449552145,1571.7749360363732,23675.993629146753,0.9655903692583899,4.858788090051275,0.9717576180102551,1.5428703750076238,6481.4258942204315
0.0005,100000.0,0.0,24034.500000000004,1047108.4512414215,1023.283172558516,23699.300421422955,1.0048495311838637,4.997383870389892,0.9994767740779784,6.23513008300506,6415.263108788541
0.0005,1000000.0,0.0,24034.500000000004,2535268.6003271393,1592.2526810550953,23576.17833129505,0.9118504049949948,4.951499498619033,0.9902998997238066,6.153204916001414,6500.677378057079
0.0002,10000.0,0.0,24034.500000000004,3417848.252445573,1848.7423434447464,24025.086203702627,0.9999410986779665,5.000003053902436,1.000000610780487,15.541911666994565,6434.214924304586
0.0002,30000.0,0.0,24034.500000000004,1935856.8538140976,1391.3507299793598,23825.870713153105,1.0001161676130395,4.999934808064356,0.9999869616128713,15.62685512501048,6399.240231001562
0.0002,100000.0,0.0,24034.500000000004,1048031.5514779969,1023.7341214778361,23702.92919639743,1.00078762923573,5.0026161928979045,1.0005232385795808,15.323738708000747,6525.822575386811
0.0002,300000.0,0.0,24034.500000000004,605612.1719861606,778.2108788664938,23639.700543053157,1.0055641651558649,5.010096162222021,1.0020192324444042,15.55795862499508,6427.578476738083
0.0002,1000000.0,0.0,24034.500000000004,381693.56535258883,617.8135360710291,23599.581960103984,1.0122031955890682,5.035606135892916,1.0071212271785832,15.72943370899884,6357.507959284624
0.0001,100000.0,0.0,24034.500000000004,1048621.309304887,1024.0221234450391,23702.718813810636,0.9997346965021532,4.999613294623528,0.9999226589247057,31.450058250004076,6359.288698613907
0.0001,300000.0,0.0,24034.500000000004,602349.6561231805,776.1118837662393,23639.7367373453,0.9982239350342531,4.999056441924973,0.9998112883849946,31.334748207998928,6382.690509347872
0.0001,1000000.0,0.0,24034.500000000004,333517.71664873045,577.5099277490651,23600.80379732787,0.9964482325158686,4.995721076589555,0.999144215317911,30.913428667001426,6469.680285367059
