time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
7.08,final_hold,6.7,0.34707317,0.18423375,0.19224013,0.08783707,0.12032765,0.23320377,0.9609485,0.002798462562306393,0.23399706128089334,0.2340023278803582,0.006257671615241986,1,0.0002939735713880509,256,0,-1,0.4236971,-0.11019651,0.05196349,-2.4618232,0.0036350845,2.0130646,0.7855325,0.01899897,0.0225225,14.701387911628668,5.32130252967106,0.45244899339248407,1,14.203056487747059,6.779041290732084,0.5966181730478529,1
7.09,final_hold,6.7,0.34706992,0.18422973,0.19223697,0.08783154,0.120458074,0.23307341,0.9609643,0.0028041835269479623,0.23434560314874867,0.23434928018693812,0.006257680784282728,1,0.00029410343267954886,256,0,-1,0.4236971,-0.11019649,0.051963482,-2.4618232,0.0036352156,2.0130646,0.7855325,0.018998986,0.02251835,14.705114662858662,5.308174643023321,0.45121839957752974,1,14.204732341711997,6.773072274359534,0.5960225183608795,1
7.1000000000000005,final_hold,6.7,0.34706673,0.1842256,0.19223382,0.08782509,0.1205877,0.23294342,0.96098006,0.0028099533797746584,0.2346904085834681,0.23469775832479792,0.006257684700942748,1,0.00029412502772174776,256,0,-1,0.4236971,-0.110196486,0.051963475,-2.4618232,0.00363532,2.0130646,0.7855325,0.018999005,0.022514278,14.708168581994766,5.294970335760568,0.45000251953891185,1,14.205627689379464,6.766830841273669,0.5954357481799929,1
7.11,final_hold,6.7,0.3470635,0.18422158,0.19223069,0.087818846,0.12071637,0.23281384,0.9609959,0.0028157610906029396,0.23503457639811765,0.23504063868337693,0.006257683298978351,1,0.0002941879502031952,256,0,-1,0.4236971,-0.110196486,0.051963467,-2.4618232,0.003635402,2.0130646,0.7855325,0.018999001,0.022510171,14.710899956394224,5.281541677586976,0.4487779208989952,1,14.206573866869808,6.760492680504503,0.5948384128236393,1
7.12,final_hold,6.7,0.34706035,0.18421753,0.19222759,0.08781219,0.120844185,0.23268464,0.96101177,0.00282146985754627,0.23537546140973786,0.23537997613522268,0.006257682197784985,1,0.00029426408582367003,256,0,-1,0.4236971,-0.110196486,0.051963463,-2.4618232,0.0036354675,2.0130646,0.7855325,0.018999005,0.022506053,14.715007475532893,5.268681855609491,0.4475602428651408,1,14.208655302711293,6.754703816193419,0.5942420018191735,1
7.13,final_hold,6.7,0.34705722,0.18421349,0.19222449,0.08780509,0.12097113,0.23255582,0.9610276,0.0028271271016146148,0.23571612843133163,0.23572085492527045,0.006257681351080769,1,0.00029430389986373484,256,0,-1,0.4236971,-0.110196486,0.051963463,-2.4618232,0.0036355192,2.0130646,0.7855325,0.01899902,0.022502013,14.717933778708442,5.255450143902745,0.4463474818307624,1,14.209742742197937,6.748471233047209,0.5936482591101583,1
7.140000000000001,final_hold,6.7,0.34705406,0.18420951,0.19222139,0.08779799,0.121097155,0.23242736,0.9610435,0.002832778672481655,0.23605270005114265,0.23605719438120962,0.0062576806915576304,1,0.00029444231768138707,256,0,-1,0.4236971,-0.110196486,0.051963463,-2.4618232,0.0036355595,2.0130646,0.7855325,0.018999022,0.02249795,14.721999785401202,5.24255681831422,0.44512947414869075,1,14.21159596699513,6.742850988622694,0.5930765098693194,1
7.15,final_hold,6.7,0.347051,0.18420547,0.1922183,0.087790176,0.12122241,0.23229928,0.96105933,0.0028384540432028873,0.23639006245124589,0.23639507934841633,0.006257680138977792,1,0.0002943775907624513,256,0,-1,0.4236971,-0.110196486,0.051963463,-2.4618232,0.0036355932,2.0130646,0.7855325,0.01899902,0.022493932,14.723964380660414,5.229072416288583,0.44392531463510326,1,14.211985585812267,6.736151426607148,0.5924709979768594,1
7.16,final_hold,6.7,0.34704795,0.18420146,0.19221523,0.08778219,0.12134672,0.2321716,0.96107525,0.0028440439339251053,0.23672448253017972,0.23672945584923946,0.00625767971990076,1,0.00029455035110004246,256,0,-1,0.4236971,-0.110196486,0.051963463,-2.4618232,0.0036356188,2.0130646,0.7855325,0.018999027,0.02248991,14.728938178002087,5.216531018771717,0.4427110559268532,1,14.214618252458266,6.73095204725386,0.5919040462175104,1
7.17,final_hold,6.7,0.3470449,0.18419753,0.19221218,0.08777423,0.12147016,0.23204426,0.9610912,0.002849590497220618,0.237055863233954,0.23706134675628637,0.006257679334634137,1,0.0002946537861134857,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.0036356389,2.0130646,0.7855325,0.01899903,0.022485908,14.731731642746862,5.20326394730929,0.44150138570701447,1,14.21530822786973,6.7249033707101,0.5913434361491398,1
7.18,final_hold,6.7,0.34704185,0.18419358,0.19220914,0.08776575,0.1215928,0.23191725,0.9611071,0.002855140928439972,0.23738759287542124,0.23739277583022292,0.006257679052823663,1,0.00029466088744811714,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.003635656,2.0130646,0.7855325,0.01899903,0.022481939,14.734696491299584,5.190252251172584,0.44030871744094624,1,14.216560597364275,6.71883687051236,0.5907579425151203,1
7.19,final_hold,6.7,0.34703887,0.1841896,0.1922061,0.08775686,0.12171459,0.23179062,0.96112305,0.0028606851479399073,0.23771631749222324,0.23772173441758226,0.006257678831978337,1,0.0002947244211100042,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.0036356696,2.0130646,0.7855325,0.01899903,0.022477988,14.738105160936449,5.177266593293219,0.43910551396861686,1,14.217931283320878,6.7130086657469015,0.5901885910805782,1
7.2,final_hold,6.7,0.34703588,0.18418567,0.19220307,0.087747835,0.12183551,0.23166436,0.961139,0.0028661837541320264,0.2380423078421215,0.23804722879444298,0.006257678660652896,1,0.00029483719845302403,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.00363568,2.0130646,0.7855325,0.018999033,0.022474049,14.74165047155175,5.164339918141063,0.4379038093552635,1,14.21935137959553,6.7073234006759375,0.5896298661608438,1
7.21,final_hold,6.7,0.3470329,0.18418175,0.19220006,0.08773854,0.12195563,0.23153846,0.961155,0.0028716652549650836,0.23836905394423621,0.23837228081115353,0.006257678504571653,1,0.0002948144101537764,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.0036356896,2.0130646,0.7855325,0.01899902,0.02247009,14.74362648641622,5.151034707606846,0.4367170716404696,1,14.219689404835355,6.700965565391893,0.5890569560465622,1
7.22,final_hold,6.7,0.34702995,0.18417783,0.19219707,0.08772891,0.122074895,0.23141292,0.961171,0.002877118459407894,0.23869257786966783,0.23869589106362657,0.006257678394181515,1,0.0002949283516500145,256,0,-1,0.4236971,-0.110196486,0.051963456,-2.4618232,0.0036356964,2.0130646,0.7855325,0.018999018,0.022466144,14.746967513070047,5.138043853848524,0.4355169841947795,1,14.220645156226913,6.6952644000718875,0.5885162317284331,1
