time_s,x_m,y_m,z_m,qx,qy,qz,qw
5.999999999999999778e-01,-3.628434613347053528e-02,-3.634428139775991440e-03,5.207765102386474609e-02,7.758332788944244385e-02,-7.030938267707824707e-01,-2.274016849696636200e-02,7.064862847328186035e-01
6.049999999999999822e-01,-3.628158941864967346e-02,-3.669949714094400406e-03,5.207755416631698608e-02,7.867328822612762451e-02,-7.029728889465332031e-01,-2.383603155612945557e-02,7.064499855041503906e-01
6.099999999999999867e-01,-3.627883270382881165e-02,-3.705536480993032455e-03,5.207747966051101685e-02,7.976506650447845459e-02,-7.028501033782958984e-01,-2.493383921682834625e-02,7.064118385314941406e-01
6.149999999999999911e-01,-3.627607598900794983e-02,-3.741188440471887589e-03,5.207740515470504761e-02,8.085865527391433716e-02,-7.027252912521362305e-01,-2.603359706699848175e-02,7.063719034194946289e-01
6.199999999999999956e-01,-3.627328574657440186e-02,-3.776903962716460228e-03,5.207736790180206299e-02,8.195398747920989990e-02,-7.025981545448303223e-01,-2.713532932102680206e-02,7.063307762145996094e-01
6.250000000000000000e-01,-3.627049177885055542e-02,-3.812684910371899605e-03,5.207733064889907837e-02,8.305112272500991821e-02,-7.024690508842468262e-01,-2.823899500072002411e-02,7.062877416610717773e-01
6.300000000000000044e-01,-3.626769781112670898e-02,-3.848531050607562065e-03,5.207730829715728760e-02,8.415006101131439209e-02,-7.023380994796752930e-01,-2.934459410607814789e-02,7.062427997589111328e-01
6.350000000000000089e-01,-3.626490384340286255e-02,-3.884442383423447609e-03,5.207729339599609375e-02,8.525080233812332153e-02,-7.022053599357604980e-01,-3.045212849974632263e-02,7.061959505081176758e-01
6.400000000000000133e-01,-3.626210987567901611e-02,-3.920418675988912582e-03,5.207728222012519836e-02,8.635333180427551270e-02,-7.020707130432128906e-01,-3.156158700585365295e-02,7.061471939086914062e-01
6.450000000000000178e-01,-3.625931590795516968e-02,-3.956460393965244293e-03,5.207726359367370605e-02,8.745764940977096558e-02,-7.019340395927429199e-01,-3.267296776175498962e-02,7.060965895652770996e-01
6.500000000000000222e-01,-3.625652194023132324e-02,-3.992567304521799088e-03,5.207725241780281067e-02,8.856374025344848633e-02,-7.017955183982849121e-01,-3.378626331686973572e-02,7.060440182685852051e-01
6.550000000000000266e-01,-3.625371679663658142e-02,-4.028739407658576965e-03,5.207724124193191528e-02,8.967159688472747803e-02,-7.016550302505493164e-01,-3.490148112177848816e-02,7.059895396232604980e-01
6.600000000000000311e-01,-3.625088557600975037e-02,-4.064976703375577927e-03,5.207722634077072144e-02,9.078123420476913452e-02,-7.015125751495361328e-01,-3.601861372590065002e-02,7.059332132339477539e-01
6.650000000000000355e-01,-3.624805435538291931e-02,-4.101279191672801971e-03,5.207720771431922913e-02,9.189264476299285889e-02,-7.013680338859558105e-01,-3.713766857981681824e-02,7.058749794960021973e-01
6.700000000000000400e-01,-3.624522313475608826e-02,-4.137646872550249100e-03,5.207719653844833374e-02,9.300582855939865112e-02,-7.012215256690979004e-01,-3.825863823294639587e-02,7.058148980140686035e-01
6.750000000000000444e-01,-3.624239191412925720e-02,-4.174079746007919312e-03,5.207718163728713989e-02,9.412077069282531738e-02,-7.010729312896728516e-01,-3.938151895999908447e-02,7.057529687881469727e-01
6.800000000000000488e-01,-3.623956069350242615e-02,-4.210577812045812607e-03,5.207716301083564758e-02,9.523747861385345459e-02,-7.009223699569702148e-01,-4.050631076097488403e-02,7.056890130043029785e-01
6.850000000000000533e-01,-3.623672947287559509e-02,-4.247141070663928986e-03,5.207715556025505066e-02,9.635592997074127197e-02,-7.007697820663452148e-01,-4.163301363587379456e-02,7.056231498718261719e-01
6.900000000000000577e-01,-3.623389825224876404e-02,-4.283769987523555756e-03,5.207713693380355835e-02,9.747613221406936646e-02,-7.006151080131530762e-01,-4.276162385940551758e-02,7.055553793907165527e-01
6.950000000000000622e-01,-3.623106330633163452e-02,-4.320464562624692917e-03,5.207712203264236450e-02,9.859810024499893188e-02,-7.004583477973937988e-01,-4.389213770627975464e-02,7.054856419563293457e-01
7.000000000000000666e-01,-3.622819483280181885e-02,-4.357224330306053162e-03,5.207710713148117065e-02,9.972184896469116211e-02,-7.002996206283569336e-01,-4.502457007765769958e-02,7.054139971733093262e-01
7.049999999999999600e-01,-3.622532635927200317e-02,-4.394050221890211105e-03,5.207709223031997681e-02,1.008473336696624756e-01,-7.001387476921081543e-01,-4.615890607237815857e-02,7.053403258323669434e-01
7.099999999999999645e-01,-3.622245788574218750e-02,-4.430941306054592133e-03,5.207707360386848450e-02,1.019745543599128723e-01,-6.999757289886474609e-01,-4.729514196515083313e-02,7.052648067474365234e-01
7.149999999999999689e-01,-3.621958941221237183e-02,-4.467898514121770859e-03,5.207705870270729065e-02,1.031035110354423523e-01,-6.998105645179748535e-01,-4.843326658010482788e-02,7.051872611045837402e-01
