case,geometry,initial_offset_mm,final_center_mm,entered_cavity,max_contacts,max_phi0_penetration_mm,max_raw_witness_penetration_mm,final_phi0_penetration_mm,truncated_contacts,stepping_wall_s,end_to_end_wall_s
square_centered_ke_1000,analytic_square,0.0,"[2.740097593267876e-07, 2.740097593267876e-07, 35.0019708275795]",True,4,0.0980272889137268,0.09802734738452792,0.0980272889137268,0,11.906730457994854,12.043787499991595
square_centered_ke_10000,analytic_square,0.0,"[8.75913577780274e-08, 8.75913577780274e-08, 35.090263932943344]",True,4,0.009734183549880981,0.009734193319101136,0.009734183549880981,0,11.992833249998512,12.022014124988345
square_centered_ke_100000,analytic_square,0.0,"[5.444308545654586e-08, 5.444308545654586e-08, 35.098373889923096]",True,4,0.0016242265701293945,0.001624227500666292,0.0016242265701293945,0,11.424679833988193,11.456997832996421
square_offset_1mm_ke_10000,analytic_square,1.0,"[41.94319620728493, 12.2028524056077, -13251.626014709473]",False,12,0.0,0.0,0.0,0,13.636986708006589,13.66517616600322
