time_s,force_command_N,x_bottom_m,x_middle_m,x_top_m,x_rel_top_middle_m,v_rel_top_middle_m_s,box_0--ground_Fn_N,box_0--ground_Ft_N,box_0--ground_rho,box_0--box_1_Fn_N,box_0--box_1_Ft_N,box_0--box_1_rho,box_1--box_2_Fn_N,box_1--box_2_Ft_N,box_1--box_2_rho
5.25,0.5,-1.3909410881751683e-05,-0.014326388016343117,0.08285491168498993,0.0971812978386879,0.0050544738769532326,9.634000987751994,0.1299753030519703,0.026982621906975503,68.66805628852555,2.2541848246672918,0.0656545400148152,59.57341323626177,7.702056740410504,0.2585736261195904
5.255,0.5,-1.4868530342937447e-05,-0.014351709745824337,0.08285491168498993,0.09720662236213684,0.005064904689788926,10.773833451210042,0.979201095022144,0.18177394322206958,68.66832866428969,2.266887438017374,0.06602424966828259,59.57341323626177,7.702056740410504,0.2585736261195904
5.26,0.5,-1.4103436114965007e-05,-0.014377073384821415,0.08285491168498993,0.09723198413848877,0.005072355270385851,9.607285024519308,0.1436011370111793,0.02989421811566671,68.67282037370573,2.272044386501704,0.06617012011848727,59.57341323626177,7.702056740410504,0.2585736261195904
5.265,0.5,-1.5149170394579414e-05,-0.01440249104052782,0.08285491168498993,0.09725740551948547,0.005084276199340929,18.266776680964366,5.163117320578642,0.5653014114919439,68.67107709572686,2.286883815077939,0.06660398851440887,59.57341323626177,7.702056740410504,0.2585736261195904
5.2700000000000005,0.5,-1.4331628335639834e-05,-0.014427948743104935,0.08285491168498993,0.09728285670280457,0.005090236663817564,9.596142597853067,0.1214425922120189,0.025310710209577147,68.66875454770823,2.2924724853926874,0.06676901308294361,59.57341323626177,7.702056740410504,0.2585736261195904
5.275,0.5,-1.5185443771770224e-05,-0.01445345301181078,0.08285491168498993,0.09730836749076843,0.005102157592773546,69.74123338619226,5.848321661485789,0.16771489053256894,68.66517022982761,2.304342322256632,0.06711822935977065,59.57341323626177,7.702056740410504,0.2585736261195904
5.28,0.5,-1.45968779179384e-05,-0.014479001052677631,0.08285491168498993,0.09733391553163528,0.005109608173370471,9.716068935317063,0.0914140499433466,0.018817085500714082,68.66805513012112,2.3114592417524293,0.06732269429714813,59.57341323626177,7.702056740410504,0.2585736261195904
5.285,0.5,-1.3924319318903144e-05,-0.014504591934382915,0.08285491168498993,0.09735950082540512,0.0051170587539673944,9.633764228438277,0.1318143944053124,0.027365086227915864,68.67105405683508,2.316924237694418,0.06747891872394542,59.57341323626177,7.702056740410504,0.2585736261195904
5.29,0.5,-1.4894669220666401e-05,-0.014530233107507229,0.08285491168498993,0.09738514572381973,0.005128979682922473,10.773922280696302,0.9921801344467576,0.18418178795004905,68.66850169548391,2.330605958348791,0.0678799129383674,59.57341323626177,7.702056740410504,0.2585736261195904
5.295,0.5,-1.4120483683655038e-05,-0.014555917121469975,0.08285491168498993,0.09741082787513733,0.005136430263519396,9.608597674058538,0.14390608690433912,0.029953608588037632,68.66814334183297,2.337128004047422,0.06807022558956044,59.57341323626177,7.702056740410504,0.2585736261195904
5.3,0.5,-1.5178645298874471e-05,-0.014581646770238876,0.08285491168498993,0.0974365621805191,0.00514686107635509,18.267036416055376,5.225896552637291,0.5721668730067362,68.6709739708789,2.3473095282590655,0.06836395037165141,59.57341323626177,7.702056740410504,0.2585736261195904
5.305,0.5,-1.4157750229060184e-05,-0.014604974538087845,0.08285491168498993,0.09745988249778748,0.004664063453674416,9.616557399226378,0.14874335712442627,0.030934845173677682,57.94771928800645,2.5637632067143947,0.08848538780179471,59.57341323626177,7.702056740410504,0.2585736261195904
5.3100000000000005,0.5,-1.5085971426742617e-05,-0.01462865062057972,0.08285491168498993,0.0974835604429245,0.004735589027404045,18.445072999492044,5.009169209742191,0.5431444169269634,70.0690788729863,1.9378072461437117,0.055311337820106374,59.57341323626177,7.702056740410504,0.2585736261195904
5.315,0.5,-1.4323456525744405e-05,-0.014654955826699734,0.08285491168498993,0.09750986844301224,0.005261600017547719,9.594532099262008,0.12015949135021656,0.02504749374061899,69.55797122212277,2.0781580112928473,0.05975326694496499,59.57341323626177,7.702056740410504,0.2585736261195904
5.32,0.5,-1.5120186617423315e-05,-0.01467832550406456,0.08285491168498993,0.09753324091434479,0.0046744942665101095,18.081810838342232,4.9456237043899876,0.5470274795600516,67.1532142951059,2.153360584686938,0.06413276288530166,59.57341323626177,7.702056740410504,0.2585736261195904
5.325,0.5,-1.4308056051959284e-05,-0.014703336171805859,0.08285491168498993,0.09755824506282806,0.00500082969665538,9.595854132883868,0.11915223121532179,0.024834106389133415,70.04844034727414,2.0167846435693386,0.05758257096291851,59.57341323626177,7.702056740410504,0.2585736261195904
5.33,0.5,-1.511159189249156e-05,-0.014726782217621803,0.08285491168498993,0.09758169203996658,0.004689395427703957,18.114411171075407,4.946064402746388,0.5460916566412192,67.41475189073917,2.079556765665511,0.061694412790716864,59.57341323626177,7.702056740410504,0.2585736261195904
