-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291899970965459943e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291899970965459943e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291900116484612226e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291900262003764510e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291900553042069077e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291900844080373645e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291901135118678212e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291901426156982780e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291901862714439631e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
-3.680210094898939133e-03,2.390171959996223450e-02,3.680410096421837807e-03,-2.368323564529418945e+00,-1.291902299271896482e-04,2.392224788665771484e+00,7.854920029640197754e-01,3.999999910593032837e-02,3.999999910593032837e-02
