time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qw,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_norm_Nm,torque_saturated,penetration_m,contacts_total,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.001,approach,0.0,0.35,-0.15,0.019999734864864865,0.0,0.0,0.0,0.0,34.76283739804346,0,3.469446951953614e-18,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.011000000000000003,approach,0.010000000000000002,0.35,-0.15,0.019996105682572804,0.0,0.0,0.0,0.0,34.76283739804346,0,3.6293024040391214e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02100000000000001,approach,0.02000000000000001,0.35,-0.15,0.019994404711974154,0.0,0.0,0.0,0.0,34.76283739804346,0,5.4835189966188854e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03100000000000002,approach,0.03000000000000002,0.35,-0.15,0.019993688818130146,0.0,0.0,0.0,0.0,34.76283739804346,0,6.2641620675337636e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04100000000000003,approach,0.04000000000000003,0.35,-0.15,0.01999338765531459,-1.2418171366554908e-34,0.0,0.0,0.0,34.76283739804346,0,6.592564494772107e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05100000000000004,approach,0.05000000000000004,0.35,-0.15,0.01999326096312853,-3.9565919863228425e-34,0.0,0.0,0.0,34.76283739804346,0,6.730715824044347e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06100000000000005,approach,0.060000000000000046,0.35,-0.15,0.01999320766685361,-4.776268403126749e-34,0.0,0.0,0.0,34.76283739804346,0,6.788832690419252e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07100000000000005,approach,0.07000000000000005,0.35,-0.15,0.01999318524645819,-5.191512232706481e-34,0.0,0.0,0.0,34.76283739804346,0,6.813280989054854e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08100000000000006,approach,0.08000000000000006,0.35,-0.15,0.01999317581477029,-5.903526658590608e-34,0.0,0.0,0.0,34.76283739804346,0,6.823565764468103e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09100000000000007,approach,0.09000000000000007,0.35,-0.15,0.019993171847101008,-2.0310890083212573e-34,0.0,0.0,0.0,34.76283739804346,0,6.827892305864036e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.10100000000000008,approach,0.10000000000000007,0.35,-0.15,0.019993170178004435,1.1556735824619131e-35,0.0,0.0,0.0,34.76283739804346,0,6.829712370733717e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.11100000000000008,approach,0.11000000000000008,0.35,-0.15,0.019993169475858403,1.047171176733355e-34,0.0,0.0,0.0,34.76283739804346,0,6.830478025245719e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
