ke_target_N_m,dt_ms,solimp_d,solref_stiffness_s_2,force_N,target_delta_mm,mean_normal_force_N,mean_delta_mm,R_k,relative_error,keff_N_m,tail_speed_max_m_s,wall_s
1000000.0,0.1,0.9,99999.99999999997,100.0,0.1,100.0,0.09999999999999937,0.9999999999999937,6.328271240363392e-15,1000000.0000000063,5.67860897582884e-17,0.13036891698720865
1000000.0,0.25,0.9,99999.99999999997,100.0,0.1,100.0,0.09999999999999887,0.9999999999999886,1.1435297153639112e-14,1000000.0000000113,3.8182105507101954e-16,0.04958120800438337
1000000.0,0.5,0.9,99999.99999999997,100.0,0.1,100.0,0.09999999999999942,0.9999999999999942,5.773159728050814e-15,1000000.0000000058,5.25743378100086e-16,0.02555200000642799
1000000.0,1.0,0.9,99999.99999999997,100.0,0.1,100.0,0.09999999999999945,0.9999999999999944,5.551115123125783e-15,1000000.0000000055,5.360308225959088e-16,0.01266216699150391
1000000.0,2.0,0.9,99999.99999999997,100.0,0.1,100.0,0.0999999999999999,0.9999999999999989,1.1102230246251565e-15,1000000.000000001,1.051642663734207e-15,0.006378249992849305
1000000.0,5.0,0.9,99999.99999999997,100.0,0.1,0.0,0.0,0.0,1.0,inf,170.42990873260567,0.0014118340041022748
