case,geometry,initial_offset_mm,final_center_mm,entered_cavity,max_contacts,max_phi0_penetration_mm,max_raw_witness_penetration_mm,final_phi0_penetration_mm,truncated_contacts,stepping_wall_s,end_to_end_wall_s,rigid_gap_mm
square_offset_1mm_gap_0mm,analytic_square,1.0,"[1.0000000474974513, 6.315086675812154e-06, 35.00168398022652]",True,4,0.2929801121354103,0.2929801191920841,0.1001991331577301,0,22.055071741999996,22.507252038000047,0.0
square_offset_1mm_gap_0.1mm,analytic_square,1.0,"[1.0000000474974513, 1.5013053300538814e-07, 35.090114921331406]",True,4,0.2929801121354103,0.2929801191920841,0.009884126484394073,0,21.533781223000005,21.61674911,0.1
square_offset_1mm_gap_0.5mm,analytic_square,1.0,"[0.999999581836164, -2.668926413207373e-06, 35.090263932943344]",True,4,0.009734183549880981,0.00973421010840885,0.009734183549880981,0,20.869354513000076,20.9563513170001,0.5
square_offset_1mm_gap_1mm,analytic_square,1.0,"[-70.16133517026901, 5.979289300739765, -13465.215682983398]",False,12,0.0,0.0,0.0,0,25.325376520999953,25.416658087999963,1.0
