phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,left_phi0_min_m,left_geometric_overlap_m,left_minus_phi0_minus_geometric_m,right_Fn_N,right_Ft_N,right_points,right_rho,right_phi0_min_m,right_geometric_overlap_m,right_minus_phi0_minus_geometric_m
normal_gate,0.0025,4.919309317535925e-13,5.0902516963047695e-15,-6.087475443568519e-16,4.9499250184825705e-15,1.4032667782219906e-16,128,0,-1,5.996533555159415,4.4962654453798534e-10,4,1.8745269262736256e-10,-0.0001498199999332428,4.983387887477764e-05,9.998612105846516e-05,6.003371554246101,3.6836892498382594e-10,4,1.5340085219416566e-10,-0.00015017762780189514,5.016542971134075e-05,0.0001000121980905544
normal_gate,0.005,4.919443216504227e-13,5.6062095341469914e-15,-5.953913170863093e-16,5.6001210613221275e-15,6.088472824863911e-18,128,0,-1,6.000378755729716,3.770891240446091e-10,4,1.5711055059838078e-10,-0.00014990568161010742,4.992328584194072e-05,9.99823957681667e-05,5.999526353675799,3.7711441338285733e-10,4,1.571434106426611e-10,-0.00015009194612503052,5.007602274417766e-05,0.00010001592338085286
normal_gate,0.0075,4.919592294302944e-13,6.222985468536156e-15,-5.804555851273742e-16,6.220609964635582e-15,2.3755039005746853e-18,128,0,-1,6.000172193163297,3.6399429000798895e-10,4,1.5165993503600215e-10,-0.00014996156096458435,4.99698519706715e-05,9.999170899391285e-05,5.99973291624222,3.6401853480875573e-10,4,1.5168114143185455e-10,-0.0001500360667705536,5.002945661544689e-05,0.0001000066101551067
normal_gate,0.01,4.919757635134248e-13,6.810949577224466e-15,-5.640129815552737e-16,6.8100906858159505e-15,8.588914085158605e-19,128,0,-1,6.000036630116293,3.501442802299239e-10,4,1.4589255941889864e-10,-0.00014998391270637512,4.9986615777014576e-05,9.999729692936055e-05,5.999868479289223,3.5016733074945773e-10,4,1.4590625276128572e-10,-0.00015001371502876282,5.001269280910381e-05,0.00010000102221965901
normal_gate,0.0125,4.919936528492708e-13,7.367240159399623e-15,-5.461465155988388e-16,7.366936921604506e-15,3.032377951170395e-19,128,0,-1,5.999929848696851,3.3560503013664e-10,4,1.3983706418231347e-10,-0.00014999136328697205,4.99940663576115e-05,9.999729692936055e-05,5.999826249096726,3.356267789178783e-10,4,1.3984854101750319e-10,-0.00015000253915786743,5.0005242228506885e-05,9.999729692936055e-05
normal_gate,0.015,4.920128974378324e-13,7.890598947618479e-15,-5.269358083551112e-16,7.890498150697756e-15,1.0079692072326174e-19,128,0,-1,5.999955458885669,3.2043917172123635e-10,4,1.3351731271883029e-10,-0.0001499950885772705,4.999779164790996e-05,9.999729692936055e-05,5.999949650519846,3.204595657635385e-10,4,1.3352593956174838e-10,-0.00015000253915786743,5.0001516938208423e-05,0.00010000102221965901
normal_gate,0.0175,4.920333888588924e-13,8.381005613090301e-15,-5.064664101517638e-16,8.381099633747446e-15,-9.402065714522734e-20,128,0,-1,5.999957101797531,3.046687092407124e-10,4,1.2694620314428436e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05,5.999948007607985,3.046877099764063e-10,4,1.2695431259990074e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05
normal_gate,0.02,4.920550729023421e-13,8.847016882648252e-15,-4.848281064812054e-16,8.847089727481716e-15,-7.284483346386983e-20,128,0,-1,5.999952597875805,2.879775267401812e-10,4,1.1999158411773763e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05,5.99995251152971,2.87995049503518e-10,4,1.199988870537296e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05
normal_gate,0.0225,4.920780037782901e-13,9.368466458603997e-15,-4.619175593238711e-16,9.368482552229995e-15,-1.6093625997831706e-20,128,0,-1,5.999952554765668,2.6723882163308124e-10,4,1.1135038952133783e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05,5.999952554639847,2.6725482613241535e-10,4,1.1135705811779437e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05
normal_gate,0.025,4.921021272766279e-13,9.841294649321451e-15,-4.3777712032712357e-16,9.841303119650924e-15,-8.470329472543003e-21,128,0,-1,5.999952554702851,2.461918539278662e-10,4,1.025807502989742e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05,5.999952554702666,2.4620629902689726e-10,4,1.0258676913783456e-10,-0.00014999881386756897,4.999965429305919e-05,9.999915957450978e-05
