x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,contact_count,min_contact_dist_m,geometric_penetration_m,phase,time_from_release_s,analytic_vx_m_s,analytic_x_m
0.0,0.01999019,0.0,-0.009810000000000001,0.0,0.0,4,0.0,9.809999999998986e-06,normal_settle,-0.999,,
0.0,0.01998079621500208,0.0,-0.00939378499791883,10.226215002081172,0.0,4,-9.809999999998986e-06,1.920378499791972e-05,normal_settle,-0.998,,
0.0,0.019971800342343474,0.0,-0.008995872658605542,10.207912339313289,0.0,4,-1.920378499791972e-05,2.8199657656526045e-05,normal_settle,-0.997,,
0.0,0.019963184900604326,0.0,-0.008615441739149235,10.190430919456308,0.0,4,-2.8199657656526045e-05,3.681509939567479e-05,normal_settle,-0.996,,
0.0,0.01995493319235521,0.0,-0.008251708249117286,10.17373349003195,0.0,4,-3.681509939567479e-05,4.506680764479118e-05,normal_settle,-0.995,,
0.0,0.019947029268604182,0.0,-0.007903923751027548,10.157784498089738,0.0,4,-4.506680764479118e-05,5.2970731395818316e-05,normal_settle,-0.994,,
0.0,0.019939457894865596,0.0,-0.007571373738587776,10.142550012439772,0.0,4,-5.2970731395818316e-05,6.054210513440489e-05,normal_settle,-0.993,,
0.0,0.019932204518776454,0.0,-0.007253376089138221,10.127997649449556,0.0,4,-6.054210513440489e-05,6.779548122354609e-05,normal_settle,-0.992,,
0.0,0.01992525523918956,0.0,-0.0069492795868969556,10.114096502241265,0.0,4,-6.779548122354609e-05,7.474476081044054e-05,normal_settle,-0.991,,
0.0,0.019918596776675797,0.0,-0.006658462513763326,10.10081707313363,0.0,4,-7.474476081044054e-05,8.14032233242036e-05,normal_settle,-0.99,,
0.0,0.019912216445371212,0.0,-0.006380331304583811,10.088131209179515,0.0,4,-8.14032233242036e-05,8.778355462878834e-05,normal_settle,-0.989,,
0.0,0.019906102126107286,0.0,-0.006114319263926561,10.07601204065725,0.0,4,-8.778355462878834e-05,9.389787389271417e-05,normal_settle,-0.988,,
0.0,0.01990024224076574,0.0,-0.005859885341546282,10.06443392238028,0.0,4,-9.389787389271417e-05,9.97577592342612e-05,normal_settle,-0.987,,
0.0,0.019894625727801887,0.0,-0.005616512963850433,10.05337237769585,0.0,4,-9.97577592342612e-05,0.0001053742721981131,normal_settle,-0.986,,
0.0,0.019889242018883087,0.0,-0.005383708918801008,10.042804045049426,0.0,4,-0.0001053742721981131,0.00011075798111691293,normal_settle,-0.985,,
0.0,0.019884081016591285,0.0,-0.005161002291803835,10.032706626997173,0.0,4,-0.00011075798111691293,0.00011591898340871515,normal_settle,-0.984,,
0.0,0.019879133073141035,0.0,-0.004947943450249567,10.023058841554269,0.0,4,-0.00011591898340871515,0.0001208669268589653,normal_settle,-0.983,,
0.0,0.019874388970066558,0.0,-0.004744103074477699,10.013840375771869,0.0,4,-0.0001208669268589653,0.0001256110299334423,normal_settle,-0.982,,
0.0,0.01986983989883352,0.0,-0.00454907123303707,10.00503184144063,0.0,4,-0.0001256110299334423,0.00013016010116648213,normal_settle,-0.981,,
0.0,0.019865477442333305,0.0,-0.004362456500213894,9.996614732823176,0.0,4,-0.00013016010116648213,0.00013452255766669557,normal_settle,-0.98,,
0.0,0.019861293557219415,0.0,-0.004183885113891353,9.988571386322542,0.0,4,-0.00013452255766669557,0.00013870644278058536,normal_settle,-0.979,,
0.0,0.01985728055704752,0.0,-0.0040130001718935385,9.980884941997815,0.0,4,-0.00013870644278058536,0.00014271944295247974,normal_settle,-0.978,,
0.0,0.01985343109618247,0.0,-0.003849460865051275,9.973539306842264,0.0,4,-0.00014271944295247974,0.00014656890381753093,normal_settle,-0.977,,
0.0,0.01984973815443716,0.0,-0.0036929417453081268,9.966519119743149,0.0,4,-0.00014656890381753093,0.00015026184556284072,normal_settle,-0.976,,
0.0,0.0198461950224099,0.0,-0.003543132027262005,9.959809718046122,0.0,4,-0.00015026184556284072,0.0001538049775900996,normal_settle,-0.975,,
0.0,0.019842795287488287,0.0,-0.0033997349216113525,9.953397105650653,0.0,4,-0.0001538049775900996,0.0001572047125117139,normal_settle,-0.974,,
0.0,0.019839532820489243,0.0,-0.003262466999045047,9.947267922566306,0.0,4,-0.0001572047125117139,0.0001604671795107579,normal_settle,-0.973,,
0.0,0.01983640176290606,0.0,-0.003131057583182244,9.941409415862804,0.0,4,-0.0001604671795107579,0.00016359823709393914,normal_settle,-0.972,,
0.0,0.019833396514734827,0.0,-0.0030052481712320844,9.93580941195016,0.0,4,-0.00016359823709393914,0.00016660348526517307,normal_settle,-0.971,,
0.0,0.019830511722853723,0.0,-0.0028847918811043486,9.930456290127736,0.0,4,-0.00016660348526517307,0.00016948827714627704,normal_settle,-0.97,,
0.0,0.019827742269929963,0.0,-0.002769452923760234,9.925338957344115,0.0,4,-0.00016948827714627704,0.00017225773007003772,normal_settle,-0.969,,
0.0,0.019825083263830316,0.0,-0.0026590060996478687,9.920446824112366,0.0,4,-0.00017225773007003772,0.0001749167361696849,normal_settle,-0.968,,
