time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,1.058492992309289e-05,28.014852300286243,3.0981743575215326,0.2211808453824957,4,-5.77641277150695e-06,0.0,-9.617824922228137e-06,18.411416933447,2.544722395760552,0.27642874037985593,6,-6.554951815479493e-06,0.0,3.119822116929952e-06,9.05507261494013,1.0371158003415457,0.2290684668017768,4,-6.357999447842433e-06,0.0008104756907751144,0.0019430317943653582,0.003273437279244603,4
0.01,0.0,0.0,1.065544561051663e-05,28.93245927681112,1.9224262990709602,0.13289062507118105,4,-3.877274627549221e-06,0.0,2.5368882566031205e-06,19.188009981510334,1.8343078130189274,0.19119312683144069,6,-3.7738311254378876e-06,0.0,-3.9353997856744805e-06,9.540576917835867,1.3619817677449664,0.285513502899133,4,-3.2238573091161737e-06,0.00019857575819868294,0.0004981967883431235,0.0008306235124788578,2
0.015,0.0,0.0,8.736014302488932e-06,29.30283043396552,0.6250976047921397,0.04266465699965803,4,-3.421040647010043e-06,0.0,7.133496108545418e-06,19.508596142486155,0.5917151281930407,0.06066198960410005,6,-3.120265362983876e-06,0.0,-1.5397343158615993e-06,9.741061758272059,0.4261442189775639,0.08749440862864552,4,-2.4444589860131427e-06,4.743457323321513e-05,0.00010597687445066771,0.00018906564082033937,2
0.02,0.0,0.0,4.814289558591245e-06,29.402802917236762,0.08087596159443984,0.005501241621221631,4,-3.3127615483158346e-06,0.0,7.969148778140291e-06,19.596575696877693,0.07092249263881877,0.007238253635314336,6,-3.0391946116634094e-06,0.0,3.2939882831375913e-06,9.794953526369346,0.04108834289531728,0.008389696344082057,4,-2.2490821649165382e-06,1.115951502580307e-05,1.2037943077513475e-05,3.284619445708002e-05,2
0.025,0.0,0.0,1.005826501822645e-06,29.429227601953357,0.10643520586434035,0.007233299310735274,4,-3.2875002958995814e-06,0.0,5.794683680304596e-06,19.620101033775434,0.09881404547311286,0.010072735640148576,6,-3.045260890170709e-06,0.0,5.385939418545009e-06,9.809213236170374,0.0663375671934687,0.013525563283476469,4,-2.200544195848919e-06,2.595126382255709e-06,3.4941754630086596e-06,8.608131804144308e-06,2
0.03,0.0,0.0,-2.7201922826706997e-06,29.43226732417215,0.04732017413650385,0.003215530330389511,4,-3.281461749101572e-06,0.0,1.6292874758956605e-06,19.622458074470785,0.04594821061692487,0.004683226784589686,6,-3.009864744780988e-06,0.0,4.6341696391498496e-06,9.81102084140877,0.033004968623380294,0.0067281415781074,4,-2.188794432526897e-06,6.606291149524943e-07,1.1489092297940247e-05,1.269891111143649e-05,2
0.035,0.0,0.0,-6.11797732278969e-06,29.419464862069997,0.07723215163559594,0.005250411725549094,4,-3.281645865223226e-06,0.0,-3.062842541143954e-06,19.60505573995527,0.07327473565448729,0.007475085674472505,6,-2.952837689133847e-06,0.0,1.7785992602083613e-06,9.78535735175374,0.041506338323858166,0.008483356679134331,6,-1.9470994279333076e-06,1.4618311053902552e-06,1.3900663688697564e-05,0.00011656204810524526,3
0.04,0.0,0.0,-8.422362507090518e-06,29.412131838851305,0.006675190244796714,0.0004539072707391628,4,-3.2779328933175977e-06,0.0,-7.071875673456817e-06,19.60230616526587,0.006431353533477815,0.0006561833571270092,6,-2.9429565505112443e-06,0.0,-1.352905102734565e-06,9.796773332655448,0.006340509005331541,0.0012944076156578637,6,-1.697028027651537e-06,2.6277493761964825e-07,-6.1166533031194045e-06,2.0527373020816508e-05,2
0.045,0.0,0.0,-7.898035387889982e-06,29.427050863549447,0.04486562758865249,0.0030492778767869278,4,-3.278232890448901e-06,0.0,-9.535323908734023e-06,19.617066973872863,0.04370258108220624,0.004455567301718636,6,-3.0078138486475114e-06,0.0,-4.395749506435873e-06,9.80747825643626,0.03202334232910995,0.006530392725182806,6,-1.6377999714975444e-06,-1.4972286182010005e-07,-1.5094173215753029e-05,-9.225901060003228e-06,2
0.05,0.0,0.0,-4.7812645825019915e-06,29.432741513343892,0.031875392302059616,0.002165981873459413,4,-3.2789411690478665e-06,0.0,-1.0098976495154208e-05,19.62273010988625,0.031249421525722982,0.0031850228129040024,6,-3.073643349789379e-06,0.0,-5.928505480479293e-06,9.81116078082896,0.0229016138264767,0.004668482015140661,6,-1.624686254801666e-06,-1.2489064440531703e-07,-1.0858350519589846e-05,-9.460009472573551e-06,2
0.055,0.0,0.0,-3.669949823332667e-07,29.434391951183496,0.021443041205296543,0.0014570058889519111,4,-3.279360008413834e-06,0.0,-8.01920921429844e-06,19.624373673438015,0.021237286380348715,0.0021643785155899074,6,-3.0969743861422594e-06,0.0,-5.776776491350883e-06,9.812206702941202,0.01577179941229781,0.003214730363878336,6,-1.6199959137555564e-06,-5.150035146735885e-08,-4.0661928558162626e-07,4.848544403880143e-07,2
0.06,0.0,0.0,4.1670144850508914e-06,29.43227049914206,0.013696909894706722,0.0009307409630599843,4,-3.279371519001456e-06,0.0,-3.975118292839761e-06,19.622258721141264,0.013346393755112896,0.0013603320539987912,6,-3.073264979294721e-06,0.0,-3.999930970278682e-06,9.811294356904241,0.009778183659704192,0.0019932504935647457,6,-1.6130350233151125e-06,2.503484644526057e-08,7.271642861586643e-06,9.192766513291681e-06,2
0.065,0.0,0.0,7.4903438202289905e-06,29.430912494703406,0.004792685070991335,0.00032569055219432017,4,-3.2792120239835687e-06,0.0,9.501142878416376e-07,19.620923239270923,0.004397304343040319,0.00044822603803262363,6,-3.0325451439092155e-06,0.0,-1.2000627033374254e-06,9.811227348889696,0.003340992323613476,0.0006810549189835184,6,-1.5932716889224818e-06,2.1054499824069836e-08,7.978284097661644e-06,1.4185389697073256e-05,2
0.07,0.0,0.0,8.676289456891247e-06,29.30506699041479,0.04147207787820376,0.0028303690888520135,4,-3.275264180927634e-06,0.0,5.444756330148322e-06,19.49253628059453,0.029145658152886098,0.002990442878580308,6,-2.9958354951648003e-06,0.0,1.6626411481893328e-06,9.674166132347912,0.03115708204605176,0.006441295636193496,4,-1.7057300292014355e-06,3.313809354166731e-06,1.4378724643776083e-05,-0.0001351727462059306,2
0.075,0.0,0.0,7.223136503719916e-06,29.44257134922032,0.02072453711370982,0.0014077939639099244,4,-3.2794768035325494e-06,0.0,8.424361283226476e-06,19.632343486228187,0.01954466323444388,0.001991067775291746,6,-2.9800706150343026e-06,0.0,4.307531026610235e-06,9.822200339302197,0.014297585954350607,0.0029112796441629813,4,-2.0626613671456684e-06,-2.842385028371743e-07,2.7848196434867426e-06,-3.5959336891514684e-05,2
0.08,0.0,0.0,4.047643349509993e-06,29.432676954462174,0.006681028122043827,0.00045398711998780267,4,-3.279532572734306e-06,0.0,9.079639802070597e-06,19.622661741232694,0.0063542549093466615,0.0006476445441644237,6,-2.9676693406102683e-06,0.0,5.417478675431956e-06,9.812886332260621,0.0046482994880251505,0.0009473867994870188,4,-2.155040746867898e-06,6.12430928002348e-08,2.0789766753186293e-06,-7.919051121294018e-06,2
0.085,0.0,0.0,-4.897068247281264e-08,29.43036410515703,0.0051249236962668445,0.00034827456962170666,4,-3.2792369437685542e-06,0.0,7.366104270699659e-06,19.6203709484849,0.004576839477640246,0.00046653954603174036,6,-2.961017215405426e-06,0.0,4.887421027290942e-06,9.810586650425567,0.003049610772910674,0.0006216979435737183,4,-2.1788842254552576e-06,4.8021881987859537e-08,9.448665809756856e-07,-1.6368101463769872e-06,2
0.09,0.0,0.0,-3.981199969769764e-06,29.429792733917825,0.005631379237347503,0.0003826992115277347,4,-3.279085157240763e-06,0.0,3.8076264656546226e-06,19.61979679618056,0.005118514042375521,0.0005217703420222941,6,-2.9595185954620074e-06,0.0,3.078544233804203e-06,9.810001416192849,0.0033864960980317686,0.0006904170456982522,4,-2.185056409448327e-06,2.0859726831668843e-08,-7.583838316695246e-08,-7.477682168123604e-07,2
