time_s,z_m,vz_m_s,contact_count,normal_force_N,phi0_m_pre_step,geometric_penetration_m
0.0,0.020999999716877937,-0.5,16,0.0,0.0,0.0
0.0005,0.020749999210238457,-0.5,16,0.0,0.0,0.0
0.001,0.020499998703598976,-0.5,16,0.0,0.0,0.0
0.0015,0.020249998196959496,-0.5,16,0.0,0.0,0.0
0.002,0.019999997690320015,-0.5,16,9.709489241220792,0.0,2.3096799854627204e-09
0.0025,0.019752424210309982,-0.4951452612876892,16,12.066930299921353,-0.0002475753426551819,0.0002475757896900181
0.003,0.019507868215441704,-0.4891118109226227,16,14.371600113377697,-0.0004921332001686096,0.0004921317845582966
0.0035,0.019266905263066292,-0.4819260239601135,16,16.618255831594897,-0.0007330924272537231,0.0007330947369337086
0.004,0.019030096009373665,-0.47361689805984497,16,18.802000662446456,-0.0009699016809463501,0.0009699039906263356
0.0045000000000000005,0.018797988072037697,-0.4642159044742584,16,20.917985848450403,-0.0012020096182823181,0.0012020119279623036
0.005,0.01857111044228077,-0.4537568986415863,16,22.9616302777553,-0.0014288872480392456,0.001428889557719231
0.0055,0.018349971622228622,-0.44227609038352966,16,24.928619905409573,-0.0016500279307365417,0.001650028377771378
0.006,0.018135065212845802,-0.4298117756843567,16,26.81475498000027,-0.0018649324774742126,0.0018649347871541981
0.006500000000000001,0.017926862463355064,-0.4164043962955475,16,28.616246330685023,-0.002073138952255249,0.002073137536644936
0.007,0.017725814133882523,-0.4020962715148926,16,30.329341246652866,-0.0022741854190826416,0.002274185866117478
0.0075,0.0175323486328125,-0.3869315981864929,16,31.95072928028377,-0.002467650920152664,0.0024676513671875004
0.008,0.01734687015414238,-0.3709562420845032,16,33.477279957659846,-0.0026531293988227844,0.0026531298458576207
0.0085,0.017169760540127754,-0.3542175889015198,16,34.9061136673046,-0.0028302371501922607,0.002830239459872246
0.009000000000000001,0.017001377418637276,-0.33676454424858093,16,36.234675442575735,-0.0029986202716827393,0.0029986225813627247
0.0095,0.016842054203152657,-0.31864720582962036,16,37.46061792203877,-0.0031579434871673584,0.003157945796847344
0.01,0.01669209636747837,-0.2999168932437897,16,38.58191260178682,-0.0033079013228416443,0.0033079036325216297
0.0105,0.016551783308386803,-0.28062593936920166,16,39.5968457843259,-0.0034482181072235107,0.0034482166916131977
0.011,0.016421370208263397,-0.26082751154899597,16,40.503830650209416,-0.003578629344701767,0.003578629791736603
0.0115,0.01630108244717121,-0.24057559669017792,16,41.301738989439734,-0.0036989152431488037,0.003698917552828789
0.012,0.016191119328141212,-0.21992473304271698,16,41.98967464571432,-0.0038088783621788025,0.003808880671858788
0.0125,0.01609165407717228,-0.19892989099025726,16,42.5669712015031,-0.003908343613147736,0.003908345922827721
0.013000000000000001,0.016002830117940903,-0.17764639854431152,16,43.0333012048108,-0.0039971694350242615,0.003997169882059098
0.0135,0.015924764797091484,-0.15612974762916565,16,43.38856173383873,-0.004075236618518829,0.004075235202908516
0.014,0.015857547521591187,-0.13443545997142792,16,43.63290868389308,-0.004142452031373978,0.004142452478408814
0.0145,0.015801237896084785,-0.11261900514364243,16,43.766865849464686,-0.0041987597942352295,0.004198762103915215
0.015,0.015755869448184967,-0.09073556959629059,16,43.791209765477376,-0.004244130104780197,0.004244130551815033
0.0155,0.015721449628472328,-0.06883996725082397,16,43.70685729750705,-0.004278548061847687,0.004278550371527672
0.016,0.015697956085205078,-0.04698653891682625,16,43.51515881813631,-0.004302043467760086,0.004302043914794922
0.0165,0.015685342252254486,-0.02522895857691765,16,43.21756242443831,-0.004314657300710678,0.004314657747745514
0.017,0.015683531761169434,-0.003620177274569869,16,42.81587108670963,-0.004316467791795731,0.004316468238830567
0.0175,0.01569242589175701,0.017787758260965347,16,42.31209156156647,-0.004307575523853302,0.004307574108242989
0.018000000000000002,0.015711897984147072,0.038943804800510406,16,41.70839557466024,-0.004288099706172943,0.004288102015852929
0.0185,0.015741797164082527,0.05979800224304199,16,41.00733962155961,-0.004258200526237488,0.004258202835917473
0.019,0.01578194834291935,0.0803016722202301,16,40.21156598148268,-0.004218049347400665,0.004218051657080651
0.0195,0.01583215221762657,0.10040745884180069,16,39.32398638204515,-0.0041678473353385925,0.004167847782373429
