engine,preset,ke_N_m,tau_s,dt_s,accuracy_duration_s,timing_duration_s,accuracy_wall_s,timing_wall_s,simulated_seconds_per_wall_second,energy_mse_J2,first_rebound_height_m,final_energy_ratio,max_raw_collision_contacts
SAP Warp,approx32,10000.0,0.0,0.0005,20.0,4.0,483.97536283399677,95.60895462500048,0.04183708540365164,23649142.127113484,4.909714221954346,0.8340286106640608,49
SAP Warp,approx32,10000.0,0.0,0.001,20.0,4.0,244.54458395899564,48.6232856669958,0.08226511115259935,37674175.653341934,4.8229570388793945,0.6972600576957896,49
SAP Warp,approx32,10000.0,0.0,0.002,20.0,4.0,119.32398712499707,23.396400540994364,0.1709664695212983,84388061.19991079,4.652200222015381,0.4565361394824468,49
