time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
8.18,final_hold,6.7,0.34616098,0.18346888,0.19267365,0.0031805198057834843,0.24704962879462383,0.24705456534195772,0.006257467554690148,1,0.00016820711607579142,256,0,-1,14.99693038063581,2.5716128799355698,0.21434493715261077,2,14.31758370474201,5.407446676197264,0.47209839904814976,2
8.19,final_hold,6.7,0.34616148,0.18346816,0.19267283,0.003180953790280976,0.2470450924924731,0.2470477927295949,0.006257540799464282,1,0.0001681112335063517,256,0,-1,14.996975580567458,2.563024105392625,0.21362841557814655,2,14.317548469667944,5.402612429006238,0.47167750474634296,2
8.2,final_hold,6.7,0.346162,0.18346739,0.19267201,0.0031813329890942594,0.247039727418827,0.2470429550362395,0.006257593846543875,1,0.00016826242790557444,256,0,-1,14.997232158793855,2.5548469796647812,0.21294320783774656,2,14.318605322649026,5.397723137134696,0.47121586002135196,2
8.21,final_hold,6.7,0.34616256,0.18346658,0.19267121,0.0031816785825929486,0.24703503201454785,0.24704005237498505,0.006257637602263335,1,0.00016813122783787549,256,0,-1,14.996487872191928,2.547212919950474,0.2123174557319005,2,14.317385957949398,5.3932833845915695,0.4708683729376131,2
8.22,final_hold,6.7,0.3461631,0.18346581,0.1926704,0.0031821028172390937,0.24702914627900938,0.24703327936676356,0.00625767156674875,1,0.00016825362399686128,256,0,-1,14.997556918480313,2.5378935602701382,0.2115255816384743,2,14.318927467698092,5.388640299331545,0.4704123538134855,2
8.23,final_hold,6.7,0.34616363,0.18346503,0.1926696,0.003182511811557305,0.24702395869294044,0.24702747378409348,0.006257695392550195,1,0.00016818774747662246,256,0,-1,14.997412011761083,2.5297356693793085,0.21084768387001293,2,14.31887024761879,5.383975140025436,0.470006977411572,2
8.24,final_hold,6.7,0.3461642,0.18346424,0.19266881,0.003182853393075662,0.24701837943137359,0.24702263569483746,0.006257714517423426,1,0.00016825480270199478,256,0,-1,14.998241131859661,2.5218521169204,0.21017898821844305,2,14.319988533998774,5.379589393832797,0.4695874390070633,2
8.25,final_hold,6.7,0.34616476,0.1834634,0.192668,0.003183301339743046,0.24701198161553112,0.24701489455593056,0.006257723049785314,1,0.0001683065784163773,256,0,-1,14.998102352878291,2.513796700799932,0.20950956341465993,2,14.320134888380604,5.374889650546836,0.4691724006479188,2
8.26,final_hold,6.7,0.3461653,0.18346265,0.19266723,0.0031836651170590144,0.24700662593457595,0.24701005622154432,0.006257732193395943,1,0.00016818451695144176,256,0,-1,14.99774169325517,2.5059774803673283,0.2088629017972689,2,14.319919376741296,5.370412695196845,0.46878866370571,2
8.27,final_hold,6.7,0.34616587,0.18346184,0.19266646,0.003183962642087633,0.2470012483011995,0.2470052177928672,0.00625774179722374,1,0.00016822187171783298,256,0,-1,14.999049190424348,2.498112869214445,0.2081892689912374,2,14.32105620481586,5.366244054738872,0.46838759463620433,2
8.28,final_hold,6.7,0.34616643,0.18346106,0.19266568,0.003184347742499036,0.2469940726451923,0.24699844383430009,0.006257740383281423,1,0.00016821981989778578,256,0,-1,14.998330787297032,2.489891170512162,0.2075140232122528,2,14.320662554252205,5.36140393843685,0.4679779931729572,2
8.290000000000001,final_hold,6.7,0.346167,0.18346025,0.19266489,0.0031847413365300747,0.24698739029012223,0.2469926374369858,0.006257739277012453,1,0.00016826837963890284,256,0,-1,14.998498126692937,2.482196726235772,0.20687044006577798,2,14.321211803687198,5.3570081572861685,0.4675763677263445,2
8.3,final_hold,6.7,0.34616756,0.18345946,0.19266412,0.00318511455456419,0.24698129484479586,0.24698489536264226,0.006257738439828729,1,0.00016823102487251163,256,0,-1,14.99847030872515,2.4739344943465316,0.20618223420652393,2,14.321309260483517,5.352378809446073,0.46716912470206,2
8.31,final_hold,6.7,0.34616816,0.18345864,0.19266333,0.0031854863469210196,0.24697419460422979,0.2469771530468404,0.006257737777989377,1,0.00016825154307298362,256,0,-1,14.998836749843743,2.4665867604204066,0.20556483825704874,2,14.321649923021237,5.348285116232697,0.466800712992191,2
8.32,final_hold,6.7,0.34616873,0.18345787,0.19266255,0.003185842865837803,0.2469667043009033,0.2469703783224246,0.006257737253268751,1,0.00016821133613120764,256,0,-1,14.99851299367673,2.4581947127311654,0.2048698689136319,2,14.32175538927759,5.343452744920033,0.4663755070241397,2
8.33,final_hold,6.7,0.34616932,0.18345706,0.19266178,0.003186229370884536,0.2469599304355616,0.24696263555382708,0.006257736838932087,1,0.00016825109196361154,256,0,-1,14.998971042248373,2.4507722569437926,0.20424503204591302,2,14.322262805558427,5.339353706941607,0.4660012334843328,2
8.34,final_hold,6.7,0.34616992,0.18345629,0.192661,0.003186603397899894,0.24695304715947827,0.24695586043318019,0.0062577365158969205,1,0.00016825227066874504,256,0,-1,14.999412967754122,2.44288258238597,0.20358151579312653,2,14.322872743406943,5.334997927129489,0.4656012469273384,2
8.35,final_hold,6.7,0.34617049,0.18345553,0.19266023,0.0031869615959672338,0.2469458933105851,0.24695005303972145,0.006257736257513839,1,0.00016825310012791306,256,0,-1,14.998457021087912,2.4352233567568735,0.20295615686774782,2,14.322281577841299,5.330456171478134,0.46522407607572996,2
8.36,final_hold,6.7,0.34617108,0.18345474,0.19265945,0.0031873146232906137,0.24693848497027146,0.2469413416947594,0.006257736056154797,1,0.00016822257020976394,256,0,-1,14.999358639101656,2.4275605750898364,0.20230536464084675,2,14.32314916441375,5.326364274997697,0.464838791198865,2
8.370000000000001,final_hold,6.7,0.34617168,0.18345396,0.19265868,0.0031876603078710773,0.24692980203105522,0.24693359802033107,0.006257735892805902,1,0.0001682422443991527,256,0,-1,14.999320387428353,2.4202078874276385,0.20169312883136775,2,14.323359242277942,5.322194788811096,0.46446810231339547,2
8.38,final_hold,6.7,0.34617227,0.1834532,0.1926579,0.0031879864061851114,0.2469231170130641,0.2469239180875306,0.006257735767455982,1,0.0001682470174273476,256,0,-1,14.999232390350965,2.412351895668258,0.20103961263545464,2,14.323437190197202,5.317765761586916,0.4640790554471742,2
8.39,final_hold,6.7,0.34617287,0.18345244,0.19265713,0.0031883251936680713,0.2469140121425754,0.24691714190992572,0.006257735661105871,1,0.0001682337751844898,256,0,-1,14.99939085858678,2.40421340748544,0.20035925376505268,2,14.323888779722406,5.313251328845199,0.46367046429867703,2
8.4,final_hold,6.7,0.34617347,0.18345165,0.19265634,0.0031886870505948265,0.24690578994473264,0.2469084294097102,0.006257735577549832,1,0.0001683000155026093,256,0,-1,14.999886377212745,2.3969500519184113,0.19974735071658328,2,14.324556505110575,5.3092448564467745,0.46329923500184755,2
8.41,final_hold,6.7,0.34617406,0.18345088,0.19265556,0.0031890345461042255,0.24689711627517325,0.2468997166036149,0.006257735516784438,1,0.00016825302736833692,256,0,-1,15.00016632710805,2.3895171455060744,0.19912422080845354,2,14.324971669825022,5.305169484062411,0.4629301898758321,2
8.42,final_hold,6.7,0.34617466,0.1834501,0.19265477,0.003189389507220365,0.24688753622893475,0.24689003534916626,0.006257735471211846,1,0.00016823098121676594,256,0,-1,15.00010229119448,2.381933595798098,0.1984931127100018,2,14.324925124730115,5.300918338729101,0.46256073701720063,2
8.43,final_hold,6.7,0.34617525,0.1834493,0.19265398,0.00318976055549437,0.24688059414890975,0.24688132189721854,0.006257735429438066,1,0.0001682578440522775,256,0,-1,14.999906912634035,2.3745387281304486,0.19787945534935586,2,14.324894758373762,5.296748848523259,0.46219788503393633,2
8.44,final_hold,6.7,0.34617585,0.18344855,0.19265321,0.003190093774864626,0.24687139031120217,0.2468755127592662,0.006257735395260298,1,0.00016827914805617183,256,0,-1,15.0002786932057,2.3668962702749625,0.19723769126928253,2,14.325758313271663,5.292504246245499,0.46179965926676453,2
8.45,final_hold,6.7,0.34616217,0.1834762,0.19265202,0.0031860456449398222,0.2468381492014996,0.24684162341032845,0.006257728692164807,1,0.00017222907627001405,256,0,-1,14.615361405394601,1.1203042848632603,0.09581565020774567,3,14.054692919618823,4.671827478959657,0.41550422923491037,2
8.46,final_hold,6.7,0.34616214,0.18347716,0.19265127,0.0031858522795996666,0.24681038344738748,0.24681644546847656,0.006257739780810336,1,0.0001664366282057017,256,0,-1,14.963380993877703,1.173316632572802,0.09801566847199061,3,14.290961797213832,4.790895483804232,0.41904942716471555,2
8.47,final_hold,6.7,0.3461623,0.18347776,0.19265047,0.003185851786926701,0.2467821024286748,0.24678254804937022,0.006257746086024366,1,0.0001682233123574406,256,0,-1,15.008841956294532,1.1748988725142755,0.0978505600178514,3,14.334591170679026,4.8008871464450875,0.4186452799108388,2
8.48,final_hold,6.7,0.34616232,0.18347861,0.19264957,0.003185780999444591,0.24675299418419014,0.24675639544627664,0.0062577463569793495,1,0.00016830801905598491,256,0,-1,15.000283621031116,1.1712336064081421,0.09760095508844384,3,14.326434718174212,4.79695908203659,0.41854089803229877,2
8.49,final_hold,6.7,0.34616214,0.18347982,0.19264868,0.0031857091721317053,0.24672367778110027,0.24672830254127878,0.006257746426960456,1,0.00016825103375595063,256,0,-1,15.000313229182225,1.1689467302738294,0.09741019340847099,3,14.32649335030278,4.795716654137927,0.418430782124763,2
8.5,final_hold,6.7,0.34616178,0.18348138,0.1926478,0.003185574501799951,0.24669524125345238,0.24669826867487915,0.006257746424313485,1,0.00016822815814521164,256,0,-1,15.000386972556027,1.1664444134037835,0.09720119350402867,3,14.326487073294835,4.794427562242502,0.4183184909282047,2
8.51,final_hold,6.7,0.34616122,0.18348333,0.1926469,0.003185431497699695,0.24666588011655255,0.24666726215782442,0.006257746366397095,1,0.00016825545753818005,256,0,-1,15.000417267061056,1.1644146289045092,0.0970318531956283,3,14.326959120161344,4.793171776861166,0.41819514321396234,2
8.52,final_hold,6.7,0.34616047,0.18348569,0.19264601,0.003185177234911798,0.2466361082601279,0.24663915915184512,0.0062577463009238785,1,0.0001682478323346004,256,0,-1,15.000287645068944,1.1613280073083905,0.09677547814309369,3,14.327127699337062,4.79157923161417,0.41805127763290995,2
8.53,final_hold,6.7,0.34615952,0.18348841,0.19264512,0.0031848831867005364,0.24660550862298347,0.2466081452405601,0.006257746227893159,1,0.0001682570728007704,256,0,-1,15.000394436384477,1.1589824183993265,0.09657932857319869,3,14.327329673082987,4.79028981104142,0.4179328877349196,2
8.540000000000001,final_hold,6.7,0.3461584,0.18349151,0.19264422,0.0031845291562604613,0.24657674948418776,0.24657906617396058,0.006257746204681973,1,0.00016832568508107215,256,0,-1,15.001212264267917,1.1569654353619292,0.09640599497729917,3,14.328370001408636,4.789255694253903,0.41781232737770124,2
8.55,final_hold,6.7,0.34615725,0.18349455,0.19264333,0.003184209227994225,0.2465469520727465,0.2465499836950598,0.00625774614983574,1,0.00016824461636133492,256,0,-1,14.994810023185853,1.153582822758501,0.09616517489841182,3,14.323353093390532,4.785944140665062,0.41766967111855263,2
8.56,final_hold,6.7,0.34615642,0.18349704,0.19264244,0.0031839606887257873,0.24651713147200544,0.24651992821410063,0.006257746103032135,1,0.00016821491590235382,256,0,-1,14.992446192372427,1.1508577817273415,0.0959531359126082,3,14.321418607485832,4.783939638036713,0.4175511317307752,2
8.57,final_hold,6.7,0.3461559,0.18349889,0.19264154,0.0031838062593614025,0.24648712006090337,0.24648792966317323,0.006257746103949347,1,0.00016822815814521164,256,0,-1,14.993406963219856,1.1487223520777738,0.09576895655667943,3,14.322528420007464,4.782915956128639,0.41742943493197016,2
8.58,final_hold,6.7,0.34615567,0.1835002,0.19264065,0.0031837004678522607,0.24645802414805112,0.24646077613611383,0.006257746154262212,1,0.00016825785860419273,256,0,-1,14.99417387241838,1.1466730394902438,0.09559321584228261,3,14.323293238227787,4.781888295110991,0.4173174611084283,2
8.59,final_hold,6.7,0.34615564,0.1835011,0.19263977,0.0031836850913876022,0.2464278700721436,0.24643167976807157,0.0062577461851273785,1,0.00016822815814521164,256,0,-1,14.99504593366402,1.1437585850434016,0.09534470501984697,3,14.324039405740672,4.780659336671928,0.4171884760694645,2
8.6,final_hold,6.7,0.3461558,0.18350163,0.19263887,0.0031837311869788144,0.24639772252792808,0.24640257998160164,0.006257746234983305,1,0.00016826836508698761,256,0,-1,14.996144800207366,1.1418714996465855,0.09518042093982013,3,14.325263804457432,4.779737868721096,0.4170724125891697,2
8.61,final_hold,6.7,0.34615606,0.18350194,0.19263798,0.003183805955454167,0.24636839583315262,0.24637347677549284,0.006257746250168633,1,0.00016825145576149225,256,0,-1,14.996484667676008,1.1398002349105671,0.09500561799720768,3,14.325671431009425,4.778628011636151,0.41696370346840317,2
8.620000000000001,final_hold,6.7,0.34615645,0.18350206,0.19263709,0.003183894192359119,0.2463380911720922,0.24634048900640895,0.0062577462653541,1,0.00016830643289722502,256,0,-1,14.996975665035386,1.1374471371790962,0.09480637651421538,3,14.326405566825954,4.77739240150938,0.4168345279652569,2
8.63,final_hold,6.7,0.3461569,0.18350203,0.1926362,0.003184008748097989,0.2463075856113343,0.2463104080918865,0.006257746291929,1,0.00016823863552417606,256,0,-1,14.996744368920105,1.1352932564465328,0.09462830969494979,3,14.326229856688212,4.776139516514288,0.4167303230064872,2
8.64,final_hold,6.7,0.3461574,0.1835019,0.19263531,0.0031841411225132345,0.24627711521537518,0.2462793529909706,0.006257746257259251,1,0.00016826516366563737,256,0,-1,14.99674367686716,1.1331914450714258,0.09445312508236378,3,14.326466447242783,4.774885800785003,0.41661405294603876,2
8.65,final_hold,6.7,0.34615794,0.1835017,0.19263445,0.0031842685843267333,0.24624818437657342,0.2462521765812632,0.006257746226395237,1,0.00016826791397761554,256,0,-1,14.99764232397997,1.1309724016821332,0.09426251617177549,3,14.327485682487268,4.773861648747841,0.41649506362646505,2
8.66,final_hold,6.7,0.34615853,0.18350142,0.19263355,0.0031844134795168053,0.24621751116696727,0.24622208493222775,0.006257746220458212,1,0.0001682924194028601,256,0,-1,14.997682476743481,1.1283123492024199,0.09404055851229554,3,14.327526995681293,4.772449476849777,0.41637065823434877,2
