time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
5.0200000000000005,lift,5.0200000000000005,0.3595146,-0.14336026,0.11978318,0.03803293,0.0039391685,0.10915353,0.99328923,0.00014556644643016713,0.013610959003442086,0.013689329231040928,0.025795577787347774,1,0.0002987203770317137,256,0,-1,0.0014177433,0.030953282,-0.34966344,-2.5367563,-0.16607907,2.2087655,0.7855582,0.018968,0.029443983,14.870335128484577,2.299763133123077,0.19331803160893554,1,12.250994639935453,9.112411782213675,0.9297624448088981,2
5.03,lift,5.03,0.35961673,-0.14336367,0.12119466,0.038461007,0.004217635,0.10869948,0.9933215,0.0001553820702711481,0.014480299282457464,0.014501245050722861,0.025793003575209805,1,0.00029869566787965596,256,0,-1,0.0014030824,0.02758177,-0.34981316,-2.5358515,-0.1660462,2.2045472,0.78555775,0.018968116,0.029440539,14.871848982862284,2.3009949016066065,0.19340188501932237,1,12.252186160214396,9.112804898184528,0.9297121324943476,2
5.04,lift,5.04,0.3597133,-0.14336641,0.12260754,0.038890086,0.0044949627,0.10824639,0.993353,0.0001650971499188887,0.01534693957337648,0.01537895951759466,0.025789841407606394,1,0.0002986827166751027,256,0,-1,0.001388325,0.024210632,-0.34996274,-2.5349457,-0.16601333,2.2003279,0.78555727,0.018968266,0.029437138,14.87226818074501,2.30206011980599,0.19348596426488984,1,12.252655513080512,9.112633475330954,0.9296590304039215,2
5.05,lift,5.05,0.3598042,-0.14336853,0.12402179,0.03932026,0.0047711376,0.10779448,0.9933839,0.0001748281031313784,0.016227260981628452,0.016253283960589688,0.025786453874578393,1,0.0002987422049045563,256,0,-1,0.0013734904,0.02083977,-0.35011226,-2.5340395,-0.16598044,2.196108,0.7855568,0.018968409,0.02943369,14.873584054333477,2.3035486492736905,0.19359394488063408,1,12.25311282220716,9.113072889288542,0.9296691605552969,2
5.0600000000000005,lift,5.0600000000000005,0.35988948,-0.14336988,0.12543738,0.039751627,0.0050462265,0.107343815,0.99341416,0.0001846423926294391,0.01709992962510977,0.01713865475862735,0.025782716086904727,1,0.00029868417186662555,256,0,-1,0.0013585903,0.0174691,-0.3502617,-2.5331326,-0.16594756,2.1918879,0.7855563,0.01896858,0.029430298,14.873722205433372,2.3043781995621315,0.19366186282546188,1,12.253976298729116,9.11267289804426,0.9295628492228021,2
5.07,lift,5.07,0.35996905,-0.14337063,0.12685427,0.040184114,0.005320164,0.10689431,0.9934438,0.00019436837909388624,0.01796636585221552,0.018046661431204532,0.0257787153148144,1,0.0002985851897392422,256,0,-1,0.0013436418,0.014098566,-0.35041106,-2.5322254,-0.16591468,2.1876671,0.78555584,0.01896872,0.029426819,14.87339551114753,2.3054264302188585,0.19375421272255497,1,12.253594198392939,9.112132890731807,0.9295367488918949,2
5.08,lift,5.08,0.36004293,-0.14337066,0.12827246,0.040617663,0.0055929855,0.10644572,0.9934728,0.00020418908000814938,0.018825693843075603,0.01884797899030576,0.02577457482002886,1,0.00029873932362534106,256,0,-1,0.0013286497,0.010728125,-0.3505604,-2.531318,-0.16588181,2.1834462,0.78555536,0.018968912,0.029423388,14.87624431289267,2.3070853180189084,0.19385649945425457,1,12.255470136317136,9.113315777556332,0.9295151140867365,2
5.09,lift,5.09,0.3601111,-0.14336981,0.1296919,0.04105268,0.005864679,0.105999045,0.9935011,0.0002137174359222791,0.019684958738924566,0.01974983455777164,0.025770043999636057,1,0.0002986373729072511,256,0,-1,0.0013136253,0.0073577366,-0.3507097,-2.53041,-0.16584893,2.1792247,0.7855549,0.018969081,0.029419953,14.874562330894431,2.307867036628855,0.1939441128828561,1,12.254656090773324,9.11213975242115,0.9294569024341888,2
5.1000000000000005,lift,5.1000000000000005,0.3601735,-0.14336841,0.13111256,0.041488677,0.0061352537,0.10555308,0.99352884,0.00022345309552083495,0.020554142914181804,0.020577539498974055,0.025765539915423824,1,0.00029873530729673803,256,0,-1,0.0012985751,0.0039873696,-0.35085902,-2.5295022,-0.16581605,2.1750033,0.7855544,0.01896925,0.029416462,14.877084449836458,2.3095875213959314,0.19405579174329754,1,12.25571226282851,9.113155921011082,0.9294804460948405,2
5.11,lift,5.11,0.36023018,-0.14336622,0.13253443,0.04192595,0.0064047677,0.10510848,0.993556,0.00023308357444095886,0.02140429470083651,0.02141779003636576,0.02576068316598016,1,0.0002986645558848977,256,0,-1,0.0012835043,0.0006170145,-0.35100827,-2.528594,-0.16578318,2.1707814,0.78555393,0.018969432,0.02941298,14.876938081500624,2.3104670849742237,0.19413160425861373,1,12.256147258046056,9.112627516996046,0.9293935652386278,2
