sweep_group,engine,version,dt_ms,solref_timeconst_ms,dampratio,solimp_d0,solimp_dwidth_dmax,integrator,solver,iterations_budget,solver_iterations_mean,solver_iterations_max,max_penetration_mm,final_com_height_m,expected_com_height_m,final_com_height_error_mm,orientation_tilt_max_deg,tail_com_jitter_pp_mm,tail_tilt_jitter_pp_deg,settling_time_s,max_contacts,finite,order_preserved,escaped,failure,stepping_wall_s
primary_dt_x_solref,mujoco,3.12.0,0.1,0.2,1.0,0.95,0.99,implicitfast,Newton,100,0.9695015249237539,6,0.09651098407086835,0.006003886508453705,0.006,0.0038865084537051744,0.017391759134891136,0.0019473507932065218,0.002564869389131396,1.6348,13,True,True,False,False,0.8336812920169905
primary_dt_x_solref,mujoco,3.12.0,0.1,0.5,1.0,0.95,0.99,implicitfast,Newton,100,1.0520473976301186,8,0.23454454974137404,0.0059998065435524104,0.006,0.0001934564475896891,0.0026418220690759254,0.000754451352220735,0.0007690048125787958,1.8967,13,True,True,False,False,0.8189921669836622
primary_dt_x_solref,mujoco,3.12.0,0.1,1.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1977901104944753,6,0.47842110520880354,0.005999191907356459,0.006,0.0008080926435409877,0.0011550159634237983,1.9668871299900748e-05,2.7950292238506033e-06,0.1872,13,True,True,False,False,0.8384265409840737
primary_dt_x_solref,mujoco,3.12.0,0.1,2.0,1.0,0.95,0.99,implicitfast,Newton,100,1.071046447677616,5,0.952786490086496,0.005996535178466319,0.006,0.0034648215336812588,0.0038831633106740874,6.007964357783446e-06,4.7301940526560694e-06,0.20800000000000002,13,True,True,False,False,0.8407162500079721
primary_dt_x_solref,mujoco,3.12.0,0.1,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9778011099445028,5,2.019552669801287,0.005985854088304904,0.006,0.014145911695096283,0.002214017961771426,2.729716259454451e-06,8.794160756926104e-06,0.2051,13,True,True,False,False,1.0007639170216862
primary_dt_x_solref,mujoco,3.12.0,0.1,8.0,1.0,0.95,0.99,implicitfast,Newton,100,1.007949602519874,6,4.013099364447031,0.005943137222592171,0.006,0.05686277740782949,0.10295157370558292,1.375464655367642e-06,1.733438605086306e-05,0.2908,18,True,False,False,True,0.8573752079973929
primary_dt_x_solref,mujoco,3.12.0,0.1,16.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9906504674766262,12,5.53211291904948,0.005773538558287388,0.006,0.2264614417126125,0.047089228922757166,4.565880657066146e-06,3.267553651764509e-05,0.2928,25,True,False,False,True,0.8547644169884734
primary_dt_x_solref,mujoco,3.12.0,0.25,0.5,1.0,0.95,0.99,implicitfast,Newton,100,1.0391201099862517,7,0.21090085586678112,0.005999842771130029,0.006,0.00015722886997134727,0.02079114759045456,0.001093456898420761,0.0007221241329855301,2.0,13,True,True,False,False,0.3893708339892328
primary_dt_x_solref,mujoco,3.12.0,0.25,1.0,1.0,0.95,0.99,implicitfast,Newton,100,1.1771028621422321,6,0.36790575282347726,0.005999199774667813,0.006,0.0008002253321873903,0.004829122390742279,6.291601610790981e-05,9.837804770890904e-06,0.17825,13,True,True,False,False,0.34604829200543463
primary_dt_x_solref,mujoco,3.12.0,0.25,2.0,1.0,0.95,0.99,implicitfast,Newton,100,1.2557180352455943,6,0.8373268467281384,0.0059965378213273175,0.006,0.003462178672682635,0.0021706660607574823,2.764073821995977e-05,1.7262862111922e-05,0.18975,13,True,True,False,False,0.34404120800900273
primary_dt_x_solref,mujoco,3.12.0,0.25,4.0,1.0,0.95,0.99,implicitfast,Newton,100,0.9805024371953506,5,1.9076511130526947,0.005985855784423959,0.006,0.014144215576041182,0.0020923633697345284,5.905869189526403e-06,1.870840186879232e-05,0.20175,13,True,True,False,False,0.3369051670015324
