time_s,z_m,vz_m_s,contact_count,normal_force_N,contact_dist_m,geometric_penetration_m
0.0,0.021,-0.5,0,0.0,nan,0.0
0.0005,0.02075,-0.5,0,0.0,nan,0.0
0.001,0.0205,-0.5,0,0.0,nan,0.0
0.0015,0.02025,-0.5,0,0.0,nan,0.0
0.002,0.02,-0.5,0,0.0,nan,0.0
0.0025,0.01975,-0.5,1,0.0,0.0,0.0
0.003,0.019500650481177186,-0.49869903764563045,1,2.601924708739123,-0.0002500000000000002,0.0002500000000000002
0.0035,0.01925201225102851,-0.49727646029735584,1,2.8451546965491747,-0.0004993495188228142,0.0004993495188228142
0.004,0.019004145796214098,-0.49573290962882244,1,3.0871013370668527,-0.000747987748971491,0.000747987748971491
0.0045000000000000005,0.01875711126819018,-0.4940690560478383,1,3.327707161968235,-0.0009958542037859022,0.0009958542037859022
0.005,0.018510968468959582,-0.4922855984611911,1,3.5669151732944724,-0.001242888731809822,0.001242888731809822
0.0055,0.018265776836943137,-0.49038326403289356,1,3.804668856595021,-0.0014890315310404183,0.0014890315310404183
0.006,0.018021595432975168,-0.488362807935934,1,4.04091219391907,-0.0017342231630568632,0.0017342231630568632
0.006500000000000001,0.017778482926426364,-0.48622501309760785,1,4.275589676652316,-0.001978404567024833,0.001978404567024833
0.007,0.01753649758145711,-0.4839706899385098,1,4.508646318196171,-0.002221517073573636,0.002221517073573636
0.0075,0.017295697243404476,-0.4816006761052664,1,4.740027666486694,-0.0024635024185428907,0.0024635024185428907
0.008,0.01705613932530593,-0.4791158361970912,1,4.9696798163504114,-0.0027043027565955245,0.0027043027565955245
0.0085,0.016817880794562808,-0.476517061486244,1,5.197549421694361,-0.002943860674694071,0.002943860674694071
0.009000000000000001,0.016580978159746566,-0.47380526963248015,1,5.423583707527706,-0.003182119205437192,0.003182119205437192
0.0095,0.01634548745755078,-0.470981404391574,1,5.647730481812299,-0.003419021840253434,0.003419021840253434
0.01,0.01611146423989178,-0.46804643531800416,1,5.86993814713961,-0.0036545125424492196,0.0036545125424492196
0.0105,0.015878963561160836,-0.46500135746188836,1,6.090155712231583,-0.0038885357601082214,0.0038885357601082214
0.011,0.015648039965630706,-0.46184719106025696,1,6.308332803262861,-0.0041210364388391645,0.0041210364388391645
0.0115,0.01541874747501933,-0.4585849812227559,1,6.524419675002046,-0.004351960034369294,0.004351960034369294
0.012,0.015191139576213392,-0.45521579761187114,1,6.738367221769603,-0.004581252524980671,0.004581252524980671
0.0125,0.01496526920915451,-0.4517407341177661,1,6.950126988210102,-0.004808860423786608,0.004808860423786608
0.013000000000000001,0.014741188754890597,-0.44816090852782786,1,7.159651179876538,-0.005034730790845491,0.005034730790845491
0.0135,0.01451895002379509,-0.4444774621910156,1,7.366892673624546,-0.005258811245109404,0.005258811245109404
0.014,0.014298604243956535,-0.44069155967710844,1,7.571805027814326,-0.00548104997620491,0.00548104997620491
0.0145,0.014080202049741058,-0.4368043884309493,1,7.774342492318209,-0.005701395756043465,0.005701395756043465
0.015,0.01386379347053017,-0.4328171584217834,1,7.974460018331801,-0.00591979795025894,0.00591979795025894
0.0155,0.013649427919636272,-0.42873110178779006,1,8.172113267986724,-0.006136206529469831,0.006136206529469831
0.016,0.01343715418339832,-0.42454747247590857,1,8.367258623763028,-0.006350572080363727,0.006350572080363727
0.0165,0.01322702041045979,-0.4202675458770589,1,8.559853197699343,-0.00656284581660168,0.00656284581660168
0.017,0.013019074101231359,-0.4158926184568594,1,8.749854840399024,-0.00677297958954021,0.00677297958954021
0.0175,0.012813362097540387,-0.4114240073819442,1,8.937222149830438,-0.00698092589876864,0.00698092589876864
0.018000000000000002,0.012609930572469397,-0.4068630501419843,1,9.121914479919734,-0.0071866379024596114,0.0071866379024596114
0.0185,0.012408825020385636,-0.4022111041675171,1,9.303891948934398,-0.007390069427530604,0.007390069427530604
0.019,0.012210090247163793,-0.3974695464436891,1,9.483115447656019,-0.007591174979614363,0.007591174979614363
0.0195,0.012013770360603783,-0.39263977312001874,1,9.659546647340695,-0.007789909752836208,0.007789909752836208
0.02,0.01181990876104564,-0.38772319911628594,1,9.833148007465603,-0.007986229639396217,0.007986229639396217
0.0205,0.011628548132183312,-0.3827212577246558,1,10.0038827832603,-0.00818009123895436,0.00818009123895436
0.021,0.011439730432079239,-0.3776354002081451,1,10.17171503302135,-0.008371451867816689,0.008371451867816689
0.021500000000000002,0.011253496884381469,-0.3724670953955406,1,10.336609625209006,-0.008560269567920761,0.008560269567920761
0.022,0.011069887969745028,-0.36721782927287827,1,10.498532245324656,-0.008746503115618531,0.008746503115618531
0.0225,0.010888943417459232,-0.36188910457159434,1,10.65744940256782,-0.008930112030254971,0.008930112030254971
0.023,0.010710702197282502,-0.35648244035345855,1,10.813328436271583,-0.009111056582540768,0.009111056582540768
0.0235,0.010535202511486302,-0.3509993715924009,1,10.966137522115334,-0.009289297802717499,0.009289297802717499
0.024,0.010362481787109627,-0.345441448753344,1,11.115845678113839,-0.009464797488513699,0.009464797488513699
0.0245,0.010192576668425553,-0.3398102373681532,1,11.262422770381626,-0.009637518212890371,0.009637518212890371
0.025,0.010025523009621142,-0.3341073176088173,1,11.405839518671778,-0.009807423331574448,0.009807423331574448
0.025500000000000002,0.009861355867692156,-0.32833428385797314,1,11.546067501688306,-0.009974476990378857,0.009974476990378857
0.026000000000000002,0.009700109495553715,-0.3224927442768875,1,11.683079162171301,-0.010138644132307842,0.010138644132307842
0.0265,0.00954181733536821,-0.3165843203710105,1,11.81684781175408,-0.010299890504446286,0.010299890504446286
0.027,0.009386512012091602,-0.31061064655321463,1,11.94734763559171,-0.01045818266463179,0.01045818266463179
0.0275,0.009234225327239186,-0.3045733697048345,1,12.07455369676027,-0.010613487987908397,0.010613487987908397
0.028,0.009084988252871875,-0.29847414873462136,1,12.198441940426283,-0.010765774672760815,0.010765774672760815
0.0285,0.008938830925804008,-0.2923146541357285,1,12.318989197785784,-0.010915011747128125,0.010915011747128125
0.029,0.008795782642033588,-0.2860965675408422,1,12.436173189772688,-0.01106116907419599,0.01106116907419599
0.029500000000000002,0.0086558718513958,-0.2798215812755742,1,12.549972530535923,-0.011204217357966412,0.011204217357966412
0.03,0.008519126152440683,-0.27349139791023164,1,12.660366730685148,-0.0113441281486042,0.0113441281486042
0.0305,0.008385572287535642,-0.2671077298100793,1,12.767336200304667,-0.011480873847559317,0.011480873847559317
0.031,0.008255236138193536,-0.2606722986842116,1,12.87086225173543,-0.011614427712464357,0.011614427712464357
0.0315,0.008128142720626962,-0.25418683513314916,1,12.970927102124902,-0.011744763861806463,0.011744763861806463
0.032,0.008004316181529324,-0.2476530781952768,1,13.067513875744737,-0.011871857279373038,0.011871857279373038
0.0325,0.007883779794083202,-0.2410727748922387,1,13.16060660607622,-0.011995683818470677,0.011995683818470677
0.033,0.0077665559541965,-0.23444767977340694,1,13.250190237663514,-0.012116220205916796,0.012116220205916796
0.0335,0.007652666176966731,-0.22777955445953957,1,13.336250627734762,-0.0122334440458035,0.0122334440458035
0.034,0.007542131093373859,-0.22107016718574396,1,13.418774547591225,-0.012347333823033269,0.012347333823033269
0.0345,0.007434970447201928,-0.21432129234386166,1,13.497749683764615,-0.012457868906626141,0.012457868906626141
0.035,0.007331203092189734,-0.2075347100243902,1,13.573164638942925,-0.012565029552798071,0.012565029552798071
0.035500000000000004,0.007230846989410704,-0.2007122055580577,1,13.645008932665005,-0.012668796907810266,0.012668796907810266
0.036000000000000004,0.0071339192048821215,-0.19385556905716553,1,13.713273001784335,-0.012769153010589295,0.012769153010589295
0.0365,0.007040435907403715,-0.18696659495681436,1,13.777948200702335,-0.012866080795117878,0.012866080795117878
0.037,0.00695041236662565,-0.18004708155612847,1,13.839026801371782,-0.012959564092596285,0.012959564092596285
0.0375,0.006863862951345854,-0.17309883055959308,1,13.8965019930708,-0.01304958763337435,0.01304958763337435
0.038,0.0067808011280365435,-0.16612364661861906,1,13.950367881948049,-0.013136137048654146,0.013136137048654146
0.0385,0.006701239459599819,-0.15912333687344915,1,14.000619490339803,-0.013219198871963456,0.013219198871963456
0.039,0.006625189604352059,-0.15209971049551937,1,14.047252755859546,-0.013298760540400181,0.013298760540400181
0.0395,0.006552662315236864,-0.14505457823038892,1,14.090264530260892,-0.01337481039564794,0.01337481039564794
0.04,0.006483667439266189,-0.13798975194135157,1,14.1296525780747,-0.013447337684763135,0.013447337684763135
0.0405,0.006418213917189269,-0.13090704415384102,1,14.1654155750211,-0.01351633256073381,0.01351633256073381
0.041,0.006356309783388897,-0.12380826760074223,1,14.197553106197569,-0.01358178608281073,0.01358178608281073
0.0415,0.006297962166004536,-0.11669523476872032,1,14.226065664043839,-0.013643690216611102,0.013643690216611102
0.042,0.006243177287281697,-0.10956975744567791,1,14.250954646084793,-0.013702037833995463,0.013702037833995463
0.0425,0.0061919604641469716,-0.10243364626945173,1,14.272222352452385,-0.013756822712718303,0.013756822712718303
0.043000000000000003,0.006144316109008043,-0.09528871027785785,1,14.289871983187757,-0.013808039535853028,0.013808039535853028
0.043500000000000004,0.006100247730777946,-0.08813675646019549,1,14.303907635324705,-0.013855683890991956,0.013855683890991956
0.044,0.006059757936122787,-0.08097958931031761,1,14.31433429975576,-0.013899752269222054,0.013899752269222054
0.0445,0.006022848430932099,-0.07381901038137652,1,14.321157857882172,-0.013940242063877213,0.013940242063877213
0.045,0.005989520022010923,-0.06665681784235195,1,14.324385078049154,-0.0139771515690679,0.0139771515690679
0.0455,0.00595977261899269,-0.05949480603646806,1,14.324023611767771,-0.014010479977989076,0.014010479977989076
0.046,0.005933605236471888,-0.0523347650416056,1,14.320081989724928,-0.01404022738100731,0.01404022738100731
0.0465,0.00591101599635548,-0.045178480232814136,1,14.312569617582925,-0.014066394763528112,0.014066394763528112
0.047,0.005892002130431965,-0.03802773184702904,1,14.30149677157019,-0.01408898400364452,0.01408898400364452
0.0475,0.005876559983156916,-0.03088429455009669,1,14.286874593864695,-0.014107997869568034,0.014107997869568034
0.048,0.00586468501465381,-0.0237499370062108,1,14.268715087771776,-0.014123440016843083,0.014123440016843083
