time_s,z_m,vz_m_s,contact_count,normal_force_N,contact_dist_m,geometric_penetration_m
0.0,0.021,-2.0,0,0.0,nan,0.0
0.0001,0.020800000000000003,-2.0,0,0.0,nan,0.0
0.0002,0.0206,-2.0,0,0.0,nan,0.0
0.00030000000000000003,0.0204,-2.0,0,0.0,nan,0.0
0.0004,0.020200000000000003,-2.0,0,0.0,nan,0.0
0.0005,0.02,-2.0,0,0.0,nan,0.0
0.0006000000000000001,0.0198,-2.0,1,0.0,0.0,0.0
0.0007,0.01960031765625,-1.9968234375,1,31.765624999999986,-0.0001999999999999988,0.0001999999999999988
0.0008,0.019400972464222534,-1.9934519202746581,1,33.71517225341796,-0.0003996823437499991,0.0003996823437499991
0.0009000000000000001,0.01920198385666022,-1.9898860756231593,1,35.658446514987354,-0.000599027535777466,0.000599027535777466
0.001,0.019003371201725835,-1.9861265493438336,1,37.59526279325811,-0.0007980161433397796,0.0007980161433397796
0.0011,0.01880515380116163,-1.9821740056420438,1,39.52543701789792,-0.000996628798274165,0.000996628798274165
0.0012000000000000001,0.018607350888457996,-1.978029127036371,1,41.448786056728174,-0.0011948461988383688,0.0011948461988383688
0.0013000000000000002,0.018409981627031682,-1.9736926142631068,1,43.365127732641035,-0.001392649111542004,0.001392649111542004
0.0014,0.01821306510841378,-1.9691651861790673,1,45.274280840395825,-0.001590018372968318,0.001590018372968318
0.0015,0.018016620350447505,-1.964447579662738,1,47.17606516329286,-0.001786934891586222,0.001786934891586222
0.0016,0.017820666295496126,-1.9595405495137657,1,49.07030148972431,-0.0019833796495524955,0.0019833796495524955
0.0017000000000000001,0.017625221808661048,-1.9544448683508058,1,50.95681162959909,-0.002179333704503874,0.002179333704503874
0.0018000000000000002,0.017430305676010272,-1.9491613265077417,1,52.83541843064175,-0.0023747781913389526,0.0023747781913389526
0.0019,0.017235936602817442,-1.9436907319282852,1,54.705945794563284,-0.0025696943239897282,0.0025696943239897282
0.002,0.01704213321181155,-1.938033910058975,1,56.568218693102025,-0.0027640633971825583,0.0027640633971825583
0.0021000000000000003,0.01684891404143749,-1.9321917037405816,1,58.4220631839341,-0.002957866788188452,0.002957866788188452
0.0022,0.016656297544127695,-1.9261649730979364,1,60.267306426451746,-0.003151085958562512,0.003151085958562512
0.0023,0.016464302084584874,-1.9199545954281958,1,62.10377669740719,-0.0033437024558723057,0.0033437024558723057
0.0024000000000000002,0.01627294593807612,-1.9135614650875536,1,63.93130340642245,-0.0035356979154151265,0.0035356979154151265
0.0025,0.01608224728873848,-1.9069864933764173,1,65.74971711136216,-0.0037270540619238797,0.0037270540619238797
0.0026000000000000003,0.01589222422789617,-1.9002306084230605,1,67.55884953356893,-0.003917752711261522,0.003917752711261522
0.0027,0.015702894752389597,-1.8932947550657644,1,69.35853357295963,-0.00410777577210383,0.00410777577210383
0.0028,0.015514276762916248,-1.8861798947334663,1,71.14860332298123,-0.004297105247610403,0.004297105247610403
0.0029000000000000002,0.015326388062383758,-1.8788870053249238,1,72.92889408542543,-0.004485723237083751,0.004485723237083751
