time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_phi_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_phi_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_phi_min_m,solver_iterations,line_search_iterations,truncated_contacts
0.0005,0.0,0.0,-8.559641173633281e-06,0.8750646738608129,0.0003766175868105732,0.0008607765758590724,0.0008631405925870769,4,0.0,0.0,1.8876271496992558e-05,3.5659880734022993,0.024586937583433676,0.013789691427641455,0.013828787726199823,4,-0.00010000169277191162,0.0,-1.1940465697080072e-05,0.05577384094350372,0.004592900063807162,0.1646972841070621,0.1646972841070621,1,0.0,-1,-1,0
0.001,0.0,0.0,-8.16087322164094e-06,1.5764350151924154,0.0011278867979913102,0.0014309334506296073,0.0014458919751134105,4,-3.1348317861557007e-06,0.0,1.8479878235666547e-05,0.0,0.0,nan,nan,0,nan,0.0,-1.1945215192099568e-05,3.751140524584736,5.836038513171883e-06,3.1116075097282328e-06,0.0001234147667368887,4,-0.00010092556476593018,-1,-1,0
0.0015,0.0,0.0,-7.735181497992016e-06,2.3088641786977964,0.0012040390072196544,0.0010429708410987905,0.0010571018637510463,4,-8.326023817062378e-06,0.0,1.8054186512017623e-05,0.0,0.0,nan,nan,0,nan,0.0,-1.1945215192099568e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.002,0.0,0.0,-7.283891136466991e-06,3.0634964809673435,0.0012764421271090054,0.0008333237103676713,0.000846140671337029,4,-1.539289951324463e-05,0.0,1.7602896150492597e-05,0.0,0.0,nan,nan,0,nan,0.0,-1.1945215192099568e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0025,0.0,0.0,-6.808077614550712e-06,3.8317769237534653,0.001345803641916854,0.0007024436279544975,0.0007159386628488207,4,-2.4145469069480896e-05,0.0,1.7127082628576318e-05,0.0,0.0,nan,nan,0,nan,0.0,-1.1945215192099568e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.003,0.0,0.0,-3.864187419821974e-06,4.892512205686307,0.006478921464374687,0.0026485049773997825,0.0026563120974605237,4,-3.439374268054962e-05,0.0,1.3529818716051523e-05,4.383974556382393,0.001850560054336315,0.0008442385011756896,0.0009378892236435029,4,-0.00010194629430770874,0.0,-1.129184147430351e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0035,0.0,0.0,-1.8293524135515327e-06,5.962034812153865,0.005662088056754308,0.0018993810788262748,0.0019028151629226278,4,-4.696287214756012e-05,0.0,1.1462252814453677e-05,4.2506992429953545,8.904676911847739e-05,4.1897468641290415e-05,0.0001290036074450409,4,-0.00010308623313903809,0.0,-1.1259110578976106e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.004,0.0,0.0,6.856822665213258e-09,7.0324721513347,0.00507235316104242,0.0014425519367551943,0.0014429062093592353,4,-6.155483424663544e-05,0.0,9.583089052966898e-06,4.1772331980737425,0.00012308348522554148,5.893062675184103e-05,0.00012211168775105047,4,-0.00010357797145843506,0.0,-1.1216156053706072e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0045000000000000005,0.0,0.0,3.2283098789775977e-06,8.114609068231527,0.004618986403839949,0.00113843719765211,0.0011421764861853647,4,-7.7882781624794e-05,0.0,7.599148148074164e-06,4.433453840199361,0.0044952699577175325,0.0020278862123059307,0.0020416089379025272,4,-0.000103730708360672,0.0,-1.5279782473953674e-05,4.327439695543124,0.008001162597660707,0.0036978736438089198,0.003963697805750516,4,-0.00010065734386444092,-1,-1,0
0.005,0.0,0.0,5.97231837673462e-06,9.203584941218313,0.0031658760759388917,0.0006879658516021286,0.0006937429527929928,4,-9.573996067047119e-05,0.0,3.4713743843894918e-06,4.7441491995836165,0.0045855621683069175,0.0019331441636402929,0.0019878849399196964,4,-0.0001047775149345398,0.0,-1.413650488757412e-05,4.127174370519745,0.0006759338992200273,0.0003275528671859364,0.00045521246231930375,4,-0.00010181963443756104,-1,-1,0
0.0055,0.0,0.0,7.985571755853016e-06,10.294996655351602,0.0017351233935934366,0.00033708090476969224,0.0003429212325981871,4,-0.00011493265628814697,0.0,1.4593024388886988e-07,5.106141651552455,0.003976008592757696,0.001557343632074462,0.0016397221908187965,4,-0.00010677799582481384,0.0,-1.2912856163893593e-05,3.9428171952771347,0.0002501722251908785,0.00012690024051358243,0.0001795620257069933,4,-0.00010208040475845337,-1,-1,0
0.006,0.0,0.0,9.397130270372145e-06,11.384990093118832,0.0004693081108033447,8.244330596071363e-05,8.78033891476773e-05,4,-0.00013527832925319672,0.0,-2.5612434910726734e-06,5.515965469911338,0.0035010027742247286,0.0012694070669303891,0.001358180969914156,4,-0.00010977312922477722,0.0,-1.1566192370082717e-05,3.7820833718797053,0.00013918427763124773,7.360190876071184e-05,0.0002484761284492892,4,-0.00010164827108383179,-1,-1,0
0.006500000000000001,0.0,0.0,1.0154448318644427e-05,12.470223030985055,0.0007845744371386172,0.0001258316607793087,0.0001284521108227946,4,-0.00015660561621189117,0.0,-4.536605047178455e-06,5.97014158911771,0.002952498644051455,0.000989088315571352,0.0010718442974915379,4,-0.0001137852668762207,0.0,-1.0166314496018458e-05,3.650742350201499,0.0005142699414746374,0.0002817344485820824,0.000550804482352199,4,-0.00010067224502563477,-1,-1,0
0.007,0.0,0.0,9.707336175779346e-06,13.533526612778704,0.0016353434216927285,0.00024167291622991972,0.00024279324707507139,4,-0.00017876364290714264,0.0,-4.219301899865968e-06,6.24652453121574,0.000346777242159929,0.00011103045875413761,0.00017821194262785222,4,-0.0001188516616821289,0.0,-1.0036505500465864e-05,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.0075,0.0,0.0,9.170440534944646e-06,14.571432191021673,0.0018659525119500897,0.000256111065472317,0.0002561577190287661,4,-0.00020155496895313263,0.0,-3.806426320807077e-06,6.5618471056948415,0.00036979669858806504,0.00011271115971816197,0.00016136685540186666,4,-0.0001241825520992279,0.0,-9.912485438690055e-06,0.0,0.0,nan,nan,0,nan,-1,-1,0
0.008,0.0,0.0,9.26936718315119e-06,15.599258677168292,0.0022652047998145204,0.0002904246729532046,0.0002921724073276086,4,-0.00022481195628643036,0.0,-5.434451395558426e-06,7.188105993592805,0.0025259454918117423,0.0007028125333887038,0.0007400778993649257,4,-0.00012986361980438232,0.0,-7.75284570408985e-06,4.462284030959058,0.0017976848900441219,0.0008057240989465898,0.001015433232975399,4,-0.00010153651237487793,-1,-1,0
0.0085,0.0,0.0,8.966902896645479e-06,16.616173512869143,0.0029430873931138098,0.0003542437000714278,0.000356512122214782,4,-0.0002484191209077835,0.0,-6.2881697431294015e-06,7.849042610665528,0.002105281628723506,0.0005364429098302468,0.0005628649551457422,4,-0.00013697147369384766,0.0,-6.179342335599358e-06,4.448397057225826,0.0011803341998940515,0.0005306784375179623,0.000763591578230926,4,-0.000102996826171875,-1,-1,0
