engine,force_target_N,tail_slope_um_s,tail_slope_R2,tail_vt_mean_um_s,tail_vt_std_um_s,hold_displacement_um,tail_Fn_mean_N,tail_Fn_cv,tail_Ft_mean_N,tail_rho_mean,tail_contact_duty,tail_contacts_mean,tail_max_body_vz_rms_mm_s,contact_loss_time_s,valid_steady_contact
mujoco,1.0,984.6286056703754,0.9998103031192619,985.1722196776045,30.377020862594023,6977.374700282608,9.7602799406028,0.00044892826361790563,0.9998798814859062,0.20488758203508967,1.0,4.0,0.11908877292444883,,True
mujoco,2.0,520.719751970204,1.0,520.7197519719999,5.757789211780504e-10,60115.58395933183,0.0,,0.0,,0.0,0.0,3.232569276196863e-12,6.76,False
mujoco,3.0,780.5973853275325,1.0,780.5973853280273,7.849755688045841e-10,82298.21576977632,0.0,,0.0,,0.0,0.0,3.0617921957727497e-12,4.11,False
mujoco,4.0,1312.9931628469164,1.0,1312.9931628046331,5.881388992615749e-10,244346.71309136826,0.0,,0.0,,0.0,0.0,1.2625407345077961e-12,3.105,False
sap,1.0,0.6527843939355492,0.43620921051611616,-4.793102316798036,527.2655173242348,5.100882844999433,9.800369379184238,0.011267931311265423,0.9809379786580702,0.1992956380799341,1.0,4.0,0.8682949466705706,,True
sap,2.0,1.5437857795894339,0.9760829163351645,2.060101033474924,195.84214238526252,12.544391211122274,9.790771044348034,0.11326524912557995,2.000188569496836,0.4127041643951288,1.0,4.314214463840399,0.5135766537852419,,True
sap,3.0,2.113436527430064,0.9414092521403139,3.311917206903552,152.34750068461585,17.477315850555897,9.725958377580898,0.08967876552171457,2.9984906307307737,0.6219416303987086,1.0,4.800498753117207,0.4018070590274178,,True
sap,4.0,2.515827792369187,0.9999803934067224,2.5301778533274164,0.23692697333806698,25.491113774478436,9.637249958749567,2.6265109650550528e-05,4.000000343878491,0.8301124000991024,1.0,5.0,0.006082801608535229,,True
