phase,time_s,cube_z_m,cube_vz_m_s,pad_z_m,pad_vz_m_s,relative_vt_m_s,candidate_contact_count,truncated_contacts,solver_iterations,left_Fn_N,left_Ft_N,left_points,left_rho,right_Fn_N,right_Ft_N,right_points,right_rho
normal_gate,0.0025,5.317820294357956e-13,1.3577499381419757e-14,-1.6432100363554525e-15,1.3450070050768925e-14,1.2742933065083145e-16,128,0,-1,6.008256582234468,1.1695882141030771e-06,4,9.73317465803123e-07,5.991499515559108,2.3265960958795975e-07,4,1.9415808094766127e-07
normal_gate,0.005,5.318182959984652e-13,1.5198378241153797e-14,-1.606943897202286e-15,1.5200297617812275e-14,-1.9193766584782446e-18,128,0,-1,6.001729145215128,3.315777207991636e-10,4,2.7623515888209773e-10,5.998175964190389,3.317493881117498e-10,4,2.765418938126535e-10
normal_gate,0.0075,5.318588451597162e-13,1.686838670589448e-14,-1.5664222645221139e-15,1.6869968963439952e-14,-1.582257545471033e-18,128,0,-1,5.999944215619834,3.198179999853363e-10,4,2.665174779064983e-10,5.999811882173743,3.199818721379166e-10,4,2.6665992069570237e-10
normal_gate,0.01,5.319034058690053e-13,1.845368679371205e-14,-1.5218547789693816e-15,1.845431359809302e-14,-6.2680438096818225e-19,128,0,-1,5.999713339462033,3.074122893616289e-10,4,2.561891476878403e-10,6.000191769943484,3.075675500245374e-10,4,2.562980999750899e-10
normal_gate,0.0125,5.319518154960068e-13,1.9952425196517916e-14,-1.4734527752644291e-15,1.9952681000467987e-14,-2.558039500707987e-19,128,0,-1,5.999876391330973,2.9439896487225217e-10,4,2.453375250343654e-10,6.000028718074544,2.945452612061309e-10,4,2.454532095145144e-10
normal_gate,0.015,5.320038029901775e-13,2.136144078735292e-14,-1.421441564171226e-15,2.136149330339565e-14,-5.251604272976662e-20,128,0,-1,5.99990565492162,2.808381308533922e-10,4,2.340354557267292e-10,5.999999454483895,2.809753146741335e-10,4,2.3414611685019083e-10
normal_gate,0.0175,5.320592057211915e-13,2.267481280591576e-14,-1.3660489975525839e-15,2.267489581514459e-14,-8.300922883092143e-20,128,0,-1,5.999947450596871,2.6682081483867463e-10,4,2.2235262644852953e-10,5.999957658808645,2.6694862411054243e-10,4,2.224587566202491e-10
normal_gate,0.02,5.321176984283971e-13,2.3872807078601302e-14,-1.3075241030949952e-15,2.3872939215741074e-14,-1.3213713977167085e-19,128,0,-1,5.999951971938698,2.526290196199562e-10,4,2.1052586820818082e-10,5.999953137466818,2.52747452063451e-10,4,2.1062452178598269e-10
normal_gate,0.0225,5.32179172691577e-13,2.5134103511566946e-14,-1.2460345933220165e-15,2.513419160299346e-14,-8.809142651444724e-20,128,0,-1,5.999952511724794,2.3592123200823157e-10,4,1.966025827264521e-10,5.999952597680721,2.3602918789196244e-10,4,1.9669254385709598e-10
normal_gate,0.025,5.32243953771383e-13,2.641072277054842e-14,-1.1812585957136912e-15,2.6410785450986518e-14,-6.268043809681823e-20,128,0,-1,5.999952552514417,2.1711897911605053e-10,4,1.809339134065834e-10,5.999952556891099,2.1721648237292934e-10,4,1.8101516663115163e-10
normal_gate,0.0275,5.323117164071633e-13,2.755551490381692e-14,-1.1134874896038746e-15,2.7555594524913962e-14,-7.962109704190423e-20,128,0,-1,5.999952554591332,1.981341336449959e-10,4,1.6511308368045187e-10,5.999952554814183,1.982210670579196e-10,4,1.6518552875795067e-10
normal_gate,0.03,5.323821353382663e-13,2.856721952634693e-14,-1.0430567000396795e-15,2.8567263572060186e-14,-4.404571325722362e-20,128,0,-1,5.999952554697084,1.7904552712764656e-10,4,1.4920578579198941e-10,5.999952554708431,1.7912176854186594e-10,4,1.4926932080596295e-10
normal_gate,0.0325,5.324548853040401e-13,2.944503365090445e-14,-9.702965698705351e-16,2.944503365090445e-14,0.0,128,0,-1,5.999952554702469,1.599305281630014e-10,4,1.3327649402632e-10,5.999952554703047,1.5999603815051173e-10,4,1.3333108611425542e-10
