section,ball_count,preset,device,dt_s,ke,tau_s,duration_s,steps,mse_velocity_error,elapsed_s,step_rate_hz,max_raw_collision_contacts
C_ke,1,drake,cpu,0.001,1000.0,0.03,4.0,4000,24.77099428817437,21.57544087502174,185.39597977026133,5
C_ke,1,drake,cpu,0.001,10000.0,0.03,4.0,4000,20.29826405334724,15.19254474999616,263.2870309630657,5
C_ke,1,drake,cpu,0.001,100000.0,0.03,4.0,4000,17.570695702759455,12.0787956250133,331.1588443235702,5
A_dt,1,drake,cpu,0.0005,10000.0,0.03,4.0,8000,19.960428289808704,33.862946875044145,236.24642088948647,5
A_dt,1,drake,cpu,0.001,10000.0,0.03,4.0,4000,20.29826405334724,15.954651458014268,250.71058496804315,5
A_dt,1,drake,cpu,0.002,10000.0,0.03,4.0,2000,18.389815230208054,7.836921666981652,255.20224457855136,5
A_dt,1,drake,cpu,0.005,10000.0,0.03,4.0,800,21.6622709488379,3.1510912079829723,253.8803059629885,5
B_tau,1,drake,cpu,0.001,10000.0,0.004,4.0,4000,21.399168213272024,22.200349833001383,180.17734090180411,5
B_tau,1,drake,cpu,0.001,10000.0,0.01,4.0,4000,20.891008536539733,17.877373084018473,223.74651920062075,5
B_tau,1,drake,cpu,0.001,10000.0,0.03,4.0,4000,20.29826405334724,14.511663625016809,275.6403471966066,5
B_tau,1,drake,cpu,0.001,10000.0,0.06,4.0,4000,18.237679795371793,13.220964708016254,302.54978273822064,5
