time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qw,relative_slip_m,orientation_drift_rad,arm_q_error_rad,torque_norm_Nm,torque_saturated,penetration_m,contacts_total,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
0.001,approach,0.0,0.35,-0.15,0.019999734864864865,0.0,0.0,0.0,0.0,34.76283739804346,0,3.469446951953614e-18,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.011000000000000003,approach,0.010000000000000002,0.35,-0.15,0.019995380307004262,0.0,0.0,0.0,0.0,34.76283739804346,0,4.359263994226457e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.02100000000000001,approach,0.02000000000000001,0.35,-0.15,0.01999446003082334,0.0,0.0,0.0,0.0,34.76283739804346,0,5.522895550879177e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.03100000000000002,approach,0.03000000000000002,0.35,-0.15,0.01999445218041109,-1.7049518747689946e-35,0.0,0.0,0.0,34.76283739804346,0,5.5504324261592896e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.04100000000000003,approach,0.04000000000000003,0.35,-0.15,0.019994465674068002,-8.063079994017063e-35,0.0,0.0,0.0,34.76283739804346,0,5.534800215105893e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.05100000000000004,approach,0.05000000000000004,0.35,-0.15,0.0199944668900516,1.288876401530959e-34,0.0,0.0,0.0,34.76283739804346,0,5.53310833101472e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.06100000000000005,approach,0.060000000000000046,0.35,-0.15,0.01999446678157001,-1.8000752165417525e-34,0.0,0.0,0.0,34.76283739804346,0,5.533211015993288e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.07100000000000005,approach,0.07000000000000005,0.35,-0.15,0.019994466754091642,-2.146712177776655e-34,0.0,0.0,0.0,34.76283739804346,0,5.5332453313077584e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.08100000000000006,approach,0.08000000000000006,0.35,-0.15,0.01999446675352665,-2.21873042862557e-34,0.0,0.0,0.0,34.76283739804346,0,5.533246540347564e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.09100000000000007,approach,0.09000000000000007,0.35,-0.15,0.019994466753902717,-2.578461783039355e-34,0.0,0.0,0.0,34.76283739804346,0,5.533246111579498e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.10100000000000008,approach,0.10000000000000007,0.35,-0.15,0.019994466753941925,5.154718163289072e-35,0.0,0.0,0.0,34.76283739804346,0,5.533246058205476e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.11100000000000008,approach,0.11000000000000008,0.35,-0.15,0.019994466753939795,1.034840065689377e-33,0.0,0.0,0.0,34.76283739804346,0,5.533246060071933e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1210000000000001,approach,0.12000000000000009,0.35,-0.15,0.019994466753939226,-2.2564091579839638e-31,0.0,0.0,0.0,34.76283739804346,0,5.533246060898255e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1310000000000001,approach,0.1300000000000001,0.35,-0.15,0.019994466753939254,-1.4303262272696802e-30,0.0,0.0,0.0,34.76283739804346,0,5.533246060692395e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
0.1410000000000001,approach,0.1400000000000001,0.35,-0.15,0.01999446675393942,-8.180541305757744e-30,0.0,0.0,0.0,34.76283739804346,0,5.533246060734327e-06,4,0.0,0.0,nan,0,0.0,0.0,nan,0
