time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.79,final_hold,6.7,0.34566444,0.18246129,0.19339718,0.083105706,0.07769851,0.2409952,0.9638349,0.0016790100420028063,0.1747974423513924,0.1748071238788271,0.006340451290472316,1,0.0002931752533186227,256,0,-1,0.4230215,-0.11031538,0.051347896,-2.46192,0.0029973218,2.0129771,0.78553283,0.018928744,0.0227619,14.689439614848466,5.991321361197817,0.5098323624222562,1,14.137699712531273,7.651290893199502,0.6764971537782775,1
6.8,final_hold,6.7,0.34558985,0.1826172,0.19339183,0.083118446,0.077830054,0.2410058,0.96382064,0.0016853044681795174,0.1751482531141539,0.17515774088578948,0.006295434880225038,1,0.0002942642313428223,256,0,-1,0.42324075,-0.11028965,0.051555023,-2.4618993,0.0031340122,2.012996,0.7855327,0.018938536,0.022745652,14.734430783187078,5.980413923449738,0.5073502678394752,1,14.150138914844105,7.651723581568202,0.6759406769446282,1
6.8100000000000005,final_hold,6.7,0.34554002,0.18272212,0.1933872,0.08312642,0.07794071,0.24096392,0.9638215,0.0016912278618607288,0.1754690355267213,0.17547773238228995,0.006274197059272852,1,0.0002949484041891992,256,0,-1,0.42339072,-0.110269345,0.05169525,-2.461883,0.003241365,2.0130107,0.7855326,0.018948056,0.022730047,14.766209689194598,5.970828002546243,0.5054469061647121,1,14.159085204690221,7.650504725528294,0.675405986238614,1
6.82,final_hold,6.7,0.34550706,0.18279174,0.19338311,0.0831303,0.07803677,0.24088658,0.9638327,0.0016970230896857154,0.17576804415693817,0.1757754141800312,0.006264175822121567,1,0.00029555216315202415,256,0,-1,0.4234925,-0.11025334,0.051789213,-2.46187,0.003325693,2.0130224,0.7855325,0.018956807,0.022715438,14.790972666571752,5.9632791650263846,0.5039627294511585,1,14.16728355080873,7.649643131223891,0.6749391215145135,1
6.83,final_hold,6.7,0.34548548,0.18283714,0.19337945,0.0831304,0.078122795,0.24078566,0.9638509,0.001702422323611884,0.17605331562677914,0.1760617469102561,0.006259672731623063,1,0.0002960004494525492,256,0,-1,0.4235611,-0.110240765,0.051851545,-2.4618597,0.003391949,2.0130317,0.7855324,0.018964533,0.022702022,14.807154647095535,5.955380485941174,0.5027451785874792,1,14.171171381392746,7.6470605377173735,0.6745261499481825,1
6.84,final_hold,6.7,0.3454715,0.18286595,0.19337608,0.08312669,0.078202315,0.24066925,0.96387374,0.0017077871454356265,0.1763297959572927,0.1763381395337324,0.006257727774968129,1,0.00029611881473101676,256,0,-1,0.42360702,-0.11023089,0.05189248,-2.4618516,0.0034440202,2.0130389,0.7855324,0.018971166,0.022689847,14.818251292698495,5.947982903140472,0.5017446716259347,1,14.174654875499689,7.643614826952659,0.6740565197255995,1
6.8500000000000005,final_hold,6.7,0.34546244,0.18288374,0.19337298,0.08312042,0.0782772,0.24054308,0.96389973,0.0017127787755901501,0.1765978983445438,0.176607342122702,0.006256916287142335,1,0.00029639419517479837,256,0,-1,0.42363763,-0.110223174,0.05191909,-2.4618452,0.0034849474,2.0130446,0.7855324,0.01897673,0.022678759,14.826565923687475,5.94115832786068,0.500887929683102,1,14.176774065464679,7.640481486207495,0.6736794854497333,1
6.86,final_hold,6.7,0.34545654,0.18289414,0.19337007,0.08311169,0.0783491,0.24041073,0.9639277,0.00171768606989213,0.1768624569541788,0.1768693874275814,0.0062566652051533325,1,0.0002967054315377027,256,0,-1,0.4236579,-0.11021716,0.051936198,-2.4618402,0.0035171234,2.0130491,0.7855324,0.018981354,0.022668775,14.833791480863681,5.934821959883253,0.5001099994849145,1,14.179119585700283,7.637536722954791,0.6733084410488792,1
6.87,final_hold,6.7,0.3454527,0.18289952,0.1933673,0.08310051,0.07841922,0.24027468,0.9639569,0.0017225788863686282,0.17712537978645843,0.17713104607619745,0.006256555283200185,1,0.00029667469789274037,256,0,-1,0.42367128,-0.11021248,0.05194707,-2.461836,0.0035424272,2.0130527,0.7855324,0.018985085,0.02265967,14.836912504544197,5.927782841276167,0.49941175762314316,1,14.179563030867897,7.633178408543012,0.6729031769108582,1
6.88,final_hold,6.7,0.34545007,0.1829016,0.19336464,0.08308743,0.07848807,0.24013652,0.9639869,0.0017272641912469315,0.17738496728243736,0.17738962819425302,0.006256577013091286,1,0.00029668680508621037,256,0,-1,0.4236801,-0.11020887,0.051953882,-2.461833,0.003562328,2.0130556,0.7855324,0.018988099,0.02265134,14.840404062356715,5.92125358409749,0.49874430298675193,1,14.18147774895491,7.629180106751295,0.6724599017293454,1
