time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
4.83,lift,4.83,0.35108572,-0.14695631,0.0930708,0.008371729,0.024528809,-0.26613027,0.96358865,4.8191430823997564e-05,0.002678451883249213,0.003088162084289575,0.025011077686248787,1,0.0002896268852055073,256,0,-1,0.001701569,0.095761895,-0.34637308,-2.5519176,-0.16669527,2.2873685,0.7855666,0.018964017,0.029232094,12.412810450308257,9.510612419242637,0.957741646957806,1,14.476676002857946,6.268280136714744,0.5412395890704881,1
4.84,lift,4.84,0.351137,-0.14695597,0.09438216,0.008512448,0.024953539,-0.2663809,0.9635072,6.422149355759702e-05,0.0036833482338722474,0.004143204536877856,0.025180314911283384,1,0.00028968628612346947,256,0,-1,0.0016716237,0.09223244,-0.34663484,-2.5515008,-0.16666426,2.283488,0.7855665,0.018964345,0.029222153,12.416941661373835,9.510701866590363,0.9574320035842544,1,14.479597055948911,6.258087631489401,0.5402504993153693,1
4.8500000000000005,lift,4.8500000000000005,0.3512219,-0.14695904,0.095712274,0.0086502265,0.02536185,-0.2666149,0.9634306,7.992298268954626e-05,0.004603102199375638,0.004784160794506676,0.025321095155614905,1,0.0002897022641263902,256,0,-1,0.0016478192,0.088735804,-0.34686992,-2.5509706,-0.1666328,2.2795362,0.7855663,0.018964704,0.0292122,12.41999266552785,9.510768365637066,0.957203500614231,1,14.482629599637473,6.248434795905021,0.5393042362332313,1
4.86,lift,4.86,0.35133162,-0.14696456,0.09705762,0.008786739,0.025755031,-0.2668358,0.9633578,9.49007853853343e-05,0.005506822710842042,0.00581854467297637,0.02543484495800375,1,0.00028980575734749436,256,0,-1,0.0016287938,0.08526424,-0.34708405,-2.5503523,-0.16660099,2.2755282,0.7855659,0.01896502,0.029202303,12.422891609104932,9.510776310928586,0.9569809318747887,1,14.485585841924308,6.2402343813665295,0.5384865383996059,1
4.87,lift,4.87,0.35145876,-0.14697193,0.09841503,0.008922973,0.026135808,-0.26704654,0.96328783,0.0001097435604292492,0.006359811631251461,0.006623372150823493,0.025525000619739092,1,0.0002897634112741798,256,0,-1,0.0016131204,0.08181244,-0.34728202,-2.549666,-0.1665689,2.2714758,0.78556556,0.018965278,0.029192502,12.424750698627097,9.509442109536668,0.9567035126293757,1,14.486429187430982,6.23282271367804,0.5378156543130287,1
4.88,lift,4.88,0.3515975,-0.14698057,0.099781886,0.009059951,0.026506968,-0.26724926,0.96322024,0.0001242253879093608,0.007226993618590469,0.007405156030743608,0.02559541381736278,1,0.00028974388260394335,256,0,-1,0.0015995873,0.07837652,-0.34746775,-2.5489273,-0.16653663,2.267388,0.7855651,0.018965485,0.029182741,12.427760054254813,9.508726581131757,0.9563998801493911,1,14.488605928711554,6.2272152403775225,0.5372510708602123,1
4.89,lift,4.89,0.3517432,-0.14699028,0.10115612,0.009197921,0.026870508,-0.26744616,0.96315414,0.00013838970169409437,0.008045050007136309,0.008228667691731806,0.025649540547941354,1,0.00028981902869418263,256,0,-1,0.0015872668,0.07495348,-0.34764427,-2.5481486,-0.1665042,2.263272,0.7855646,0.018965641,0.029172998,12.429110752188826,9.507117766033247,0.9561341470425586,1,14.489542683187631,6.222219922499915,0.536785395728847,1
4.9,lift,4.9,0.3518924,-0.14700082,0.10253615,0.00933699,0.027228607,-0.26763868,0.96308935,0.00015244898844702552,0.008845764672570894,0.00902991099437374,0.025691072467320362,1,0.00028990008286200464,256,0,-1,0.0015755061,0.07154097,-0.34781387,-2.5473394,-0.16647166,2.259134,0.7855641,0.018965788,0.02916327,12.432151181718998,9.506037618262726,0.9557917088638075,1,14.491497949382529,6.218559072983717,0.536397194298389,1
4.91,lift,4.91,0.3520427,-0.1470117,0.10392075,0.009477817,0.027583173,-0.26782715,0.96302545,0.00016611359799152792,0.00965334169113184,0.00983860449052108,0.025722564465792984,1,0.00028978640330024064,256,0,-1,0.0015638674,0.068137035,-0.34797835,-2.5465071,-0.16643903,2.2549784,0.78556365,0.018965933,0.029153539,12.434796630799836,9.50430648775876,0.9554143475311726,1,14.492616790908505,6.2152669884988905,0.5360718390413323,1
4.92,lift,4.92,0.35219207,-0.14702299,0.1053091,0.009619991,0.027934663,-0.26801312,0.9629622,0.0001799861625514354,0.010458539945475813,0.010630647796111756,0.025746384892610233,1,0.00028991905855946243,256,0,-1,0.0015520892,0.064740084,-0.348139,-2.545657,-0.16640632,2.2508092,0.7855632,0.018966082,0.029143829,12.438810827713638,9.503602346415459,0.9550352600066736,1,14.495216030258614,6.213188356208719,0.5357964606424933,1
