representation,ke,tau_s,kd_shape,clearance_mm,max_witness_pen_mm,max_phi0_penetration_mm,final_phi0_penetration_mm,max_contacts,stepping_wall_s,end_to_end_wall_s,final_xyz_mm,entered,initial_offset_mm
raw_nonwatertight_mesh,10000.0,0.01,100.0,2.0,11.985203272546578,11.985203251242638,0.0014426194638872403,63,37.2934825960001,37.944608935998986,"[0.00510932022734778, 0.0026122784220206086, 36.99856624007225]",True,0.0
raw_nonwatertight_mesh,10000.0,0.01,100.0,2.0,0.008392279107345177,0.008393079951929394,0.007849201210774481,22,33.904963922002935,34.11605092800164,"[-23.038502782583237, -3.0301481019705534, 49.97236281633377]",False,1.0
watertight_mesh,10000.0,0.01,100.0,2.0,11.983156582235218,11.983157135546207,0.0014100230600888608,64,40.54531598000176,40.74293321099685,"[0.004128278760617832, 0.003066575118282344, 36.99861466884613]",True,0.0
watertight_mesh,10000.0,0.01,100.0,2.0,0.00399377335476881,0.0039935084714670666,0.003531574975568219,21,40.806692732003285,41.01221517600061,"[-23.19231629371643, 1.2125290231779218, 49.975406378507614]",False,1.0
