solref_stiffness_s_2,solref_damping_s_1,interface_slope_N_m,intercept_N,fit_R2,target_interface_stiffness_N_m,relative_target_error
100000.0,632.4555320336759,3999999.999999516,1.8101076193488556e-12,1.0,4000000.0,1.2090328738167955e-13
200000.0,894.4271909999159,8000000.000003317,-7.630340803643777e-12,1.0,4000000.0,1.0000000000008296
400000.0,1264.9110640673518,16000000.000011394,-2.0445867221496887e-12,1.0,4000000.0,3.0000000000028484
800000.0,1788.8543819998317,32000000.000049807,-2.9913849175500218e-12,1.0,4000000.0,7.000000000012452
1600000.0,2529.8221281347037,63999999.999696545,8.22897305852166e-11,1.0,4000000.0,14.999999999924137
