time_s,phase,source_time_s,cube_x_m,cube_y_m,cube_z_m,cube_qx,cube_qy,cube_qz,cube_qw,relative_slip_m,orientation_drift_rad,raw_orientation_drift_rad,arm_q_error_rad,torque_saturation_proxy,penetration_m,candidate_contacts,truncated_contacts,solver_iterations,joint_q_0,joint_q_1,joint_q_2,joint_q_3,joint_q_4,joint_q_5,joint_q_6,joint_q_7,joint_q_8,left_Fn_N,left_Ft_N,left_rho,left_points,right_Fn_N,right_Ft_N,right_rho,right_points
6.74,final_hold,6.7,0.34976673,-0.19582681,0.1931586,0.07131653,0.050966006,-0.10818926,0.99025834,0.0018351935989540577,0.12870911768828144,0.12871373499378536,0.006287332196227033,1,0.0002958113909699023,256,0,-1,-0.046464846,-0.087228924,-0.41150677,-2.4287493,-0.18733837,1.994061,0.69268703,0.018992811,0.022747489,14.792907251239942,5.910592052700297,0.4994447636556423,1,14.153752168101688,7.605492035787875,0.6716851426973877,1
6.75,final_hold,6.7,0.34974545,-0.19597536,0.19315489,0.07138955,0.05116517,-0.10837718,0.9902223,0.0018437670380099108,0.12926314368933295,0.12926861934221576,0.006198976725484311,1,0.0002957741089630872,256,0,-1,-0.046605494,-0.08707084,-0.41166633,-2.4285817,-0.18740194,1.994074,0.69243073,0.018994398,0.022740787,14.786490724850468,5.905345842100617,0.49921799837333747,1,14.157147599184036,7.599545385700333,0.6709989894202224,1
6.76,final_hold,6.7,0.3497303,-0.19608429,0.19315137,0.07146599,0.051370542,-0.10855534,0.99018663,0.0018522292049357636,0.12983057399188763,0.1298376745064705,0.006148129516056175,1,0.0002956304815597832,256,0,-1,-0.046707224,-0.086948484,-0.41178286,-2.4284515,-0.18745181,1.9940841,0.69222885,0.018994387,0.022736,14.770097476826532,5.895501895628999,0.4989389799964688,1,14.151937542214988,7.588805003937049,0.6702973516258615,1
6.7700000000000005,final_hold,6.7,0.34971952,-0.19616348,0.19314797,0.07154452,0.05158092,-0.10872659,0.99015117,0.0018602668112520835,0.13040473103232425,0.13040973862243238,0.006119545171724302,1,0.000295246863970533,256,0,-1,-0.04677933,-0.08685365,-0.41186652,-2.4283507,-0.18749094,1.994092,0.69206977,0.018993434,0.022732072,14.757348866975954,5.8859089747878635,0.49855744990546463,1,14.148850411164219,7.578943627802477,0.6695723864094176,1
6.78,final_hold,6.7,0.3497117,-0.19622044,0.1931446,0.07162489,0.051794317,-0.10889367,0.9901159,0.0018683897070188866,0.13098988042167836,0.13099934357942816,0.006103640554219901,1,0.00029508298030123115,256,0,-1,-0.04682955,-0.08678006,-0.41192576,-2.4282722,-0.18752162,1.9940982,0.6919445,0.01899202,0.0227285,14.747905083489943,5.876678724609817,0.49809436419453473,1,14.146255965587809,7.5704470145034675,0.6689444041694973,1
6.79,final_hold,6.7,0.3497056,-0.19626124,0.19314124,0.071706116,0.052009877,-0.10905879,0.99008054,0.0018764273287042892,0.1315748071257887,0.13158087077917727,0.006095297497156898,1,0.00029496129718609154,256,0,-1,-0.046863973,-0.08672289,-0.41196725,-2.4282117,-0.1875457,1.9941031,0.6918458,0.018990442,0.022725077,14.74218541987635,5.868318893895157,0.4975787787527687,1,14.145479066313227,7.563286760010825,0.6683484105199401,1
6.8,final_hold,6.7,0.34970045,-0.1962903,0.19313787,0.071788155,0.05222657,-0.109223455,0.9900451,0.0018845092263726122,0.13216352066337267,0.13217789492813545,0.006091074575178569,1,0.0002948093169834465,256,0,-1,-0.046887215,-0.08667845,-0.411996,-2.4281647,-0.1875646,1.9941069,0.691768,0.018988851,0.022721576,14.738908492817734,5.860540027138794,0.497029684219377,1,14.146642684089835,7.556981599336174,0.6677363110184448,1
6.8100000000000005,final_hold,6.7,0.34969565,-0.19631101,0.19313449,0.07187035,0.052443814,-0.109388724,0.99000937,0.0018927768381712092,0.1327547102689312,0.13275965871044187,0.006089101992586497,1,0.000294847646728158,256,0,-1,-0.04690268,-0.08664391,-0.41201577,-2.4281282,-0.18757942,1.9941097,0.6917067,0.01898737,0.022718,14.737687830058226,5.853267293922249,0.49645400294612596,1,14.147355530752645,7.55171278625136,0.6672371357526778,1
6.82,final_hold,6.7,0.34969088,-0.19632575,0.19313112,0.07195285,0.052661125,-0.10955511,0.9899734,0.0019012117526702279,0.13334443403182494,0.13334604533599742,0.006088293585831343,1,0.0002946589083876461,256,0,-1,-0.04691281,-0.08661708,-0.41202927,-2.4280999,-0.18759106,1.994112,0.69165844,0.018986007,0.022714188,14.736006051422981,5.845580352694135,0.49585860750661614,1,14.148471781071589,7.545793577383517,0.6666615389761203,1
6.83,final_hold,6.7,0.3496859,-0.19633628,0.19312777,0.072035424,0.05287795,-0.10972285,0.9899373,0.0019093786840317,0.13393506584874051,0.133944119682535,0.006088165876831978,1,0.0002948172914329916,256,0,-1,-0.04691935,-0.08659626,-0.41203845,-2.428078,-0.1876002,1.9941138,0.6916204,0.018984834,0.02271014,14.738018208038762,5.839056686413429,0.4952376062363451,1,14.150807392400724,7.5417680935465565,0.6661959176969509,1
6.84,final_hold,6.7,0.3496806,-0.19634388,0.19312443,0.07211771,0.053094435,-0.1098921,0.9899009,0.0019176829419180043,0.13452398926808207,0.13453244540102938,0.006088389990844202,1,0.00029482602258212864,256,0,-1,-0.046923496,-0.086580105,-0.41204464,-2.428061,-0.18760736,1.9941151,0.6915905,0.018983848,0.02270599,14.738259970131157,5.832140035901167,0.494642858766969,1,14.151498250442227,7.537095453721617,0.665750661196429,1
6.8500000000000005,final_hold,6.7,0.349675,-0.19634938,0.1931211,0.072199896,0.053310268,-0.110062756,0.98986435,0.0019259802927349598,0.13511173199766108,0.13511821332997112,0.006088724388168118,1,0.00029489235021173954,256,0,-1,-0.046926077,-0.08656758,-0.41204885,-2.428048,-0.18761301,1.9941162,0.6915669,0.018983016,0.022701684,14.739464801002658,5.825425744035525,0.49403301126300453,1,14.152796292606837,7.532777201328984,0.6653082053176984,1
6.86,final_hold,6.7,0.349669,-0.1963536,0.19311781,0.07228137,0.053525772,-0.11023467,0.9898277,0.0019344412514940284,0.13569805146021174,0.1357049731134567,0.006089007063686096,1,0.0002947759930975735,256,0,-1,-0.046927646,-0.08655789,-0.41205168,-2.4280376,-0.18761745,1.994117,0.6915483,0.018982312,0.022697194,14.740934067699246,5.818791125611305,0.4934211681301802,1,14.154695039202364,7.52834345213839,0.6648274151516639,1
6.87,final_hold,6.7,0.34966272,-0.19635661,0.19311453,0.07236297,0.05374009,-0.1104076,0.98979074,0.0019430528530559852,0.13628311727607448,0.1362892106311166,0.006089159777363637,1,0.00029501214157789946,256,0,-1,-0.046928577,-0.0865504,-0.41205359,-2.4280295,-0.18762094,1.9941176,0.6915336,0.018981764,0.022692582,14.74360922940336,5.812858984266346,0.49282869732074236,1,14.156663287100596,7.525099539788312,0.6644485521744646,1
6.88,final_hold,6.7,0.34965613,-0.19635907,0.19311129,0.07244377,0.05395408,-0.11058145,0.9897538,0.0019514984123196555,0.1368689973274682,0.13687618793065412,0.006089351098995619,1,0.00029494785121642053,256,0,-1,-0.046929106,-0.08654462,-0.4120549,-2.4280233,-0.18762366,1.9941181,0.69152206,0.018981308,0.022687849,14.746028522009285,5.806860787231322,0.4922393831807199,1,14.15907006723244,7.521390897005683,0.6640081994519564,1
6.890000000000001,final_hold,6.7,0.34964928,-0.19636106,0.19310804,0.072523996,0.054167394,-0.110756,0.98971677,0.0019598911436388994,0.13745105782110942,0.13745892684433222,0.006089531106124531,1,0.0002948759647551924,256,0,-1,-0.04692939,-0.086540155,-0.4120558,-2.4280186,-0.18762583,1.9941185,0.69151294,0.01898094,0.022683034,14.746886785356844,5.800100843745608,0.4916377375244474,1,14.160068870821462,7.516858530315163,0.6635612615031626,1
6.9,final_hold,6.7,0.34964225,-0.1963626,0.19310479,0.072604045,0.05437974,-0.1109311,0.9896797,0.001968431081140235,0.13803068606223992,0.13803575243136862,0.006089751687958721,1,0.0002951147616840899,256,0,-1,-0.04692953,-0.08653671,-0.41205642,-2.428015,-0.18762752,1.9941187,0.69150573,0.01898067,0.022678183,14.74970906341585,5.79431666308863,0.49105347079865874,1,14.161665943848908,7.513759781266198,0.663212913213945,1
6.91,final_hold,6.7,0.34963506,-0.19636388,0.19310157,0.07268361,0.054591656,-0.111106664,0.9896425,0.001976733796580235,0.1386110641024297,0.13861706698097417,0.00608986320724295,1,0.0002949023328255862,256,0,-1,-0.046929587,-0.08653405,-0.41205686,-2.4280121,-0.18762885,1.9941189,0.6915001,0.01898045,0.02267332,14.751155593465576,5.788318808072025,0.49049706406019783,1,14.164593617175724,7.5096818419300355,0.6627159632048969,1
6.92,final_hold,6.7,0.34962776,-0.19636506,0.19309837,0.072762474,0.054802876,-0.111282445,0.9896052,0.001985107898672536,0.13918969159750616,0.13919938609856594,0.006089989750134242,1,0.00029491810710169375,256,0,-1,-0.046929598,-0.086532004,-0.4120572,-2.42801,-0.1876299,1.9941192,0.69149566,0.01898026,0.022668391,14.752419512750727,5.781963867518814,0.4899165745762399,1,14.165092252988293,7.5057423340561495,0.6623449921825186,1
