engine,device,stack_count,dt_ms,ke_pair_nominal_N_m,ke_shape_N_m,tau_pair_ms,duration_s,layer_geometric_delta_mm_json,layer_constraint_delta_mm_json,layer_constraint_phi0_mm_json,layer_Fn_measured_N_json,layer_Fn_static_N_json,layer_geometric_effective_interface_k_N_m_json,layer_geometric_ratio_delta_over_Fn_over_4k_json,layer_constraint_ratio_delta_over_Fn_over_4k_json,layer_contact_points_mean_json,layer_gap_std_um_json,layer_body_vz_rms_mm_s_json,layer_body_vz_max_abs_mm_s_json,tail_actual_contact_count_mean,tail_truncated_contact_count_max,wall_s
sap_warp,cuda:0,5,0.25,1000000.0,2000000.0,3.0,4.0,"[0.012261724943527064, 0.0, 0.0, 0.0, 0.0]","[0.012261643540114164, 0.10242628747592343, 0.10310419961046913, 0.10304822540965211, 0.10271647099147173]","[-0.012261643540114164, -0.10242628747592343, -0.10310419961046913, -0.10304822540965211, -0.10271647099147173]","[49.04222151470619, 39.23245554677257, 29.422030095611806, 19.61157913938856, 9.79880229233735]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[3999618.466453651, Infinity, Infinity, Infinity, Infinity]","[1.0000953924854457, 0.0, 0.0, 0.0, 0.0]","[1.0000887530298594, 10.443015717312088, 14.017278790812842, 21.01783332739107, 41.930214704626046]","[4.0, 1.119, 1.191, 0.839, 0.447]","[1.1517427531527742, 3.6919536619769886, 4.880458666279981, 5.59346780133785, 7.853866170637752]","[3.8052711486816406, 14.68376636505127, 13.020147323608398, 11.561686515808105, 8.741870880126953]","[13.310107231140137, 40.287654876708984, 33.33786392211914, 35.04832077026367, 27.448970794677734]",7.596,0,66.37309988774359
sap_warp,cuda:0,5,0.5,1000000.0,2000000.0,3.0,4.0,"[0.012262251286300874, 0.0, 0.0, 0.0, 0.0]","[0.012261795811355114, 0.1058229848762814, 0.10811212322980666, 0.10861811526539629, 0.10774306644349409]","[-0.012261795811355114, -0.1058229848762814, -0.10811212322980666, -0.10861811526539629, -0.10774306644349409]","[49.055418157174735, 39.256634271924256, 29.440748432642483, 19.591043111246922, 9.78418669019655]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[4000522.9881382715, Infinity, Infinity, Infinity, Infinity]","[0.9998692700579843, 0.0, 0.0, 0.0, 0.0]","[0.999832130434035, 10.782685458285902, 14.688773755484714, 22.177096880163624, 44.04783753827971]","[4.0, 1.466, 1.668, 1.242, 0.676]","[2.0102553058808623, 7.870367437098999, 10.446978767796713, 12.074873475853751, 17.767631900964922]","[3.6299097537994385, 18.809812545776367, 17.850189208984375, 15.939764976501465, 14.45047664642334]","[13.65026569366455, 47.86009216308594, 45.09714889526367, 54.416893005371094, 43.9701042175293]",9.052,0,32.66421683784574
sap_warp,cuda:0,5,1.0,1000000.0,2000000.0,3.0,4.0,"[0.012262698728590316, 0.0021741380915106245, 0.00889390101655535, 0.004895828664322754, 0.0]","[0.012262485921382904, 0.11690399050712585, 0.12333427866299948, 0.1262170672416687, 0.12228498856226602]","[-0.012262485921382904, -0.11690399050712585, -0.12333427866299948, -0.1262170672416687, -0.12228498856226602]","[49.050008832171194, 39.24000841236065, 29.430006234367692, 19.620004242764605, 9.81000226764525]","[49.050000000000004, 39.24, 29.43, 19.62, 9.81]","[3999935.8964769933, 18048535.44748673, 3309009.8686263626, 4007494.0501372023, Infinity]","[1.0000160261375846, 0.2216246305213093, 1.2088208131154596, 0.9981299909510918, 0.0]","[0.999998671832256, 11.916816049438049, 16.763065244474532, 25.732322109606997, 49.86134976363008]","[4.0, 2.0, 2.4, 2.0, 1.2]","[2.0196223118953456, 17.001447762133456, 21.55871179616592, 26.370412362731795, 23.410855085444002]","[2.727346420288086, 25.974586486816406, 27.562578201293945, 18.7453670501709, 16.414823532104492]","[4.020483016967773, 52.84031295776367, 48.74755859375, 34.38396453857422, 28.398996353149414]",11.6,0,20.15681123593822
