time_s,delta_m,normal_force_N,contact_points,vz_m_s
1.5,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.5005,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.501,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.5015,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.502,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.5025,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.503,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5035,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.504,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5045,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.505,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.5055,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.506,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5065,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.507,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5075,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.508,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.5085,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.509,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.5095,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.51,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.5105,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.511,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5115,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.512,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.5125,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.513,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5135,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.514,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5145,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.515,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
1.5155,5.0002895477518905e-06,19.99990785791386,4,-1.821097015408668e-07
1.516,5.00015084980987e-06,20.000919804816636,4,2.777927079478104e-07
1.5165,5.000215878681047e-06,19.999183653030734,4,-1.303807835029147e-07
1.517,5.000306828151224e-06,19.999909117635355,4,-1.8219967046206875e-07
1.5175,5.000168130209204e-06,20.000919962262248,4,2.7778145295087597e-07
1.518,5.0002331590803806e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5185,5.000324108550558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.519,5.0001854106085375e-06,20.000919962535807,4,2.7778145295087597e-07
1.5195,5.000250439479714e-06,19.99918367272698,4,-1.3038219037753151e-07
1.52,5.0003413889498916e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5205,5.000202691007871e-06,20.000919962535807,4,2.7778145295087597e-07
1.521,5.000267719879048e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5215,5.000358669349225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.522,5.000219971407205e-06,20.000919962535807,4,2.7778145295087597e-07
1.5225,5.000285000278382e-06,19.99918367272698,4,-1.3038219037753151e-07
1.523,5.000142664357554e-06,20.000829281672015,4,2.842586468432273e-07
1.5235,5.00020723848138e-06,19.99917233763766,4,-1.295725411409876e-07
1.524,5.000298187951557e-06,19.99990785791386,4,-1.821097015408668e-07
1.5245,5.000159490009537e-06,20.000919804816636,4,2.777927079478104e-07
1.525,5.000224518880714e-06,19.999183653030734,4,-1.303807835029147e-07
1.5255,5.000315468350891e-06,19.999909117635355,4,-1.8219967046206875e-07
1.526,5.000176770408871e-06,20.000919962262248,4,2.7778145295087597e-07
1.5265,5.000241799280047e-06,19.99918367272698,4,-1.3038219037753151e-07
1.527,5.000332748750225e-06,19.9999091198281,4,-1.8219982678147062e-07
1.5275,5.000194050808204e-06,20.000919962535807,4,2.7778145295087597e-07
1.528,5.000259079679381e-06,19.99918367272698,4,-1.3038219037753151e-07
1.5285,5.000350029149558e-06,19.9999091198281,4,-1.8219982678147062e-07
1.529,5.000211331207538e-06,20.000919962535807,4,2.7778145295087597e-07
1.5295,5.000276360078715e-06,19.99918367272698,4,-1.3038219037753151e-07
1.53,5.000134024157887e-06,20.000829281672015,4,2.842586468432273e-07
1.5305,5.000198598281713e-06,19.99917233763766,4,-1.295725411409876e-07
