engine,contact,dt_s,accuracy_duration_s,timing_duration_s,accuracy_wall_s,timing_wall_s,simulated_seconds_per_wall_second,energy_mse_J2,first_rebound_height_m,final_energy_ratio
MuJoCo,"solref=[-1e4,0]",0.0005,20.0,4.0,6.286238625005353,0.09260150000045542,43.195844559540916,3417203.76085048,5.000589743163127,0.999985900629332
MuJoCo,"solref=[-1e4,0]",0.001,20.0,4.0,3.1380297090072418,0.04624562500976026,86.49466839632483,3414050.562158117,5.007483822389197,1.0023838109541583
MuJoCo,"solref=[-1e4,0]",0.002,20.0,4.0,1.5691543330030981,0.022784875007346272,175.55505565469747,3451542.2473242525,4.9737516988513395,0.9840134641782741
