x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,contact_count,min_contact_dist_m,geometric_penetration_m,phase,time_from_release_s,analytic_vx_m_s,analytic_x_m
0.0,0.019809194619755024,0.0,-0.002005952870534456,9.891713563107261,0.0,4,-0.00018879942737444477,0.00019080538024497662,normal_settle,-0.961,,
0.0,0.019807266961997184,0.0,-0.0019276577578406062,9.88829511269385,0.0,4,-0.00019080538024497662,0.00019273303800281666,normal_settle,-0.96,,
0.0,0.019805414329989918,0.0,-0.0018526320072630824,9.885025750577524,0.0,4,-0.00019273303800281666,0.00019458567001008273,normal_settle,-0.959,,
0.0,0.01980363359680016,0.0,-0.001780733189758541,9.881898817504542,0.0,4,-0.00019458567001008273,0.00019636640319984147,normal_settle,-0.958,,
0.0,0.019801921771565964,0.0,-0.0017118252341977644,9.878907955560777,0.0,4,-0.00019636640319984147,0.0001980782284340364,normal_settle,-0.957,,
0.0,0.019800275993426205,0.0,-0.0016457781397562954,9.87604709444147,0.0,4,-0.0001980782284340364,0.0001997240065737954,normal_settle,-0.956,,
0.0,0.0197986935257248,0.0,-0.0015824677014074382,9.873310438348858,0.0,4,-0.0001997240065737954,0.00020130647427520076,normal_settle,-0.955,,
0.0,0.01979717175047688,0.0,-0.0015217752479185992,9.87069245348884,0.0,4,-0.00020130647427520076,0.00020282824952311956,normal_settle,-0.954,,
0.0,0.0197957081630851,0.0,-0.0014635873917792227,9.868187856139377,0.0,4,-0.00020282824952311956,0.00020429183691490077,normal_settle,-0.953,,
0.0,0.019794300367294588,0.0,-0.0014077957905149496,9.865791601264274,0.0,4,-0.00020429183691490077,0.00020569963270541253,normal_settle,-0.952,,
0.0,0.019792946070375718,0.0,-0.0013542969188674884,9.863498871647462,0.0,4,-0.00020569963270541253,0.0002070539296242825,normal_settle,-0.951,,
0.0,0.019791643078524376,0.0,-0.001302991851343517,9.861305067523972,0.0,4,-0.0002070539296242825,0.0002083569214756248,normal_settle,-0.95,,
0.0,0.019790389292469717,0.0,-0.0012537860546588426,9.859205796684675,0.0,4,-0.0002083569214756248,0.00020961070753028332,normal_settle,-0.949,,
0.0,0.01978918270328009,0.0,-0.0012065891896254931,9.85719686503335,0.0,4,-0.00020961070753028332,0.0002108172967199111,normal_settle,-0.948,,
0.0,0.01978802138835804,0.0,-0.0011613149220503817,9.855274267575112,0.0,4,-0.0002108172967199111,0.00021197861164196086,normal_settle,-0.947,,
0.0,0.019786903507615805,0.0,-0.0011178807422337744,9.853434179816608,0.0,4,-0.00021197861164196086,0.00021309649238419534,normal_settle,-0.946,,
0.0,0.01978582729982313,0.0,-0.0010762077926746798,9.851672949559095,0.0,4,-0.00021309649238419534,0.00021417270017686993,normal_settle,-0.945,,
0.0,0.019784791079119523,0.0,-0.0010362207036083504,9.84998708906633,0.0,4,-0.00021417270017686993,0.0002152089208804775,normal_settle,-0.944,,
0.0,0.019783793231683507,0.0,-0.0009978474360181125,9.848373267590238,0.0,4,-0.0002152089208804775,0.0002162067683164938,normal_settle,-0.943,,
0.0,0.019782832212551726,0.0,-0.0009610191317802511,9.846828304237862,0.0,4,-0.0002162067683164938,0.000217167787448274,normal_settle,-0.942,,
0.0,0.01978190654258111,0.0,-0.0009256699706162125,9.84534916116404,0.0,4,-0.000217167787448274,0.00021809345741889002,normal_settle,-0.941,,
0.0,0.01978101480554757,0.0,-0.0008917370335413413,9.843932937074872,0.0,4,-0.00021809345741889002,0.00021898519445243125,normal_settle,-0.94,,
0.0,0.019780155645375053,0.0,-0.0008591601725135743,9.842576861027768,0.0,4,-0.00021898519445243125,0.00021984435462494775,normal_settle,-0.9390000000000001,,
0.0,0.019779327763489056,0.0,-0.0008278818859991209,9.841278286514454,0.0,4,-0.00021984435462494775,0.0002206722365109444,normal_settle,-0.938,,
0.0,0.01977852991628887,0.0,-0.0007978472001850588,9.840034685814063,0.0,4,-0.0002206722365109444,0.0002214700837111297,normal_settle,-0.937,,
0.0,0.01977776091273329,0.0,-0.0007690035555811754,9.838843644603884,0.0,4,-0.0002214700837111297,0.0002222390872667103,normal_settle,-0.9359999999999999,,
0.0,0.019777019612034524,0.0,-0.0007413006987651781,9.837702856815998,0.0,4,-0.0002222390872667103,0.0002229803879654768,normal_settle,-0.935,,
0.0,0.019776304921455486,0.0,-0.0007146905790366117,9.836610119728567,0.0,4,-0.0002229803879654768,0.0002236950785445141,normal_settle,-0.9339999999999999,,
0.0,0.019775615794205732,0.0,-0.0006891272497556162,9.835563329280996,0.0,4,-0.0002236950785445141,0.00022438420579426813,normal_settle,-0.933,,
0.0,0.01977495122743158,0.0,-0.0006645667741528296,9.834560475602787,0.0,4,-0.00022438420579426813,0.00022504877256842096,normal_settle,-0.9319999999999999,,
0.0,0.019774310260296173,0.0,-0.0006409671354065676,9.833599638746263,0.0,4,-0.00022504877256842096,0.0002256897397038271,normal_settle,-0.931,,
0.0,0.019773691972145378,0.0,-0.0006182881507927362,9.832678984613832,0.0,4,-0.0002256897397038271,0.00022630802785462284,normal_settle,-0.9299999999999999,,
0.0,0.01977309548075566,0.0,-0.0005964913897218196,9.831796761070917,0.0,4,-0.00022630802785462284,0.00022690451924434196,normal_settle,-0.929,,
0.0,0.01977251994066017,0.0,-0.0005755400954857723,9.830951294236048,0.0,4,-0.00022690451924434196,0.00022748005933983032,normal_settle,-0.9279999999999999,,
0.0,0.019771964541549628,0.0,-0.0005553991105457232,9.83014098494005,0.0,4,-0.00022748005933983032,0.00022803545845037285,normal_settle,-0.927,,
0.0,0.01977142850674443,0.0,-0.0005360348051992414,9.829364305346482,0.0,4,-0.00022803545845037285,0.00022857149325557213,normal_settle,-0.926,,
0.0,0.019770911091734955,0.0,-0.0005174150094731225,9.82861979572612,0.0,4,-0.00022857149325557213,0.00022908890826504533,normal_settle,-0.925,,
0.0,0.01977041158278686,0.0,-0.0004995089480948529,9.82790606137827,0.0,4,-0.00022908890826504533,0.00022958841721314183,normal_settle,-0.924,,
0.0,0.019769929295608456,0.0,-0.0004822871784024958,9.827221769692358,0.0,4,-0.00022958841721314183,0.00023007070439154398,normal_settle,-0.923,,
0.0,0.019769463574077398,0.0,-0.00046572153105925375,9.826565647343243,0.0,4,-0.00023007070439154398,0.00023053642592260268,normal_settle,-0.922,,
0.0,0.019769013789023952,0.0,-0.00044978505344502295,9.825936477614231,0.0,4,-0.00023053642592260268,0.00023098621097604813,normal_settle,-0.921,,
0.0,0.01976857933706835,0.0,-0.0004344519556030928,9.82533309784193,0.0,4,-0.00023098621097604813,0.0002314206629316501,normal_settle,-0.92,,
0.0,0.019768159639509723,0.0,-0.000419697558625737,9.824754396977356,0.0,4,-0.0002314206629316501,0.00023184036049027704,normal_settle,-0.919,,
0.0,0.019767754141264356,0.0,-0.0004054982453677223,9.824199313258015,0.0,4,-0.00023184036049027704,0.00023224585873564407,normal_settle,-0.918,,
0.0,0.019767362309850975,0.0,-0.0003918314133818637,9.823666831985859,0.0,4,-0.00023224585873564407,0.00023263769014902555,normal_settle,-0.917,,
0.0,0.019766983634420997,0.0,-0.0003786754299755711,9.823155983406293,0.0,4,-0.00023263769014902555,0.00023301636557900365,normal_settle,-0.916,,
0.0,0.019766617624831707,0.0,-0.00036600958929197176,9.8226658406836,0.0,4,-0.00023301636557900365,0.000233382375168293,normal_settle,-0.915,,
0.0,0.01976626381076038,0.0,-0.00035381407132353896,9.822195517968433,0.0,4,-0.000233382375168293,0.00023373618923961878,normal_settle,-0.914,,
0.0,0.019765921740857614,0.0,-0.0003420699027704455,9.821744168553094,0.0,4,-0.00023373618923961878,0.00023407825914238678,normal_settle,-0.913,,
0.0,0.01976559098193795,0.0,-0.00033075891965982156,9.821310983110624,0.0,4,-0.00023407825914238678,0.00023440901806204978,normal_settle,-0.912,,
0.0,0.019765271118206307,0.0,-0.0003198637316458939,9.820895188013928,0.0,4,-0.00023440901806204978,0.00023472888179369364,normal_settle,-0.911,,
0.0,0.01976496175051839,0.0,-0.00030936768791472606,9.820496043731168,0.0,4,-0.00023472888179369364,0.0002350382494816089,normal_settle,-0.91,,
0.0,0.01976466249567377,0.0,-0.0002992548446206467,9.82011284329408,0.0,4,-0.0002350382494816089,0.00023533750432622874,normal_settle,-0.909,,
0.0,0.019764372985739985,0.0,-0.00028950993378491676,9.81974491083573,0.0,4,-0.00023533750432622874,0.00023562701426001545,normal_settle,-0.908,,
0.0,0.019764092867406397,0.0,-0.0002801183335902007,9.819391600194717,0.0,4,-0.00023562701426001545,0.00023590713259360324,normal_settle,-0.907,,
0.0,0.019763821801366387,0.0,-0.000271066040007586,9.819052293582615,0.0,4,-0.00023590713259360324,0.0002361781986336131,normal_settle,-0.906,,
