tag,success,failure_mode,solref_timeconst_ms,solref_dampratio,final_cube_z_m,max_relative_slip_mm,max_orientation_drift_deg,max_penetration_mm,arm_tracking_rms_rad,torque_saturation_ratio,wall_s
m0.1_mu0.1,False,static_slip,3.0,0.75,0.1943970496490183,10.899293463874244,1.4517711263639872,0.22406461339541892,0.0906053383900135,0.5648780487804878,0.8541937499539927
m0.1_mu0.15,False,static_slip,3.0,0.75,0.19998448220427723,7.851348959120314,4.274906336454235,0.18758935143965363,0.07777390011507576,0.5651219512195121,0.9317004160257056
m0.1_mu0.2,False,static_slip,3.0,0.75,0.19727136613205531,6.307010278911745,1.307829352458058,0.22585056649969784,0.0774131152311956,0.5653658536585365,0.8641162919811904
m0.1_mu0.25,False,static_slip,3.0,0.75,0.19609445980069115,5.146365469688372,1.4299565645838783,0.22921484440781847,0.07794462216295611,0.5653658536585365,0.8699513750034384
m0.1_mu0.3,False,static_slip,3.0,0.75,0.1949384331592005,7.373033565202112,2.2076522082847365,0.22248875942031757,0.078994735773562,0.5656097560975609,0.8641225839965045
m0.2_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954343,365.90884977615235,45.13474556361423,0.979281317805671,0.07588927400373736,0.19841463414634147,0.7883109590038657
m0.2_mu0.15,False,transfer_slip,3.0,0.75,0.01999861663995437,176.8588825206037,45.21595546481596,1.3878466876613977,0.08572883735423951,0.4852439024390244,0.848838749981951
m0.2_mu0.2,False,static_slip,3.0,0.75,0.18974080461354512,11.079286911541667,7.519989513136004,0.15781209760384254,0.1018888970501421,0.5651219512195121,0.8729261249536648
m0.2_mu0.25,False,static_slip,3.0,0.75,0.19270861237781375,9.873292319220454,3.776078220681652,0.21426366087074802,0.09865383265669393,0.5651219512195121,0.8665104999672621
m0.2_mu0.3,False,static_slip,3.0,0.75,0.19148925771490174,9.408540949928772,1.026143944392409,0.19136644731988703,0.08708912336834523,0.5651219512195121,0.853240791009739
m0.3_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954354,363.15433688995626,38.22801553420374,0.44642909476630177,0.07577216866059085,0.10170731707317072,0.750933209026698
m0.3_mu0.15,False,normal_contact_instability,3.0,0.75,0.01999861663995438,357.1000305140115,47.15800079191129,2.0119366971433994,0.0923969305078961,0.24707317073170731,0.7994372499524616
m0.3_mu0.2,False,normal_contact_instability,3.0,0.75,0.019998616639954354,202.4988729150149,30.797144254630982,2.2137428829435364,0.07748498144799036,0.31365853658536585,0.8207396660000086
m0.3_mu0.25,False,transfer_slip,3.0,0.75,0.019998616639954357,184.29900214588758,51.80090919008136,1.8396758425537367,0.08503111813764246,0.37853658536585366,0.8389426659559831
m0.3_mu0.3,False,transfer_slip,3.0,0.75,0.01999861663995437,178.31269584818347,12.72079636485592,3.1784216272621513,0.08281406179740824,0.47280487804878046,0.8410596670000814
m0.4_mu0.1,False,normal_contact_instability,3.0,0.75,0.01999861663995435,366.07913129531846,38.22847873825885,0.3066439667490464,0.07578577412174861,0.09890243902439025,0.7513276250101626
m0.4_mu0.15,False,normal_contact_instability,3.0,0.75,0.019998616639954333,373.25405330450366,38.18871295190844,0.6605292768942916,0.07573761134541152,0.1075609756097561,0.7457270000013523
m0.4_mu0.2,False,normal_contact_instability,3.0,0.75,0.01999861663995438,361.1951411925013,47.89104827294206,1.8113440070437579,0.0761634411381484,0.17170731707317075,0.7746455420274287
m0.4_mu0.25,False,normal_contact_instability,3.0,0.75,0.01999861663995434,379.08354741913286,34.969576207113796,1.94040917535204,0.10230882768426017,0.2596341463414634,0.7997647920274176
m0.4_mu0.3,False,normal_contact_instability,3.0,0.75,0.019998616639954354,273.1374173988839,23.425647636245458,1.3760712337750127,0.07994773531967096,0.28341463414634144,0.7908672500052489
m0.5_mu0.1,False,normal_contact_instability,3.0,0.75,0.019998616639954336,358.8840333365871,38.227761255929956,0.3461062751192341,0.07578959633497515,0.10121951219512196,0.755176583013963
m0.5_mu0.15,False,normal_contact_instability,3.0,0.75,0.019998616639954357,362.4347530011376,38.23210418874841,0.5143673644970406,0.0757747924706328,0.09939024390243903,0.7506277919746935
m0.5_mu0.2,False,normal_contact_instability,3.0,0.75,0.019998616639954336,371.4312381505019,38.190203670839004,0.6469462624272784,0.07568764834329411,0.11170731707317073,0.7487780000083148
m0.5_mu0.25,False,normal_contact_instability,3.0,0.75,0.019998616639954378,399.80968005313963,48.69154116302528,1.533385230551085,0.12321255432381567,0.25439024390243903,0.790304041991476
m0.5_mu0.3,False,normal_contact_instability,3.0,0.75,0.019998616639954395,406.8257710925988,45.65415615660757,1.3661748494952992,0.07692662301496166,0.21060975609756097,0.7736507089575753
m0.6_mu0.1,False,normal_contact_instability,3.0,0.75,0.01999861663995436,362.21815021171557,38.19980642178204,0.23339808816124363,0.07579215798898706,0.09878048780487805,0.7464577500359155
m0.6_mu0.15,False,normal_contact_instability,3.0,0.75,0.01999861663995436,357.74217213750086,38.224748066421604,0.4628509620045294,0.07578258177102253,0.10121951219512196,0.789722207991872
m0.6_mu0.2,False,normal_contact_instability,3.0,0.75,0.01999861663995434,360.2753354009534,38.26348735294265,0.3516451524701094,0.07572624881777558,0.10207317073170731,0.7448217499768361
m0.6_mu0.25,False,normal_contact_instability,3.0,0.75,0.019998616639954357,366.55050146771924,38.2228531634267,0.6891482750267773,0.07563967231116245,0.1171951219512195,0.7411722910474055
m0.6_mu0.3,False,normal_contact_instability,3.0,0.75,0.01999861663995438,400.5833234516304,53.139390910983956,0.9584692062707808,0.07604841796592901,0.14268292682926828,0.7511982079595327
