engine,device,mu,mass_kg,compression_per_side_mm,dt_ms,pair_ke_N_m,pair_tau_ms,N_measured_per_side_N,capacity_ratio_2muN_over_mg,normal_gate_pass,lift_follow_mm,slip_distance_mm,mean_abs_vt_mm_s,left_duty_lift,right_duty_lift,left_rho_mean_lift,right_rho_mean_lift,max_candidate_contacts,max_truncated_contacts,valid_for_force_comparison,grasp_success,wall_s
sap_warp,cuda:0,0.1,0.1,0.05,0.5,10000.0,3.0,5.999952554702759,1.223231917370593,True,59.01222422821384,0.0020007180228276407,0.0016038483554439154,1.0,1.0,0.8183430245352915,0.8185474161874908,128,0,True,True,17.102790942415595
sap_warp,cuda:0,0.1,0.25,0.05,0.5,10000.0,3.0,5.999952554702759,0.4892927669482372,True,-5843.576000876055,5899.952598442692,4730.655349622386,0.158,0.158,1.0000000149011612,1.0000000149011612,128,0,True,False,16.168561230413616
sap_warp,cuda:0,0.2,0.1,0.05,0.5,10000.0,3.0,5.999952554702759,2.446463834741186,True,59.01222422821384,0.0020007180228276407,0.0016038483554439154,1.0,1.0,0.40917151226764575,0.4092737080937454,128,0,True,True,16.056587680242956
sap_warp,cuda:0,0.2,0.25,0.05,0.5,10000.0,3.0,5.999952554702759,0.9785855338964744,True,51.071170854072534,7.899313242652948,6.335910462485998,1.0,1.0,0.9926281063354877,0.9926283179844853,128,0,True,False,16.12147353682667
sap_warp,cuda:0,0.4,0.1,0.05,0.5,10000.0,3.0,5.999952554702759,4.892927669482372,True,59.01222422821384,0.0020007180228276407,0.0016038483554439154,1.0,1.0,0.20458575613382288,0.2046368540468727,128,0,True,True,16.149262685328722
sap_warp,cuda:0,0.4,0.25,0.05,0.5,10000.0,3.0,5.999952554702759,1.9571710677929488,True,58.970375428675226,0.0020013625832859816,0.0016043623788846162,1.0,1.0,0.5116083138889174,0.5116084783836413,128,0,True,True,16.009127594530582
sap_warp,cuda:0,0.1,0.1,0.2,0.5,10000.0,3.0,12.000054121017456,2.4464942142747104,True,59.012213046832684,0.0019973828284491897,0.001601174928509863,1.0,1.0,0.4093508104090803,0.4093488982791722,128,0,True,True,16.471815480850637
sap_warp,cuda:0,0.1,0.25,0.2,0.5,10000.0,3.0,12.000054121017456,0.9785976857098843,True,32.67427352648156,26.292727143597112,21.078268178209953,1.0,1.0,0.9955809465720912,0.9955780330680312,128,0,True,False,16.564256001263857
sap_warp,cuda:0,0.2,0.1,0.2,0.5,10000.0,3.0,12.000054121017456,4.892988428549421,True,59.012213046832684,0.0019973828284491897,0.001601174928509863,1.0,1.0,0.20467540520454014,0.2046744491395861,128,0,True,True,16.36869067978114
sap_warp,cuda:0,0.2,0.25,0.2,0.5,10000.0,3.0,12.000054121017456,1.9571953714197685,True,58.97036424580193,0.001997146143821737,0.0016009829523682129,1.0,1.0,0.511526478392876,0.5115277479285532,128,0,True,True,16.29642126429826
sap_warp,cuda:0,0.4,0.1,0.2,0.5,10000.0,3.0,12.000054121017456,9.785976857098841,True,59.012213046832684,0.0019973828284491897,0.001601174928509863,1.0,1.0,0.10233770260227007,0.10233722456979305,128,0,True,True,16.210330777801573
sap_warp,cuda:0,0.4,0.25,0.2,0.5,10000.0,3.0,12.000054121017456,3.914390742839537,True,58.97036424580193,0.001997146143821737,0.0016009829523682129,1.0,1.0,0.255763239196438,0.2557638739642766,128,0,True,True,16.28854274842888
