time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_contacts,ground_bottom_gap_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_contacts,bottom_middle_gap_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_contacts,middle_top_gap_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,-3.9031110790292205e-20,29.72605112235365,2.8640878858623985e-15,1.926988468178094e-16,4,-4.208814877317002e-06,0.0,1.651962237411043e-20,19.918991490683247,2.8213937632861e-15,2.8328680843161726e-16,4,-3.2968421498288936e-06,0.0,4.0457247418854834e-20,9.929371831399118,1.808533476823111e-15,3.6427953500624946e-16,4,-4.56944623158928e-06,0.00024243859335585074,-0.00015751322061156487,0.0005064269709419481,1
0.01,0.0,0.0,-2.9021762950187866e-20,29.34830779934632,1.2135077452188074e-15,8.269694822035608e-17,4,-3.4916120376683735e-06,0.0,9.852182418879002e-21,19.561557984960036,1.4131210668329597e-15,1.4447939861635175e-16,4,-4.131483856889551e-06,0.0,3.226513148992699e-20,9.751747730223757,7.127231102207953e-16,1.4617341012869733e-16,4,-2.7290726804587995e-06,7.142407087936957e-05,-1.4705694436441605e-06,0.00017754574357331925,1
0.015,0.0,0.0,-2.32789150431086e-20,29.412418049046067,4.623400492319661e-15,3.143842498505227e-16,4,-3.3234715934200854e-06,0.0,7.869909090022552e-21,19.60754337311957,4.878429714528432e-15,4.976074382899373e-16,4,-4.3128510595624725e-06,0.0,2.6761117792437793e-20,9.7973278515152,2.981265354381618e-15,6.085874433446773e-16,4,-2.303464087562157e-06,1.507966415577949e-05,-2.7948846129236045e-06,3.608872682990019e-05,1
0.02,0.0,0.0,-9.87936636883909e-21,29.426693571956427,1.1618136767536068e-14,7.896324973872109e-16,4,-3.2883399173587458e-06,0.0,-7.532835424992909e-22,19.617758741209574,7.710357818881165e-15,7.860589907943548e-16,4,-4.357685491090946e-06,0.0,1.6736661418938232e-20,9.807489786370994,2.3555359672472686e-15,4.80354508351494e-16,4,-2.211456970824255e-06,3.1411863598577677e-06,-1.2539540385146438e-06,7.1427342255759004e-06,1
0.025,0.0,0.0,-1.7409200716553185e-20,29.429384702987043,6.631143716553137e-15,4.50647798686738e-16,4,-3.281002303387459e-06,0.0,1.0097057418975154e-21,19.619606883212512,4.971784557925455e-15,5.068179589448915e-16,4,-4.368604246608732e-06,0.0,2.6429458626671632e-20,9.809503146441767,2.7578805402806953e-15,5.622875081662154e-16,4,-2.1915625373000736e-06,6.589673044789473e-07,-3.986152761022494e-07,1.4206388632787258e-06,1
0.03,0.0,0.0,-2.788635350967734e-20,29.42988543092157,6.6011584739752575e-15,4.486023902111092e-16,4,-3.2794575168526574e-06,0.0,1.0446536608889336e-20,19.619932163519906,4.814697402966124e-15,4.9079653923761015e-16,4,-4.371210873564679e-06,0.0,3.353034023268124e-20,9.80990094361797,1.843507061898469e-15,3.7584621343150256e-16,4,-2.1872455124652412e-06,1.393914072844121e-07,-1.1076418068751214e-07,2.8479002921557904e-07,1
0.035,0.0,0.0,-3.396252822944313e-20,29.429978624377053,1.842970565708309e-15,1.2524443794068975e-16,4,-3.27912963848237e-06,0.0,1.439706696652444e-20,19.619988535116097,1.9126383731033675e-15,1.9496834768074444e-16,4,-4.371823838549005e-06,0.0,3.802193044386968e-20,9.809980089995108,1.0683300815866398e-15,2.178047400271885e-16,4,-2.186305592205562e-06,2.9716631379789713e-08,-2.870626954682497e-08,5.7564776012178826e-08,1
0.04,0.0,0.0,-3.1406674738229974e-20,29.42999600162586,5.165556754657587e-15,3.5104026207629904e-16,4,-3.27905952115376e-06,0.0,6.754933326470899e-21,19.619998119466366,2.6756948913402694e-15,2.7275179896021764e-16,4,-4.37196636795395e-06,0.0,3.8029342926321094e-20,9.809995964780438,2.4287141262859057e-16,4.9515089200962054e-17,4,-2.186100351200815e-06,6.380509797116427e-09,-7.133713859248205e-09,1.1732608619333589e-08,1
0.045,0.0,0.0,-3.281723526329641e-20,29.429999249756435,1.4672579961259641e-15,9.971172501053375e-17,4,-3.2790444239559624e-06,0.0,5.309955343224004e-21,19.61999970544945,1.0698505396874181e-15,1.0905714125880108e-16,4,-4.371999227092971e-06,0.0,4.023012336351738e-20,9.809999175373749,2.988041318267357e-16,6.091827868382092e-17,4,-2.186055422057076e-06,1.378750044073694e-09,-1.7243737465206712e-09,2.4109326788567533e-09,1
0.05,0.0,0.0,-2.0518558056311697e-20,29.429999858694174,5.560228363230107e-15,3.778612565359909e-16,4,-3.279041153519957e-06,0.0,-2.2079284459138238e-21,19.619999957350316,4.76379852501253e-15,4.856063746552507e-16,4,-4.372006752538515e-06,0.0,2.9723008641528374e-20,9.809999830107856,2.9425591905258026e-15,5.999101409757008e-16,4,-2.186045565469308e-06,2.996210197120027e-10,-4.0883498681542306e-10,4.993678941721819e-10,1
