engine,mujoco_version,force_N,stiffness_N_m,dt_ms,solimp_d,solref_damping,duration_s,expected_total_compression_mm,measured_total_compression_mm,relative_error_pct,max_contact_penetration_mm,final_speed_max,tail_speed_max,solver_iterations_mean,solver_iterations_max,wall_s
mujoco,3.12.0,10.0,10000.0,0.1,0.001,0.1414213562373095,3.0,1.9980000000000002,0.00041242434783983484,-99.97935814074876,0.00722244247470415,0.017300525040796804,0.29073645635146134,6.346133333333333,14,0.8214054590207525
mujoco,3.12.0,10.0,10000.0,0.25,0.001,0.1414213562373095,3.0,1.9980000000000002,-0.019870911775410338,-100.99454012889942,0.025027071650079696,0.2605530732840907,0.6239814344258802,4.34825,12,0.21017329097958282
mujoco,3.12.0,10.0,10000.0,0.5,0.001,0.1414213562373095,3.0,1.9980000000000002,-38.225748742705235,-2013.2006377730347,0.7959095837604263,23.618798559551124,35.3316794286194,0.36333333333333334,8,0.03237704202183522
mujoco,3.12.0,10.0,10000.0,1.0,0.001,0.1414213562373095,3.0,1.9980000000000002,-257584.5176336877,-12892217.99968407,40.51929505212286,4101.645822418081,4544.503999308601,0.010666666666666666,9,0.013594375021057203
mujoco,3.12.0,10.0,100000.0,0.1,0.001,0.4472135954999579,3.0,0.1998,-0.001479085435768246,-100.74028300088501,0.0054482474210487295,0.11470231934767366,0.40002752620300935,3.257,12,0.3971330409985967
mujoco,3.12.0,10.0,100000.0,0.25,0.001,0.4472135954999579,3.0,0.1998,-1830387.4969376237,-916109958.327139,24.23011535941595,3555.4678305843145,4859.574627173683,0.01025,8,0.05315029199118726
mujoco,3.12.0,10.0,100000.0,0.5,0.001,0.4472135954999579,3.0,0.1998,-1285421.2638491367,-643354085.9104788,179.14996750532413,8649.198852140573,8649.198852140573,0.0021666666666666666,2,0.025318542000604793
mujoco,3.12.0,10.0,100000.0,1.0,0.001,0.4472135954999579,3.0,0.1998,-229264.69605311638,-114747195.12167986,2.3851354935756492,237.1671867842638,237.1671867842638,0.0026666666666666666,2,0.013023792009335011
mujoco,3.12.0,10.0,1000000.0,0.1,0.001,1.4142135623730951,3.0,0.01998,-17348615.476127815,-86829907387.927,46.93935054322933,37091.13620520589,37091.13620520589,0.0021,9,0.13413037499412894
mujoco,3.12.0,10.0,1000000.0,0.25,0.001,1.4142135623730951,3.0,0.01998,-163180.95934322613,-816721618.234365,15.156420323303951,3748.5289997704263,3748.5289997704263,0.0008333333333333334,2,0.05134054200607352
mujoco,3.12.0,10.0,1000000.0,0.5,0.001,1.4142135623730951,3.0,0.01998,-436002.86429649097,-2182196618.000455,5.461526495335944,2724.5720287559348,2726.1620287559695,0.0016666666666666668,2,0.02585999999428168
mujoco,3.12.0,10.0,1000000.0,1.0,0.001,1.4142135623730951,3.0,0.01998,-7477841.233134883,-37426632898.472885,2496.4695855806103,2497505.6782060927,2497505.6782060927,0.0026666666666666666,2,0.012722582992864773
mujoco,3.12.0,10.0,10000000.0,0.1,0.001,4.47213595499958,3.0,0.001998,-315709.6585867214,-15801284313.54962,11.105604480565857,11042.910954636985,11042.910954636985,0.0003333333333333333,2,0.12889283301774412
mujoco,3.12.0,10.0,10000000.0,0.25,0.001,4.47213595499958,3.0,0.001998,-83968.86557693811,-4202646024.7716775,9.577631957222982,23948.615359313455,23948.615359313455,0.0006666666666666666,2,0.051414124987786636
mujoco,3.12.0,10.0,10000000.0,0.5,0.001,4.47213595499958,3.0,0.001998,-5888011.1499007465,-294695252847.78503,43.06328036296861,8546.654937995345,8546.654937995345,0.007666666666666666,2,0.027226207981584594
mujoco,3.12.0,10.0,10000000.0,1.0,0.001,4.47213595499958,3.0,0.001998,-3713579.42933363,-185864836402.98447,0.1407642099608246,1385.1160503379326,1390.106050337928,0.002,2,0.012942667002789676
mujoco,3.12.0,10.0,100000000.0,0.1,0.001,14.142135623730951,3.0,0.0001998,-69345.18854075762,-34707301671.95076,3.354019749048059,33554.116229274936,33554.116229274936,0.0002666666666666667,2,0.12818875000812113
mujoco,3.12.0,10.0,100000000.0,0.25,0.001,14.142135623730951,3.0,0.0001998,-4762343.620579603,-2383555365755.457,48.49318598969324,1788.1600143453672,1793.1575143454763,0.004,2,0.05192904197610915
mujoco,3.12.0,10.0,100000000.0,0.5,0.001,14.142135623730951,3.0,0.0001998,-28460427.715460885,-14244458316146.49,0.21621615491349347,10789.986896225739,10794.98189622494,0.0011666666666666668,2,0.02593100001104176
mujoco,3.12.0,10.0,100000000.0,1.0,0.001,14.142135623730951,3.0,0.0001998,-77256700.76801504,-38667017401508.93,2.2351560528103867,223544.97766949114,223544.97766949114,0.0026666666666666666,2,0.012937833002069965
mujoco,3.12.0,10.0,1000000000.0,0.1,0.001,44.721359549995796,3.0,1.9980000000000002e-05,-58456807.678642325,-292576615008319.8,19.61280292685043,32004.484861858946,32009.483861859964,0.0081,2,0.13146624999353662
mujoco,3.12.0,10.0,1000000000.0,0.25,0.001,44.721359549995796,3.0,1.9980000000000002e-05,-119202624.37565851,-596609731610002.5,0.42849764320060035,107141.8530315994,107141.8530315994,0.0006666666666666666,2,0.052100708009675145
mujoco,3.12.0,10.0,1000000000.0,0.5,0.001,44.721359549995796,3.0,1.9980000000000002e-05,-339.6311670868959,-1699855791.1256049,0.0027168563780969987,0.00499999826527653,679.2769004506486,1.333,2,0.2516747920017224
mujoco,3.12.0,10.0,1000000000.0,1.0,0.001,44.721359549995796,3.0,1.9980000000000002e-05,-6735.070248012788,-33709060400.364304,0.013469588285602851,0.00999999653055306,6735.096778403685,1.3326666666666667,2,0.05183324997778982
