phase,time_from_release_s,x_m,z_m,vx_m_s,vz_m_s,normal_force_N,friction_force_x_N,active_contact_points,phi_min_m,geometric_penetration_m,analytic_vx_m_s,analytic_x_m
normal_settle,-0.99825,0.0,0.019984548911452293,0.0,-0.014840809628367424,2.398915361822037,0.0,4,-1.1740252375602722e-05,1.545108854770702e-05,,
normal_settle,-0.998,0.0,0.019980398938059807,0.0,-0.016599325463175774,2.775937959471753,0.0,4,-1.545064151287079e-05,1.9601061940193593e-05,,
normal_settle,-0.99775,0.0,0.019975833594799042,0.0,-0.018262295052409172,3.15812294345157,0.0,4,-1.960061490535736e-05,2.4166405200958668e-05,,
normal_settle,-0.9975,0.0,0.01997087523341179,0.0,-0.01982870325446129,3.544369702448989,0.0,4,-2.4165958166122437e-05,2.9124766588211476e-05,,
normal_settle,-0.99725,0.0,0.019965551793575287,0.0,-0.02129778265953064,3.933684494980957,0.0,4,-2.9124319553375244e-05,3.444820642471355e-05,,
normal_settle,-0.997,0.0,0.019959883764386177,0.0,-0.02266906015574932,4.324888289217716,0.0,4,-3.444775938987732e-05,4.011623561382335e-05,,
normal_settle,-0.99675,0.0,0.019953899085521698,0.0,-0.02394227869808674,4.717127750138675,0.0,4,-4.011578857898712e-05,4.610091447830242e-05,,
normal_settle,-0.9965,0.0,0.01994762010872364,0.0,-0.025117456912994385,5.109288104917207,0.0,4,-4.6100467443466187e-05,5.2379891276359974e-05,,
normal_settle,-0.99625,0.0,0.019941071048378944,0.0,-0.026194831356406212,5.5005057717298795,0.0,4,-5.237944424152374e-05,5.892895162105602e-05,,
normal_settle,-0.996,0.0,0.01993427611887455,0.0,-0.02717486396431923,5.8898724472297665,0.0,4,-5.892850458621979e-05,6.572388112545055e-05,,
normal_settle,-0.99575,0.0,0.019927261397242546,0.0,-0.028058236464858055,6.276508205220956,0.0,4,-6.572343409061432e-05,7.273860275745433e-05,,
normal_settle,-0.9955,0.0,0.019920051097869873,0.0,-0.02884586527943611,6.659488632505951,0.0,4,-7.27381557226181e-05,7.994890213012737e-05,,
normal_settle,-0.99525,0.0,0.019912665709853172,0.0,-0.029538867995142937,7.037991026234695,0.0,4,-7.994845509529114e-05,8.733429014682811e-05,,
normal_settle,-0.995,0.0,0.019905131310224533,0.0,-0.03013852797448635,7.411362333097078,0.0,4,-8.733384311199188e-05,9.486868977546734e-05,,
normal_settle,-0.99475,0.0,0.019897470250725746,0.0,-0.030646339058876038,7.778753890472286,0.0,4,-9.48682427406311e-05,0.00010252974927425426,,
normal_settle,-0.9945,0.0,0.019889703020453453,0.0,-0.03106396645307541,8.139487857889,0.0,4,-0.00010252930223941803,0.00011029697954654735,,
normal_settle,-0.99425,0.0,0.019881855696439743,0.0,-0.03139322251081467,8.492980131478424,0.0,4,-0.00011029653251171112,0.00011814430356025737,,
normal_settle,-0.994,0.0,0.01987394690513611,0.0,-0.031636111438274384,8.838448652841965,0.0,4,-0.00011814385652542114,0.00012605309486389202,,
normal_settle,-0.99375,0.0,0.01986599713563919,0.0,-0.03179475665092468,9.17542416168519,0.0,4,-0.00012605264782905579,0.00013400286436080974,,
normal_settle,-0.9935,0.0,0.01985803060233593,0.0,-0.03187141194939613,9.503380246528975,0.0,4,-0.0001340024173259735,0.00014196939766407055,,
normal_settle,-0.99325,0.0,0.01985006220638752,0.0,-0.03186849504709244,9.821662591254087,0.0,4,-0.00014196895062923431,0.00014993779361248058,,
normal_settle,-0.993,0.0,0.0198421161621809,0.0,-0.03178849443793297,10.129998320603699,0.0,4,-0.00014993734657764435,0.00015788383781909984,,
normal_settle,-0.99275,0.0,0.019834207370877266,0.0,-0.03163405507802963,10.42776266821914,0.0,4,-0.0001578833907842636,0.00016579262912273449,,
normal_settle,-0.9925,0.0,0.019826354458928108,0.0,-0.031407877802848816,10.714711370516508,0.0,4,-0.00016579218208789825,0.0001736455410718922,,
normal_settle,-0.99225,0.0,0.01981857791543007,0.0,-0.031112762168049812,10.990462878395416,0.0,4,-0.00017364509403705597,0.00018142208456993145,,
normal_settle,-0.992,0.0,0.019810888916254044,0.0,-0.03075161762535572,11.254575911829797,0.0,4,-0.00018142163753509521,0.00018911108374595684,,
normal_settle,-0.99175,0.0,0.019803307950496674,0.0,-0.03032737225294113,11.506983830520603,0.0,4,-0.0001891106367111206,0.00019669204950332683,,
normal_settle,-0.9915,0.0,0.019795846194028854,0.0,-0.029843056574463844,11.74726153645351,0.0,4,-0.0001966916024684906,0.00020415380597114605,,
normal_settle,-0.99125,0.0,0.01978852041065693,0.0,-0.029301717877388,11.975357633253566,0.0,4,-0.00020415335893630981,0.0002114795893430714,,
normal_settle,-0.991,0.0,0.019781343638896942,0.0,-0.028706466779112816,12.191006353482388,0.0,4,-0.00021147914230823517,0.00021865636110305828,,
normal_settle,-0.99075,0.0,0.01977432891726494,0.0,-0.028060443699359894,12.394094224620254,0.0,4,-0.00021865591406822205,0.00022567108273506206,,
normal_settle,-0.9905,0.0,0.019767487421631813,0.0,-0.027366815134882927,12.584511526497993,0.0,4,-0.00022567063570022583,0.00023251257836818737,,
normal_settle,-0.99025,0.0,0.01976083032786846,0.0,-0.026628758758306503,12.762223982840027,0.0,4,-0.00023251213133335114,0.0002391696721315388,,
normal_settle,-0.99,0.0,0.01975436881184578,0.0,-0.025849459692835808,12.927198724502254,0.0,4,-0.00023916922509670258,0.000245631188154221,,
normal_settle,-0.98975,0.0,0.019748110324144363,0.0,-0.025032108649611473,13.079403820428196,0.0,4,-0.00024563074111938477,0.000251889675855637,,
normal_settle,-0.9895,0.0,0.01974206417798996,0.0,-0.024179870262742043,13.21895236430086,0.0,4,-0.0002518892288208008,0.0002579358220100407,,
normal_settle,-0.98925,0.0,0.019736241549253464,0.0,-0.023295899853110313,13.345882005909642,0.0,4,-0.00025793537497520447,0.00026375845074653667,,
normal_settle,-0.989,0.0,0.019730646163225174,0.0,-0.02238336019217968,13.46015706184752,0.0,4,-0.00026375800371170044,0.00026935383677482647,,
normal_settle,-0.98875,0.0,0.019725283607840538,0.0,-0.02144535258412361,13.562031429142621,0.0,4,-0.00026935338973999023,0.0002747163921594624,,
normal_settle,-0.9885,0.0,0.019720163196325302,0.0,-0.020484933629631996,13.65167910501318,0.0,4,-0.00027471594512462616,0.0002798368036746983,,
normal_settle,-0.98825,0.0,0.019715286791324615,0.0,-0.019505152478814125,13.729124136977862,0.0,4,-0.00027983635663986206,0.00028471320867538494,,
normal_settle,-0.988,0.0,0.019710659980773926,0.0,-0.01850898377597332,13.794678276815207,0.0,4,-0.0002847127616405487,0.00028934001922607464,,
normal_settle,-0.98775,0.0,0.019706284627318382,0.0,-0.01749935932457447,13.848499574253625,0.0,4,-0.0002893395721912384,0.00029371537268161815,,
normal_settle,-0.9875,0.0,0.019702164456248283,0.0,-0.016479138284921646,13.890885006191363,0.0,4,-0.0002937149256467819,0.00029783554375171703,,
normal_settle,-0.98725,0.0,0.01969830133020878,0.0,-0.015451125800609589,13.922050242585344,0.0,4,-0.0002978350967168808,0.00030169866979122203,,
