time_s,force_command_N,ground_bottom_slip_m,ground_bottom_vt_m_s,ground_bottom_Fn_N,ground_bottom_Ft_N,ground_bottom_rho,ground_bottom_point_rho_max,ground_bottom_contacts,ground_bottom_gap_m,ground_bottom_dist_min_m,bottom_middle_slip_m,bottom_middle_vt_m_s,bottom_middle_Fn_N,bottom_middle_Ft_N,bottom_middle_rho,bottom_middle_point_rho_max,bottom_middle_contacts,bottom_middle_gap_m,bottom_middle_dist_min_m,middle_top_slip_m,middle_top_vt_m_s,middle_top_Fn_N,middle_top_Ft_N,middle_top_rho,middle_top_point_rho_max,middle_top_contacts,middle_top_gap_m,middle_top_dist_min_m,box_0_vz_m_s,box_1_vz_m_s,box_2_vz_m_s,solver_iterations
0.005,0.0,0.0,7.638760091501591e-19,29.062047523035442,8.980849914269526e-16,6.180466057769011e-17,6.818597427012131e-16,4,-9.71426337422615e-07,-1.0206258983687377e-06,0.0,-1.2600637048414378e-18,19.315974695549425,1.5297502996505985e-15,1.58392245150649e-16,3.772456448605097e-16,4,-1.0217551253688395e-06,-1.005114594741791e-06,0.0,-1.778657944740442e-19,9.556361473767502,8.006458868361432e-16,1.6756291377925377e-16,5.744629450539984e-16,4,-1.0667222555965639e-06,-1.2292226749255388e-06,9.83991218911763e-05,6.511806064080024e-05,0.00039011889929691147,2
0.01,0.0,0.0,-1.6038465139227266e-20,29.409131209823645,1.1692933860189916e-14,7.951907029667085e-16,8.549580116056244e-16,4,-8.289507922101813e-07,-8.319174489117287e-07,0.0,-4.288740807150866e-20,19.60297230579309,8.712084015891469e-15,8.888533718243192e-16,9.520212739201889e-16,4,-1.0856190274452504e-06,-1.083647750907424e-06,0.0,-6.777983653827751e-19,9.794792054301492,7.08933349453422e-15,1.447572027100026e-15,1.603929809462084e-15,4,-5.809491404884515e-07,-5.916796605998432e-07,5.933313402075944e-06,1.990760328934483e-06,2.3451800548047628e-05,2
0.015,0.0,0.0,2.2562462531909746e-19,29.428818195862682,8.642050231036721e-15,5.873188772664805e-16,9.628273342275166e-16,4,-8.203315900595642e-07,-8.205122287475997e-07,0.0,-6.446238210972697e-19,19.61905110432234,1.3271679571053123e-14,1.3529379683535452e-15,1.6183419376868599e-15,4,-1.0923719592700887e-06,-1.0921886385504136e-06,0.0,-8.103672082442249e-20,9.809081993281513,9.477469610989029e-15,1.932386663192414e-15,1.998103187307395e-15,4,-5.488056906699512e-07,-5.495183434123269e-07,3.612773762847939e-07,-5.364063447354404e-09,1.419941422756586e-06,2
0.02,0.0,0.0,1.3575297960239926e-18,29.429933167299254,1.2181998395642794e-15,8.278644960824232e-17,1.5933432565697762e-15,4,-8.198048723935536e-07,-8.198159892544576e-07,0.0,-1.7957299499406835e-18,19.619947436254307,5.211932108184043e-15,5.312891000465459e-16,1.0261241854978387e-15,4,-1.0929727994948846e-06,-1.0929574285542947e-06,0.0,8.101747033644176e-19,9.8099441690023,5.695400585699476e-15,1.1611484199259648e-15,1.49266128937066e-15,4,-5.466669881076802e-07,-5.467145609144863e-07,2.2233724877549077e-08,-8.508172225129449e-09,8.66374339910642e-08,2
0.025,0.0,0.0,-4.383784584773883e-19,29.429996226691582,1.4845159712057446e-15,1.0088455056337115e-16,5.004756013000003e-16,4,-8.197723312293459e-07,-8.197730232001321e-07,0.0,1.6315391148200285e-19,19.61999711062176,5.276521429332052e-15,5.378717845453178e-16,7.4148656340863215e-16,4,-1.0930220230645493e-06,-1.093020805607896e-06,0.0,2.8054479858260497e-19,9.809996577394115,2.9589085554081827e-15,6.032435449012511e-16,7.451442270244477e-16,4,-5.465239866636606e-07,-5.465271767576886e-07,1.3839409968215177e-09,-1.050980709282221e-09,5.329203002111854e-09,2
0.03,0.0,0.0,6.319062719059829e-20,29.429999787374545,6.743455321488769e-15,4.582708372550997e-16,7.889205242683504e-16,4,-8.197702974464816e-07,-8.197703410296742e-07,0.0,-1.8671805260029838e-19,19.619999842773648,7.481847499382226e-15,7.626755921853799e-16,9.377466921636026e-16,4,-1.0930258673227944e-06,-1.093025774258386e-06,0.0,3.9392068211531003e-19,9.809999788440617,1.916960696236438e-15,3.908176835019392e-16,7.2866241997738035e-16,4,-5.465143836577702e-07,-5.465145984234813e-07,8.716909807041427e-11,-9.895813028948141e-11,3.3057532411288526e-10,2
0.035,0.0,0.0,-5.329363318395784e-19,29.429999988045928,1.1987031557757894e-14,8.146130861452169e-16,1.0224051764970368e-15,4,-8.197701688097969e-07,-8.197701715888239e-07,0.0,2.3262351557729917e-19,19.619999991559684,1.3924786444379901e-14,1.4194481600785113e-15,1.5357944230909091e-15,4,-1.093026158451027e-06,-1.0930261515121695e-06,0.0,3.162887284206813e-19,9.809999986808021,6.771751889298504e-15,1.3805814267899703e-15,1.6167793545448897e-15,4,-5.465137363422357e-07,-5.46513750844526e-07,5.5568921882054076e-12,-8.33359485796536e-12,2.067881832272154e-11,2
0.04,0.0,0.0,3.588088017434677e-19,29.42999999933371,7.043131922173092e-15,4.786362162645292e-16,7.053084924432465e-16,4,-8.197701605767993e-07,-8.197701607572105e-07,0.0,-5.775079387965908e-19,19.619999999559436,6.754163725280035e-15,6.884978313386033e-16,1.0882398559030252e-15,4,-1.0930261800448648e-06,-1.093026179531423e-06,0.0,-7.364398789154595e-19,9.809999999170678,8.01314342853992e-15,1.6336683851615369e-15,1.800055658932335e-15,4,-5.46513692564754e-07,-5.465136935500806e-07,3.593813220658978e-13,-6.611588381198966e-13,1.3036581797789335e-12,2
0.045,0.0,0.0,-7.618854147502113e-19,29.429999999965162,1.959206393738461e-15,1.331434858131689e-16,5.801976093084168e-16,4,-8.197701600425045e-07,-8.197701600563823e-07,0.0,1.6058428140260847e-18,19.61999999997836,7.541532482491299e-15,7.687596822119894e-16,1.0491468708758887e-15,4,-1.0930261816199938e-06,-1.0930261815853364e-06,0.0,-5.639528112188116e-19,9.809999999946573,6.059872842085223e-15,1.2354480819812896e-15,1.8657059561600882e-15,4,-5.465136895949074e-07,-5.465136896573601e-07,2.43915083997001e-14,-4.853244406121699e-14,8.020928203198528e-14,2
0.05,0.0,0.0,1.8921528975916318e-19,29.429999999999787,1.0163592982117395e-14,6.906960912074393e-16,1.7194544815272514e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,2.283541028908871e-19,19.619999999999813,1.0437857671076068e-14,1.0640018013329426e-15,1.5884972044436158e-15,4,-1.0930261817240772e-06,-1.093026181724113e-06,0.0,-3.71733817070134e-19,9.80999999999989,4.081050150753589e-15,8.320183793585391e-16,1.1636630881600538e-15,4,-5.465136894144962e-07,-5.465136894145008e-07,2.89847882137677e-15,-5.9833686870627934e-15,8.444465720215162e-15,2
0.055,0.0,0.0,9.91890189764377e-18,29.43,4.608522424363779e-13,3.131853499397743e-14,2.1313371702181174e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-9.127296201322281e-17,19.619999999999933,3.039667548677884e-13,3.098539804972369e-14,1.858539994633808e-13,4,-1.0930261817240772e-06,-1.0930261817243175e-06,0.0,-9.218238538941572e-17,9.810000000000091,1.4304808596737659e-13,2.916372802596845e-14,1.8540226097625606e-13,4,-5.465136894144962e-07,-5.465136894146679e-07,2.9029197134752714e-15,-5.991362292840094e-15,8.43824847127726e-15,2
0.06,0.0,0.0,2.3105434920478704e-18,29.43,4.9953219582394264e-14,3.3947142087933583e-15,3.90842236802882e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,8.512473394430776e-17,19.619999999999997,5.1890641789985056e-14,5.289565931700822e-15,5.794768169081318e-15,4,-1.0930261817240772e-06,-1.0930261817243035e-06,0.0,1.1324024917826753e-16,9.810000000000002,3.7296278520684495e-14,7.603726507784809e-15,7.832720415559302e-15,4,-5.465136894144962e-07,-5.465136894146268e-07,2.9020315350555718e-15,-5.9904741144203945e-15,8.43736029285756e-15,2
0.065,0.0,0.0,-1.2476765083633493e-18,29.429999999999858,1.212109984487239e-12,8.237240805214033e-14,1.625838733145495e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,5.1440626992732185e-17,19.61999999999997,2.5069719399923464e-13,2.5555269520819065e-14,7.869650834043718e-14,4,-1.0930261817240772e-06,-1.0930261817243112e-06,0.0,1.4624173539266564e-16,9.810000000000155,7.036308201907836e-14,1.434517472356315e-14,7.354764281709837e-14,4,-5.465136894144962e-07,-5.465136894147259e-07,2.8993669997964717e-15,-5.986921400741593e-15,8.43913664969696e-15,2
0.07,0.0,0.0,2.0155002381360567e-18,29.430000000000014,7.751241915307143e-14,5.267578603674576e-15,5.5651554053724614e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-8.96944634685656e-18,19.620000000000005,7.024062281886444e-14,7.160104262881185e-15,7.343736750782796e-15,4,-1.0930261817240772e-06,-1.0930261817241498e-06,0.0,-4.048438119863846e-17,9.810000000000002,4.8282622978854967e-14,9.843552085393467e-15,1.060803570737019e-14,4,-5.465136894144962e-07,-5.465136894145464e-07,2.9038078918949726e-15,-5.986921400741592e-15,8.43736029285756e-15,2
0.075,0.0,0.0,-4.5314183362018204e-17,29.430000000000337,2.7622698703594587e-13,1.8771796604549285e-14,9.916902331513953e-14,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,9.841763207073877e-17,19.619999999999642,6.816488754666896e-13,6.948510453279327e-14,1.562672989861525e-13,4,-1.0930261817240772e-06,-1.0930261817245056e-06,0.0,3.6838162423227116e-17,9.810000000000226,4.573800068989861e-13,9.324770782853732e-14,1.838371171082859e-13,4,-5.465136894144962e-07,-5.465136894149055e-07,2.913577854511674e-15,-5.996691363358293e-15,8.441801184956062e-15,2
0.08,0.0,0.0,-6.699301282515557e-19,29.43000000000001,3.8336140487942e-14,2.6052423029522245e-15,3.956633282420003e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,2.190604977529101e-17,19.619999999999994,3.8959707540155776e-14,3.97142788380793e-15,6.849099570925169e-15,4,-1.0930261817240772e-06,-1.0930261817242758e-06,0.0,3.596001104352745e-17,9.81000000000001,1.787879994462967e-14,3.6450152792313255e-15,6.537584314541815e-15,4,-5.465136894144962e-07,-5.465136894145618e-07,2.900255178216172e-15,-5.9860332223218916e-15,8.436472114437862e-15,2
0.085,0.0,0.0,4.6831885488468054e-17,29.430000000000078,1.6485901723025117e-13,1.1203467022103346e-14,5.499421744470303e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,6.78960740650519e-17,19.619999999999994,8.000106368750138e-14,8.155052363659675e-15,1.7774516092796e-13,4,-1.0930261817240772e-06,-1.0930261817243247e-06,0.0,-1.2134391641786534e-17,9.809999999999981,8.29353332082144e-14,1.6908324813091654e-14,4.231813269264798e-13,4,-5.465136894144962e-07,-5.465136894147796e-07,2.9411113855223785e-15,-5.97981597338399e-15,8.426702151821162e-15,1
0.09,0.0,0.0,6.7201542204295515e-18,29.430000000000007,1.6385593466401806e-13,1.1135299671356984e-14,1.3147752251156813e-14,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-1.957457508424354e-17,19.619999999999987,1.4310081503439552e-13,1.4587239045300267e-14,1.625366677728235e-14,4,-1.0930261817240772e-06,-1.0930261817243124e-06,0.0,-2.2773273910622277e-18,9.81000000000001,9.85200977503448e-14,2.00856468400295e-14,2.1977430510188044e-14,4,-5.465136894144962e-07,-5.465136894146232e-07,2.902919713475273e-15,-5.991362292840092e-15,8.437360292857565e-15,2
0.095,0.0,0.0,-9.876993031708492e-17,29.430000000000014,2.596155221162751e-13,1.7642916895431533e-14,6.78105077998799e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,4.142527693105751e-16,19.620000000000093,3.9851457459301235e-13,4.0623300162386387e-14,6.40319094096627e-13,4,-1.0930261817240772e-06,-1.0930261817247298e-06,0.0,-3.82439645256592e-17,9.809999999999949,5.694054054447192e-14,1.1608672893878128e-14,5.467432696725321e-13,4,-5.465136894144962e-07,-5.465136894151713e-07,2.8602871493296673e-15,-5.915867127165581e-15,8.41071494026656e-15,1
0.1,0.0,0.0,-1.7498061618269083e-18,29.43,6.010095757510798e-14,4.0843328287535155e-15,5.883475080750767e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-1.6262829083914412e-17,19.62000000000001,4.347170721075998e-14,4.431366688150862e-15,5.661581331352694e-15,4,-1.0930261817240772e-06,-1.0930261817241828e-06,0.0,-4.1603291057713354e-17,9.81,3.32852706182129e-14,6.785987893621386e-15,8.134467844136051e-15,4,-5.465136894144962e-07,-5.465136894145741e-07,2.8993669997964737e-15,-5.985145043902191e-15,8.437360292857565e-15,2
0.105,0.0,0.0,2.2096973309620317e-16,29.43000000000008,5.534735108519528e-13,3.7612878753105756e-14,8.086979060041206e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-1.9438802791599263e-16,19.61999999999983,7.20822074374775e-14,7.347829504330084e-15,4.112221701600977e-13,4,-1.0930261817240772e-06,-1.0930261817241657e-06,0.0,-3.490333529310179e-17,9.810000000000143,9.978300601647233e-14,2.0343120492654615e-14,2.597563050965019e-13,4,-5.465136894144962e-07,-5.465136894145385e-07,3.0246001569741917e-15,-6.143240802608813e-15,8.507526388013876e-15,1
0.11,0.0,0.0,4.824530494291743e-18,29.430000000000014,7.103610500393694e-14,4.82746211375718e-15,9.566493212755151e-15,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-3.27382158159323e-17,19.619999999999997,6.608259780967791e-14,6.736248502515588e-15,9.528731027818034e-15,4,-1.0930261817240772e-06,-1.093026181724296e-06,0.0,-3.3577552227441666e-17,9.810000000000002,4.3726431467456126e-14,8.914664927106242e-15,1.1359374920381661e-14,4,-5.465136894144962e-07,-5.465136894147159e-07,2.9011433566358745e-15,-5.987809579161291e-15,8.436472114437864e-15,2
0.115,0.0,0.0,7.68267964421511e-18,29.430000000000334,3.540086135542475e-13,2.4057669966309442e-14,8.448249882368229e-13,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,-6.481153777417719e-17,19.61999999999987,1.597822569135765e-13,1.628769183624644e-14,1.7818341952731328e-13,4,-1.0930261817240772e-06,-1.0930261817241149e-06,0.0,1.510213722537111e-17,9.809999999999944,7.681236594691685e-14,1.566001344483533e-14,3.529685938792078e-13,4,-5.465136894144962e-07,-5.465136894145608e-07,3.1311815673382072e-15,-6.0260012512083955e-15,8.40893858342716e-15,1
0.12,0.0,0.0,-2.0712809222970752e-18,29.43,2.581871979137977e-13,1.7545851030499335e-14,1.8761138756504813e-14,4,-8.197701600112794e-07,-8.197701600112794e-07,0.0,9.260329992140742e-19,19.619999999999997,2.4616659244910536e-13,2.509343450041849e-14,2.5635890443854403e-14,4,-1.0930261817240772e-06,-1.0930261817241468e-06,0.0,-3.1568330593613537e-18,9.809999999999999,1.7313809552730944e-13,3.529828654991019e-14,3.594368646418443e-14,4,-5.465136894144962e-07,-5.465136894145596e-07,2.8984788213767744e-15,-5.98958593600069e-15,8.436472114437864e-15,2
